qid,chained::разброс длин рёбер (cv)@0.20,chained::длинные к медиане@0.20,chained::средняя длина ребра@0.20,"chained::служ.-служ., один токен@0.10","chained::служ.-служ., разные@0.10","chained::смысл.-смысл., один токен@0.10","chained::смысл.-смысл., разные@0.10","chained::часть-часть, один токен@0.10","chained::часть-часть, разные@0.10",chained::смешанные@0.10,chained::лог-ранг знам. концов@0.10,chained::лог-ранг знам. текста@0.10,"chained::хотя бы один hapax, %@0.10",chained::разрыв@0.10,"chained::на 10% узлов, % рёбер@0.10","chained::служ.-служ., один токен@0.20","chained::служ.-служ., разные@0.20","chained::смысл.-смысл., один токен@0.20","chained::смысл.-смысл., разные@0.20","chained::часть-часть, один токен@0.20","chained::часть-часть, разные@0.20",chained::смешанные@0.20,chained::лог-ранг знам. концов@0.20,chained::лог-ранг знам. текста@0.20,"chained::хотя бы один hapax, %@0.20",chained::разрыв@0.20,"chained::на 10% узлов, % рёбер@0.20","chained::служ.-служ., один токен@0.30","chained::служ.-служ., разные@0.30","chained::смысл.-смысл., один токен@0.30","chained::смысл.-смысл., разные@0.30","chained::часть-часть, один токен@0.30","chained::часть-часть, разные@0.30",chained::смешанные@0.30,chained::лог-ранг знам. концов@0.30,chained::лог-ранг знам. текста@0.30,"chained::хотя бы один hapax, %@0.30",chained::разрыв@0.30,"chained::на 10% узлов, % рёбер@0.30","chained::служ.-служ., один токен@0.40","chained::служ.-служ., разные@0.40","chained::смысл.-смысл., один токен@0.40","chained::смысл.-смысл., разные@0.40","chained::часть-часть, один токен@0.40","chained::часть-часть, разные@0.40",chained::смешанные@0.40,chained::лог-ранг знам. концов@0.40,chained::лог-ранг знам. текста@0.40,"chained::хотя бы один hapax, %@0.40",chained::разрыв@0.40,"chained::на 10% узлов, % рёбер@0.40","chained::служ.-служ., один токен@0.50","chained::служ.-служ., разные@0.50","chained::смысл.-смысл., один токен@0.50","chained::смысл.-смысл., разные@0.50","chained::часть-часть, один токен@0.50","chained::часть-часть, разные@0.50",chained::смешанные@0.50,chained::лог-ранг знам. концов@0.50,chained::лог-ранг знам. текста@0.50,"chained::хотя бы один hapax, %@0.50",chained::разрыв@0.50,"chained::на 10% узлов, % рёбер@0.50",absurd::разброс длин рёбер (cv)@0.20,absurd::длинные к медиане@0.20,absurd::средняя длина ребра@0.20,"absurd::служ.-служ., один токен@0.10","absurd::служ.-служ., разные@0.10","absurd::смысл.-смысл., один токен@0.10","absurd::смысл.-смысл., разные@0.10","absurd::часть-часть, один токен@0.10","absurd::часть-часть, разные@0.10",absurd::смешанные@0.10,absurd::лог-ранг знам. концов@0.10,absurd::лог-ранг знам. текста@0.10,"absurd::хотя бы один hapax, %@0.10",absurd::разрыв@0.10,"absurd::на 10% узлов, % рёбер@0.10","absurd::служ.-служ., один токен@0.20","absurd::служ.-служ., разные@0.20","absurd::смысл.-смысл., один токен@0.20","absurd::смысл.-смысл., разные@0.20","absurd::часть-часть, один токен@0.20","absurd::часть-часть, разные@0.20",absurd::смешанные@0.20,absurd::лог-ранг знам. концов@0.20,absurd::лог-ранг знам. текста@0.20,"absurd::хотя бы один hapax, %@0.20",absurd::разрыв@0.20,"absurd::на 10% узлов, % рёбер@0.20","absurd::служ.-служ., один токен@0.30","absurd::служ.-служ., разные@0.30","absurd::смысл.-смысл., один токен@0.30","absurd::смысл.-смысл., разные@0.30","absurd::часть-часть, один токен@0.30","absurd::часть-часть, разные@0.30",absurd::смешанные@0.30,absurd::лог-ранг знам. концов@0.30,absurd::лог-ранг знам. текста@0.30,"absurd::хотя бы один hapax, %@0.30",absurd::разрыв@0.30,"absurd::на 10% узлов, % рёбер@0.30","absurd::служ.-служ., один токен@0.40","absurd::служ.-служ., разные@0.40","absurd::смысл.-смысл., один токен@0.40","absurd::смысл.-смысл., разные@0.40","absurd::часть-часть, один токен@0.40","absurd::часть-часть, разные@0.40",absurd::смешанные@0.40,absurd::лог-ранг знам. концов@0.40,absurd::лог-ранг знам. текста@0.40,"absurd::хотя бы один hapax, %@0.40",absurd::разрыв@0.40,"absurd::на 10% узлов, % рёбер@0.40","absurd::служ.-служ., один токен@0.50","absurd::служ.-служ., разные@0.50","absurd::смысл.-смысл., один токен@0.50","absurd::смысл.-смысл., разные@0.50","absurd::часть-часть, один токен@0.50","absurd::часть-часть, разные@0.50",absurd::смешанные@0.50,absurd::лог-ранг знам. концов@0.50,absurd::лог-ранг знам. текста@0.50,"absurd::хотя бы один hapax, %@0.50",absurd::разрыв@0.50,"absurd::на 10% узлов, % рёбер@0.50"
q000,0.31158109211649787,1.1850230229051022,22.36076589092612,0.0,0.0,0.0,55.00000000000001,0.0,30.0,15.0,6.163526935974537,6.096566457145604,85.0,120.75,67.5,0.0,5.0,0.0,47.5,0.0,25.0,22.5,6.299787494293345,6.096566457145604,85.0,137.025,43.75,0.0,5.0,0.0,56.666666666666664,0.0,20.0,18.333333333333332,6.411134436002063,6.096566457145604,85.0,154.61666666666667,38.333333333333336,1.25,6.25,0.0,56.25,0.0,17.5,18.75,6.274722524989884,6.096566457145604,81.25,153.8625,33.75,1.0,8.0,0.0,56.99999999999999,0.0,16.0,18.0,6.257864507108982,6.096566457145604,81.0,159.07,32.5,0.2746942260725294,1.193491006906727,22.360356089770793,0.0,5.0,0.0,20.0,0.0,40.0,35.0,5.674511650558987,6.128522207736809,85.0,147.9,67.5,0.0,12.5,0.0,37.5,0.0,22.5,27.500000000000004,5.801986913973564,6.128522207736809,72.5,181.05,45.0,0.0,13.333333333333334,0.0,48.333333333333336,0.0,16.666666666666664,21.666666666666668,6.094924445990949,6.128522207736809,75.0,181.1,36.666666666666664,0.0,15.0,0.0,47.5,0.0,16.25,21.25,6.071167380958685,6.128522207736809,75.0,183.3875,31.874999999999996,0.0,15.0,0.0,53.0,0.0,15.0,17.0,6.184912025117389,6.128522207736809,76.0,175.67,29.5
q001,0.33028967687898725,1.163808159624438,20.82036713257432,0.0,15.0,0.0,40.0,0.0,20.0,25.0,6.721858424468353,6.567893595562299,70.0,158.8,55.00000000000001,0.0,17.5,0.0,52.5,0.0,12.5,17.5,6.417567847178184,6.567893595562299,77.5,180.525,36.25,1.6666666666666667,16.666666666666664,0.0,56.666666666666664,0.0,10.0,15.0,6.379799950832613,6.567893595562299,80.0,176.33333333333334,37.5,1.25,12.5,0.0,62.5,0.0,8.75,15.0,6.46978531390452,6.567893595562299,80.0,154.5875,30.625000000000004,1.0,12.0,0.0,65.0,0.0,8.0,14.000000000000002,6.569837531387295,6.567893595562299,83.0,149.8,33.5,0.31439510438701584,1.2024228761804336,21.316017548143865,0.0,10.0,0.0,40.0,0.0,10.0,40.0,6.519865403164016,6.488284516930605,60.0,143.95,57.49999999999999,0.0,10.0,0.0,42.5,0.0,15.0,32.5,6.487386899058141,6.488284516930605,72.5,168.5,38.75,1.6666666666666667,10.0,0.0,55.00000000000001,0.0,10.0,23.333333333333332,6.660510422530246,6.488284516930605,73.33333333333333,167.2,37.5,1.25,10.0,0.0,58.75,0.0,11.25,18.75,6.62060615781165,6.488284516930605,76.25,162.0375,33.125,1.0,10.0,0.0,61.0,0.0,10.0,18.0,6.694000042801449,6.488284516930605,78.0,155.41,32.0
q002,0.3205118251078559,1.1977343718393052,22.514878989458083,0.0,20.0,0.0,45.0,0.0,15.0,20.0,5.778261829935273,6.163182746804013,85.0,190.3,67.5,0.0,15.0,0.0,50.0,0.0,12.5,22.5,5.7805540076538,6.163182746804013,85.0,194.15,42.5,0.0,13.333333333333334,0.0,55.00000000000001,0.0,10.0,21.666666666666668,6.020243682531615,6.163182746804013,81.66666666666667,191.9,39.166666666666664,0.0,11.25,1.25,52.5,0.0,10.0,25.0,6.129928165944727,6.163182746804013,81.25,179.425,30.625000000000004,0.0,11.0,1.0,55.00000000000001,0.0,9.0,24.0,6.215383174726173,6.163182746804013,84.0,191.43,29.5,0.29897266084874746,1.1835712970423096,22.253744120299817,5.0,25.0,0.0,30.0,0.0,15.0,25.0,6.433347127385979,6.037963331707994,65.0,284.1,62.5,2.5,17.5,0.0,37.5,0.0,20.0,22.5,6.450061702272668,6.037963331707994,72.5,219.825,40.0,1.6666666666666667,20.0,0.0,38.333333333333336,0.0,23.333333333333332,16.666666666666664,6.235438638898977,6.037963331707994,70.0,249.48333333333332,36.666666666666664,2.5,15.0,0.0,42.5,0.0,22.5,17.5,6.211182913973717,6.037963331707994,71.25,235.7,31.25,2.0,14.000000000000002,0.0,50.0,0.0,19.0,15.0,6.131906057783175,6.037963331707994,75.0,239.43,28.999999999999996
q003,0.2983697610952829,1.1643602490917253,22.318819759488107,0.0,10.0,0.0,45.0,0.0,10.0,35.0,5.840618745768848,5.88100310478949,70.0,195.0,55.00000000000001,0.0,7.5,0.0,60.0,0.0,5.0,27.500000000000004,5.83504034552982,5.88100310478949,77.5,162.45,38.75,1.6666666666666667,11.666666666666666,1.6666666666666667,55.00000000000001,0.0,3.3333333333333335,26.666666666666668,5.798367508808453,5.88100310478949,73.33333333333333,163.95,36.666666666666664,1.25,15.0,1.25,58.75,0.0,2.5,21.25,5.805313246864505,5.88100310478949,73.75,150.2125,30.0,1.0,18.0,1.0,56.99999999999999,0.0,2.0,21.0,5.757688468769026,5.88100310478949,70.0,151.8,28.999999999999996,0.327549742073025,1.2078130836842615,20.674451446831227,0.0,15.0,0.0,40.0,0.0,15.0,30.0,5.7179703055732185,6.021251705581562,75.0,226.95,67.5,0.0,15.0,0.0,57.49999999999999,0.0,10.0,17.5,5.7168098239528975,6.021251705581562,75.0,227.625,42.5,0.0,13.333333333333334,0.0,60.0,0.0,8.333333333333332,18.333333333333332,5.826063963713411,6.021251705581562,75.0,226.01666666666668,36.666666666666664,0.0,12.5,0.0,58.75,0.0,8.75,20.0,5.8998158349505045,6.021251705581562,76.25,213.2375,31.874999999999996,0.0,11.0,0.0,61.0,0.0,9.0,19.0,5.931147666127335,6.021251705581562,78.0,202.06,32.0
q004,0.379944559932492,1.2133133763300956,20.772999995350837,0.0,20.0,0.0,40.0,0.0,5.0,35.0,6.01412720574947,6.247704796508206,80.0,152.15,55.00000000000001,5.0,22.5,0.0,37.5,0.0,5.0,30.0,6.10339491459115,6.247704796508206,80.0,158.975,40.0,3.3333333333333335,21.666666666666668,0.0,40.0,0.0,8.333333333333332,26.666666666666668,6.252320607305584,6.247704796508206,80.0,144.43333333333334,37.5,2.5,16.25,0.0,52.5,0.0,6.25,22.5,6.1854342071412365,6.247704796508206,82.5,151.0875,31.25,2.0,16.0,0.0,56.99999999999999,0.0,5.0,20.0,6.0984736082068585,6.247704796508206,76.0,150.11,33.5,0.3801944923188551,1.2297918118286992,20.99701887741685,0.0,35.0,0.0,35.0,0.0,5.0,25.0,5.193955215185807,6.225825348763284,75.0,152.95,62.5,2.5,22.5,0.0,42.5,0.0,10.0,22.5,5.5155200277018155,6.225825348763284,77.5,138.15,46.25,1.6666666666666667,20.0,0.0,43.333333333333336,0.0,11.666666666666666,23.333333333333332,5.648489688395134,6.225825348763284,75.0,123.33333333333333,42.5,2.5,20.0,0.0,46.25,0.0,11.25,20.0,5.7969513509233686,6.225825348763284,73.75,149.05,37.5,2.0,19.0,0.0,51.0,0.0,11.0,17.0,6.00028410526759,6.225825348763284,76.0,138.62,34.5
q005,0.30813042490764575,1.1751786199197294,20.802660467326643,0.0,5.0,0.0,40.0,0.0,25.0,30.0,5.948896493502303,6.104964656951304,80.0,112.7,65.0,0.0,12.5,0.0,50.0,0.0,15.0,22.5,5.828181552251314,6.104964656951304,85.0,110.05,45.0,0.0,13.333333333333334,0.0,56.666666666666664,0.0,10.0,20.0,6.041926444920335,6.104964656951304,85.0,110.3,37.5,0.0,12.5,0.0,56.25,0.0,11.25,20.0,6.191131014546769,6.104964656951304,86.25,105.925,34.375,0.0,15.0,0.0,56.00000000000001,1.0,10.0,18.0,6.258981810539864,6.104964656951304,82.0,102.45,33.0,0.29213160515347425,1.2011261108397913,20.61209805473685,0.0,10.0,0.0,45.0,5.0,10.0,30.0,5.338257822591104,6.135654108962835,75.0,137.4,55.00000000000001,2.5,10.0,0.0,55.00000000000001,2.5,5.0,25.0,5.36158925829392,6.135654108962835,75.0,105.375,35.0,1.6666666666666667,10.0,0.0,60.0,1.6666666666666667,3.3333333333333335,23.333333333333332,5.742093919990757,6.135654108962835,78.33333333333333,103.5,35.833333333333336,1.25,11.25,0.0,61.25000000000001,1.25,5.0,20.0,5.816220298735845,6.135654108962835,78.75,93.725,30.0,1.0,11.0,0.0,63.0,1.0,4.0,20.0,5.8361803075172105,6.135654108962835,80.0,93.16,31.5
q006,0.27478363414335105,1.1970286974716362,21.717821762561798,0.0,10.0,5.0,35.0,0.0,5.0,45.0,5.790283232828794,6.13721295342133,85.0,65.75,67.5,0.0,7.5,2.5,42.5,0.0,10.0,37.5,5.668586116047558,6.13721295342133,87.5,67.7,42.5,0.0,8.333333333333332,1.6666666666666667,51.66666666666667,0.0,8.333333333333332,30.0,5.981881648089181,6.13721295342133,88.33333333333333,92.58333333333333,35.833333333333336,0.0,8.75,1.25,50.0,0.0,6.25,33.75,6.043932529890318,6.13721295342133,88.75,96.85,28.749999999999996,1.0,11.0,1.0,49.0,0.0,6.0,32.0,6.038534603428859,6.13721295342133,86.0,104.27,26.0,0.2623850888587728,1.1686105172794312,21.161866711974145,0.0,20.0,0.0,30.0,0.0,25.0,25.0,5.725821568662742,6.142875651161381,90.0,108.05,65.0,0.0,15.0,0.0,50.0,0.0,17.5,17.5,5.939139907550296,6.142875651161381,87.5,100.2,45.0,0.0,13.333333333333334,0.0,61.66666666666667,0.0,13.333333333333334,11.666666666666666,6.057839703274518,6.142875651161381,88.33333333333333,94.66666666666667,39.166666666666664,0.0,16.25,0.0,61.25000000000001,0.0,12.5,10.0,5.991370408849275,6.142875651161381,82.5,106.05,31.25,0.0,16.0,0.0,63.0,0.0,10.0,11.0,6.089566830114074,6.142875651161381,82.0,110.36,30.5
q008,0.2739911662378997,1.1763784981262113,22.631432598531248,0.0,0.0,0.0,55.00000000000001,0.0,10.0,35.0,5.70123348300125,5.996598555663529,95.0,136.9,60.0,5.0,2.5,0.0,47.5,0.0,10.0,35.0,5.798705856071144,5.996598555663529,90.0,109.375,37.5,3.3333333333333335,10.0,0.0,50.0,0.0,8.333333333333332,28.333333333333332,6.035037663800064,5.996598555663529,88.33333333333333,106.91666666666667,38.333333333333336,3.75,12.5,0.0,52.5,0.0,7.5,23.75,5.98592491446459,5.996598555663529,82.5,113.2,31.25,3.0,12.0,0.0,56.00000000000001,0.0,7.000000000000001,22.0,6.147553231318287,5.996598555663529,81.0,115.09,27.500000000000004,0.3143003383514139,1.156317387270899,21.45378724887967,0.0,20.0,0.0,65.0,0.0,0.0,15.0,6.432424927798509,6.303888148575184,70.0,175.9,60.0,0.0,17.5,0.0,65.0,0.0,2.5,15.0,6.415543865978271,6.303888148575184,77.5,153.05,41.25,1.6666666666666667,21.666666666666668,0.0,61.66666666666667,0.0,3.3333333333333335,11.666666666666666,6.406985261619316,6.303888148575184,73.33333333333333,140.91666666666666,35.833333333333336,1.25,20.0,0.0,60.0,0.0,5.0,13.750000000000002,6.3502388066881466,6.303888148575184,77.5,128.0625,30.625000000000004,1.0,20.0,0.0,60.0,0.0,6.0,13.0,6.359534667663388,6.303888148575184,77.0,123.34,31.5
q009,0.2709379421410657,1.1734632367319182,22.38491186991334,0.0,10.0,0.0,35.0,0.0,10.0,45.0,6.4705467427521155,6.748616057243313,80.0,131.7,60.0,0.0,12.5,0.0,37.5,0.0,7.5,42.5,6.577386397059561,6.748616057243313,82.5,131.4,40.0,3.3333333333333335,13.333333333333334,0.0,46.666666666666664,0.0,5.0,31.666666666666664,6.495366151204671,6.748616057243313,75.0,142.76666666666668,35.833333333333336,2.5,13.750000000000002,0.0,52.5,0.0,3.75,27.500000000000004,6.528314504390444,6.748616057243313,80.0,133.175,30.0,2.0,14.000000000000002,0.0,56.00000000000001,0.0,3.0,25.0,6.588652527731697,6.748616057243313,82.0,127.36,29.5,0.3132305899771422,1.1987849891847273,21.158151427954436,0.0,25.0,0.0,25.0,0.0,30.0,20.0,7.062274731957014,6.604269914708804,65.0,137.75,65.0,0.0,17.5,0.0,32.5,0.0,30.0,20.0,6.71038023970671,6.604269914708804,72.5,130.825,50.0,0.0,16.666666666666664,0.0,43.333333333333336,0.0,20.0,20.0,6.693719147373386,6.604269914708804,75.0,135.78333333333333,40.0,1.25,17.5,1.25,46.25,0.0,16.25,17.5,6.689984965497955,6.604269914708804,76.25,143.925,32.5,1.0,19.0,1.0,49.0,0.0,15.0,15.0,6.507519498273764,6.604269914708804,77.0,143.1,31.0
q012,0.32246598862330267,1.164871271220883,21.504747819304466,0.0,10.0,0.0,45.0,0.0,15.0,30.0,5.90541008584488,6.252486406273061,75.0,113.7,55.00000000000001,0.0,7.5,0.0,57.49999999999999,0.0,7.5,27.500000000000004,6.190082880426853,6.252486406273061,75.0,116.05,36.25,0.0,6.666666666666667,0.0,60.0,0.0,6.666666666666667,26.666666666666668,6.266760139880739,6.252486406273061,81.66666666666667,105.76666666666667,37.5,0.0,7.5,0.0,65.0,0.0,5.0,22.5,6.259145917520612,6.252486406273061,85.0,117.025,35.0,1.0,12.0,0.0,64.0,0.0,4.0,19.0,6.177361542267137,6.252486406273061,82.0,110.33,33.5,0.31524883938944426,1.2217602536703536,19.950028389394284,10.0,10.0,0.0,30.0,0.0,15.0,35.0,5.442505792050216,6.121587114687937,60.0,112.0,57.49999999999999,5.0,10.0,0.0,35.0,0.0,20.0,30.0,5.270828728949298,6.121587114687937,67.5,114.225,38.75,3.3333333333333335,11.666666666666666,0.0,46.666666666666664,0.0,15.0,23.333333333333332,5.739208714548068,6.121587114687937,66.66666666666666,128.5,33.33333333333333,2.5,12.5,0.0,55.00000000000001,0.0,11.25,18.75,5.9832057929956335,6.121587114687937,71.25,125.3125,30.625000000000004,2.0,16.0,0.0,52.0,0.0,12.0,18.0,6.001199734426122,6.121587114687937,70.0,119.45,28.000000000000004
