признак,факты верны,факты абсурдны,сдвиг,упало у,p
"служ.-служ., один токен",1.383,1.0638,-0.3191,0.2553,0.3291
"служ.-служ., разные",11.3298,13.2979,1.9681,0.2979,0.0481
"смысл.-смысл., один токен",0.1064,0.0532,-0.0532,0.0426,0.5637
"смысл.-смысл., разные",51.2234,45.7447,-5.4787,0.6383,0.0022
"часть-часть, один токен",0.0532,0.1596,0.1064,0.0213,0.4142
"часть-часть, разные",10.6915,17.1277,6.4362,0.1702,0.0
смешанные,25.2128,22.5532,-2.6596,0.5319,0.105
лог-ранг знам. концов,6.1332,6.0674,-0.0658,0.5319,0.2905
лог-ранг знам. текста,6.2464,6.2527,0.0063,0.4894,0.7811
"хотя бы один hapax, %",79.9468,75.1064,-4.8404,0.6596,0.0003
разрыв,140.3984,151.5649,11.1665,0.3404,0.0097
"на 10% узлов, % рёбер",40.8511,42.0213,1.1702,0.2979,0.0584
разброс длин рёбер (cv),0.3035,0.2991,-0.0044,0.5745,0.2905
длинные к медиане,1.1841,1.1973,0.0132,0.3191,0.0019
средняя длина ребра,21.7017,21.2529,-0.4488,0.7021,0.0004
