признак,доля рёбер,факты верны,"абсурд, обычные слова",сдвиг,упало у,p
разброс длин рёбер (cv),0.20,0.3035,0.3043,0.0008,0.4681,0.7571
длинные к медиане,0.20,1.1841,1.2133,0.0292,0.1702,0.0
средняя длина ребра,0.20,21.7017,20.7285,-0.9732,0.9362,0.0
"служ.-служ., один токен",0.10,1.2766,2.234,0.9574,0.1277,0.0606
"служ.-служ., разные",0.10,10.2128,18.4043,8.1915,0.0851,0.0
"смысл.-смысл., один токен",0.10,0.1064,0.1064,0.0,0.0213,1.0
"смысл.-смысл., разные",0.10,44.8936,37.9787,-6.9149,0.7021,0.0003
"часть-часть, один токен",0.10,0.0,0.1064,0.1064,0.0,0.3173
"часть-часть, разные",0.10,13.0851,13.1915,0.1064,0.3617,0.9085
смешанные,0.10,30.4255,27.9787,-2.4468,0.5319,0.15
лог-ранг знам. концов,0.10,6.0961,5.9639,-0.1322,0.5745,0.1468
лог-ранг знам. текста,0.10,6.2464,6.2959,0.0495,0.4043,0.2159
"хотя бы один hapax, %",0.10,79.3617,71.9149,-7.4468,0.6596,0.0003
"куски одного слова, %",0.10,5.8511,4.2553,-1.5957,0.383,0.0489
разрыв,0.10,142.8479,142.2011,-0.6468,0.4681,0.9707
"на 10% узлов, % рёбер",0.10,60.4787,61.2766,0.7979,0.4043,0.6061
"служ.-служ., один токен",0.20,1.383,1.8085,0.4255,0.234,0.272
"служ.-служ., разные",0.20,11.3298,19.4149,8.0851,0.0426,0.0
"смысл.-смысл., один токен",0.20,0.1064,0.1064,0.0,0.0426,1.0
"смысл.-смысл., разные",0.20,51.2234,45.9574,-5.266,0.7021,0.0002
"часть-часть, один токен",0.20,0.0532,0.0532,0.0,0.0213,1.0
"часть-часть, разные",0.20,10.6915,9.3617,-1.3298,0.4894,0.1565
смешанные,0.20,25.2128,23.2979,-1.9149,0.4468,0.2225
лог-ранг знам. концов,0.20,6.1332,5.9689,-0.1643,0.6596,0.0049
лог-ранг знам. текста,0.20,6.2464,6.2959,0.0495,0.4043,0.2159
"хотя бы один hapax, %",0.20,79.9468,73.2447,-6.7021,0.7872,0.0
"куски одного слова, %",0.20,4.8936,3.2979,-1.5957,0.4894,0.0026
разрыв,0.20,140.3984,144.65,4.2516,0.4255,0.2715
"на 10% узлов, % рёбер",0.20,40.8511,41.8085,0.9574,0.4043,0.2362
"служ.-служ., один токен",0.30,1.6312,1.5248,-0.1064,0.3404,0.6017
"служ.-служ., разные",0.30,11.844,19.2199,7.3759,0.0851,0.0
"смысл.-смысл., один токен",0.30,0.1773,0.1418,-0.0355,0.0851,0.7055
"смысл.-смысл., разные",0.30,54.9291,50.9574,-3.9716,0.7234,0.0009
"часть-часть, один токен",0.30,0.0709,0.0355,-0.0355,0.0213,0.6547
"часть-часть, разные",0.30,9.1489,7.9433,-1.2057,0.5319,0.2261
смешанные,0.30,22.1986,20.1773,-2.0213,0.6596,0.0483
лог-ранг знам. концов,0.30,6.1893,6.0661,-0.1233,0.6383,0.0077
лог-ранг знам. текста,0.30,6.2464,6.2959,0.0495,0.4043,0.2159
"хотя бы один hapax, %",0.30,79.6099,73.9362,-5.6738,0.6383,0.0001
"куски одного слова, %",0.30,4.2553,2.6596,-1.5957,0.5532,0.0005
разрыв,0.30,139.9369,146.806,6.8691,0.4043,0.0836
"на 10% узлов, % рёбер",0.30,37.3404,37.1809,-0.1596,0.4681,0.4794
"служ.-служ., один токен",0.40,1.4894,1.3032,-0.1862,0.3404,0.5764
"служ.-служ., разные",0.40,12.0479,17.8457,5.7979,0.0426,0.0
"смысл.-смысл., один токен",0.40,0.1596,0.1064,-0.0532,0.1064,0.4795
"смысл.-смысл., разные",0.40,58.0053,55.7979,-2.2074,0.6383,0.0214
"часть-часть, один токен",0.40,0.0532,0.0266,-0.0266,0.0213,0.6547
"часть-часть, разные",0.40,7.8989,6.7287,-1.1702,0.5106,0.0875
смешанные,0.40,20.3457,18.1915,-2.1543,0.6809,0.0036
лог-ранг знам. концов,0.40,6.231,6.1867,-0.0444,0.6383,0.212
лог-ранг знам. текста,0.40,6.2464,6.2959,0.0495,0.4043,0.2159
"хотя бы один hapax, %",0.40,79.2553,74.8936,-4.3617,0.7021,0.0006
"куски одного слова, %",0.40,3.5372,2.2872,-1.25,0.5745,0.0011
разрыв,0.40,138.1734,143.8686,5.6952,0.3404,0.0895
"на 10% узлов, % рёбер",0.40,32.0213,32.2074,0.1862,0.4468,0.9394
"служ.-служ., один токен",0.50,1.4894,1.1489,-0.3404,0.4468,0.1235
"служ.-служ., разные",0.50,12.5532,16.2766,3.7234,0.1489,0.0
"смысл.-смысл., один токен",0.50,0.1489,0.1489,0.0,0.1277,1.0
"смысл.-смысл., разные",0.50,59.766,60.3191,0.5532,0.4255,0.443
"часть-часть, один токен",0.50,0.1064,0.0213,-0.0851,0.0851,0.1573
"часть-часть, разные",0.50,7.1064,5.9362,-1.1702,0.5957,0.0515
смешанные,0.50,18.8298,16.1489,-2.6809,0.7021,0.0003
лог-ранг знам. концов,0.50,6.2467,6.2529,0.0062,0.4255,0.9373
лог-ранг знам. текста,0.50,6.2464,6.2959,0.0495,0.4043,0.2159
"хотя бы один hapax, %",0.50,78.5957,76.1064,-2.4894,0.5957,0.0343
"куски одного слова, %",0.50,3.2128,1.9362,-1.2766,0.6596,0.0002
разрыв,0.50,139.146,143.8557,4.7098,0.4043,0.1381
"на 10% узлов, % рёбер",0.50,31.0426,31.1489,0.1064,0.4681,0.9173
