qid,"верно::все рёбра: разрыв, % длины","верно::все рёбра: медиана, % длины","верно::длинные 30%: разрыв, % длины","верно::короткие 30%: разрыв, % длины","верно::рёбер с разрывом < 10 токенов, %",верно::связь длины и разрыва (rho),"верно::длина текста, токенов","верно::все рёбра: разрыв, токенов","абсурд::все рёбра: разрыв, % длины","абсурд::все рёбра: медиана, % длины","абсурд::длинные 30%: разрыв, % длины","абсурд::короткие 30%: разрыв, % длины","абсурд::рёбер с разрывом < 10 токенов, %",абсурд::связь длины и разрыва (rho),"абсурд::длина текста, токенов","абсурд::все рёбра: разрыв, токенов"
q000,32.152849740932645,23.747841105354055,26.704087507196316,37.84398388025331,12.0,-0.20083690329022535,579.0,186.165,28.25358851674641,24.162679425837318,28.883572567783098,32.56246677299309,11.5,-0.04805247413297276,627.0,177.15
q001,24.848874598070744,16.479099678456592,28.34941050375134,32.652733118971064,20.5,-0.1272107538102796,622.0,154.56,26.136157337367628,19.89409984871407,25.295007564296522,28.593040847201213,12.5,-0.14695285304373218,661.0,172.76
q002,26.46419270833333,18.098958333333336,24.986979166666668,34.32074652777778,19.0,-0.1351749957238298,768.0,203.245,28.022155688622757,20.479041916167667,29.878243512974056,31.620758483033935,12.5,0.017603618673089134,835.0,233.985
q003,24.173879443585783,17.77434312210201,25.340030911901085,27.318392581143733,10.5,-0.028474016448390073,647.0,156.405,29.70809248554913,24.710982658959537,32.66136801541426,30.867052023121385,9.0,0.03729101251545112,692.0,205.58
q004,24.901851851851852,16.48148148148148,26.74691358024692,18.728395061728396,9.5,0.1139782390297513,540.0,134.47,24.242759795570702,18.56899488926746,21.010789324247582,27.626348665530948,16.0,-0.09407210282020054,587.0,142.305
q005,26.13972286374134,22.863741339491916,25.47344110854504,31.528098537336415,18.0,-0.10011323178841355,433.0,113.185,21.651685393258425,12.584269662921347,23.25842696629213,27.749063670411985,24.5,-0.10613820623254527,445.0,96.35
q006,25.226337448559672,15.637860082304528,19.05006858710562,31.690672153635116,18.5,-0.2267219628337887,486.0,122.6,25.96673387096774,18.548387096774192,19.08602150537634,28.746639784946236,19.5,-0.17293861828223242,496.0,128.795
q008,27.009708737864074,21.16504854368932,20.760517799352748,33.72168284789644,15.5,-0.23970002563648693,515.0,139.1,25.14658273381295,15.64748201438849,25.344724220623505,32.12529976019185,21.0,-0.14522892855122777,556.0,139.815
q009,28.003184713375795,18.895966029723994,30.311394196744512,33.25548478414719,17.0,-0.08413377545084835,471.0,131.895,26.8291015625,19.82421875,26.520182291666668,28.3984375,19.5,-0.028100349988458923,512.0,137.365
q012,28.907635467980295,25.24630541871921,26.050903119868643,38.24712643678161,19.5,-0.18810402465358972,406.0,117.365,31.15807962529274,28.10304449648712,30.09367681498829,36.23731459797034,10.5,-0.12851297202923093,427.0,133.045
q014,22.670112781954884,15.601503759398497,19.432957393483708,30.166040100250623,23.0,-0.20743411290339683,532.0,120.605,23.125218914185645,16.90017513134851,22.775831873905428,23.13193228254524,13.5,-0.07423336946574655,571.0,132.045
q015,22.373239436619716,15.211267605633802,21.384976525821596,28.53521126760564,22.0,-0.20219787014797308,355.0,79.425,25.594562647754138,19.621749408983455,22.813238770685583,28.483057525610715,23.5,-0.15377275043806585,423.0,108.265
q016,30.246277205040087,22.966781214203895,32.430316914853,33.69224894998091,10.5,-0.03944804982566409,873.0,264.05,26.418994413407816,20.614525139664806,22.56610800744879,30.126629422718803,4.5,-0.08058400358866993,895.0,236.45
q017,20.720967741935482,11.612903225806452,17.98924731182796,28.172043010752688,33.5,-0.23585008753501693,310.0,64.235,26.05061349693251,16.56441717791411,23.675869120654397,33.532719836400815,31.0,-0.14608705946305522,326.0,84.925
q018,29.01685393258427,19.775280898876403,31.60299625468165,30.516853932584265,15.5,-0.09921805243152294,445.0,129.125,28.029045643153527,20.435684647302903,28.402489626556015,31.362378976486866,10.5,0.00026853360161309707,482.0,135.1
q019,26.79254079254079,17.48251748251748,25.49339549339549,31.15773115773116,15.0,-0.11416513763738306,429.0,114.94,30.298301486199577,21.125265392781316,33.49256900212314,31.305732484076437,14.000000000000002,-0.011567340582539743,471.0,142.705
q020,27.937113402061854,19.587628865979383,25.646048109965637,30.817869415807554,14.499999999999998,-0.1339864202244823,485.0,135.495,31.81086956521739,25.543478260869563,27.554347826086957,36.340579710144915,14.000000000000002,-0.14356378290962205,460.0,146.33
q021,24.08893280632411,18.181818181818183,17.213438735177863,32.52305665349144,29.5,-0.32851274257924756,253.0,60.945,28.33460076045627,22.0532319391635,25.823827629911275,33.12420785804816,27.0,-0.12154488905636775,263.0,74.52
q022,26.419426048565125,19.426048565121413,24.44076526857984,36.1037527593819,17.5,-0.2099138443439282,453.0,119.68,27.398019801980197,21.48514851485149,27.96039603960396,28.042904290429043,16.0,-0.047951235495001875,505.0,138.36
q024,23.717013888888886,18.40277777777778,21.09953703703704,31.759259259259256,27.0,-0.2126099640492628,288.0,68.305,25.367003367003367,19.865319865319865,24.489337822671157,31.72278338945005,28.499999999999996,-0.17197400965362586,297.0,75.34
q025,25.471798780487802,20.80792682926829,30.470020325203247,26.6895325203252,12.0,0.0809168477320869,656.0,167.095,23.492668621700876,18.255131964809387,22.65395894428152,27.123655913978496,14.000000000000002,-0.09097400827426015,682.0,160.22
q026,27.044036697247712,23.394495412844037,25.730886850152906,30.33639143730887,11.5,-0.06965475669196176,545.0,147.39,26.86380255941499,20.47531992687386,26.995734308348563,28.973187081048142,12.5,-0.0021490906500218803,547.0,146.945
q027,24.74259259259259,16.75925925925926,23.540123456790123,25.23765432098765,19.5,-0.06851519696931037,540.0,133.61,27.028725314183124,18.940754039497307,25.014961101137043,30.394973070017958,13.5,-0.07271851750011153,557.0,150.55
