qid,"chained::доля суб-токенов, %","chained::доля смысловых, %","chained::доля служебных, %",chained::токенов,"absurd::доля суб-токенов, %","absurd::доля смысловых, %","absurd::доля служебных, %",absurd::токенов
q000,10.362694300518134,56.649395509499136,32.98791018998273,579,16.267942583732058,52.63157894736842,31.100478468899524,627
q001,11.736334405144696,54.5016077170418,33.762057877813504,622,16.338880484114977,51.8910741301059,31.77004538577912,661
q002,14.583333333333334,51.692708333333336,33.72395833333333,768,20.119760479041915,47.185628742514965,32.69461077844311,835
q003,5.1004636785162285,58.73261205564142,36.16692426584235,647,11.560693641618498,56.358381502890175,32.080924855491325,692
q004,6.481481481481481,50.92592592592593,42.592592592592595,540,14.139693356047701,46.84838160136286,39.01192504258944,587
q005,16.166281755196305,52.19399538106235,31.639722863741337,433,16.40449438202247,51.23595505617977,32.359550561797754,445
q006,11.522633744855968,56.99588477366255,31.48148148148148,486,13.508064516129032,56.048387096774185,30.443548387096776,496
q008,7.766990291262135,58.64077669902913,33.592233009708735,515,14.388489208633093,54.49640287769785,31.115107913669064,556
q009,10.615711252653929,56.05095541401274,33.33333333333333,471,18.5546875,51.7578125,29.6875,512
q012,13.054187192118228,54.92610837438424,32.01970443349754,406,12.646370023419204,56.440281030444964,30.913348946135834,427
q014,9.398496240601503,54.3233082706767,36.278195488721806,532,13.134851138353765,53.59019264448336,33.274956217162874,571
q015,12.394366197183098,59.436619718309856,28.169014084507044,355,26.004728132387704,49.881796690307326,24.113475177304963,423
q016,12.829324169530354,54.75372279495991,32.416953035509735,873,14.18994413407821,53.40782122905028,32.402234636871505,895
q017,11.935483870967742,55.16129032258065,32.903225806451616,310,16.56441717791411,51.84049079754601,31.595092024539877,326
q018,6.741573033707865,57.97752808988764,35.28089887640449,445,14.107883817427386,53.52697095435685,32.365145228215766,482
q019,11.655011655011654,62.47086247086248,25.874125874125873,429,19.957537154989385,56.26326963906582,23.7791932059448,471
q020,16.288659793814432,50.92783505154639,32.78350515463917,485,11.73913043478261,55.869565217391305,32.391304347826086,460
q021,7.5098814229249005,58.89328063241107,33.59683794466403,253,11.02661596958175,57.03422053231939,31.93916349809886,263
q022,5.298013245033113,62.69315673289183,32.00883002207506,453,13.267326732673268,58.415841584158414,28.316831683168314,505
q024,8.333333333333332,56.59722222222222,35.06944444444444,288,10.774410774410773,55.218855218855225,34.00673400673401,297
q025,9.451219512195122,57.62195121951219,32.926829268292686,656,12.609970674486803,55.718475073313776,31.671554252199414,682
q026,12.844036697247708,52.477064220183486,34.67889908256881,545,13.528336380255942,52.28519195612431,34.18647166361974,547
q027,10.925925925925926,57.03703703703704,32.03703703703704,540,14.003590664272892,55.296229802513466,30.700179533213646,557
q028,12.749615975422426,49.92319508448541,37.327188940092164,651,16.422287390029325,48.09384164222874,35.483870967741936,682
q029,13.937282229965156,51.045296167247386,35.01742160278746,574,17.796610169491526,49.32203389830509,32.88135593220339,590
q030,8.548387096774194,59.354838709677416,32.09677419354839,620,12.749615975422426,56.83563748079877,30.414746543778804,651
q031,8.45771144278607,56.96517412935324,34.57711442786069,402,14.285714285714285,53.51473922902494,32.19954648526077,441
q034,10.778443113772456,58.38323353293413,30.83832335329341,668,17.039106145251395,54.88826815642458,28.07262569832402,716
q036,8.075601374570446,54.98281786941581,36.94158075601375,582,15.993788819875776,50.621118012422365,33.38509316770186,644
q037,16.80960548885077,49.39965694682676,33.79073756432247,583,20.583468395461914,47.3257698541329,32.090761750405186,617
q038,17.666126418152352,50.08103727714749,32.25283630470016,617,18.819776714513555,49.920255183413076,31.259968102073366,627
q039,14.136125654450263,52.35602094240838,33.50785340314136,764,16.811955168119553,51.43212951432129,31.755915317559154,803
q040,6.422018348623854,59.174311926605505,34.403669724770644,436,11.777301927194861,56.3169164882227,31.905781584582442,467
q041,7.201309328968904,57.61047463175123,35.188216039279865,611,15.350223546944857,52.309985096870335,32.3397913561848,671
q042,7.188160676532769,57.082452431289646,35.72938689217759,473,17.60299625468165,50.749063670411985,31.647940074906366,534
q043,10.38961038961039,50.79365079365079,38.81673881673882,693,14.442916093535077,48.55570839064649,37.00137551581843,727
q044,14.545454545454545,51.74825174825175,33.70629370629371,715,17.578125,48.17708333333333,34.24479166666667,768
q045,14.36241610738255,51.2751677852349,34.36241610738255,745,12.925170068027212,52.38095238095239,34.69387755102041,735
q046,11.780104712041885,52.879581151832454,35.340314136125656,764,14.485387547649301,51.334180432020325,34.18043202033037,787
q048,9.693877551020408,57.6530612244898,32.6530612244898,392,14.457831325301203,54.69879518072289,30.843373493975907,415
q049,9.633911368015415,57.03275529865125,33.33333333333333,519,11.047619047619047,55.80952380952381,33.14285714285714,525
q050,11.25,55.27777777777778,33.47222222222222,720,12.907608695652172,54.347826086956516,32.744565217391305,736
q051,16.209773539928488,52.56257449344458,31.227651966626937,839,12.039312039312039,55.15970515970516,32.8009828009828,814
q052,9.313725490196079,58.00653594771242,32.6797385620915,612,13.593749999999998,55.15624999999999,31.25,640
q053,14.659685863874344,47.99301919720768,37.347294938917976,573,15.130434782608695,49.56521739130435,35.30434782608695,575
q054,13.139695712309821,55.325034578146614,31.535269709543567,723,21.11111111111111,49.629629629629626,29.259259259259256,810
q055,8.552631578947368,57.23684210526315,34.21052631578947,456,14.949494949494948,52.72727272727272,32.323232323232325,495
