текст,условие,проекция,"доля > 0, %"
0,исходный,0.01194180885694711,58.97435897435898
0,исходный [случайная ось],0.006347876349923103,61.53846153846154
0,перемешивание,0.25580027495891844,100.0
0,перемешивание [случайная ось],0.002151914540706683,52.0
0,эхо x2,0.005896136279202762,47.82608695652174
0,эхо x2 [случайная ось],0.0036216755298295877,56.52173913043478
0,эхо x4,-0.03952646012827516,21.27659574468085
0,эхо x4 [случайная ось],0.008434001496449371,63.829787234042556
0,эхо на четверти,0.01967978106808046,60.86956521739131
0,эхо на четверти [случайная ось],0.0037660571375747634,63.04347826086957
0,словарь к 25,0.09454360764215622,95.34883720930233
0,словарь к 25 [случайная ось],0.013830211491285833,74.4186046511628
0,словарь к 60,0.0804015572453147,97.43589743589743
0,словарь к 60 [случайная ось],-0.00125832858816198,48.717948717948715
0,все слова разные,0.20046946292559892,100.0
0,все слова разные [случайная ось],-0.003176888590250733,35.8974358974359
0,чужие хапаксы,0.11969509117761325,95.91836734693877
0,чужие хапаксы [случайная ось],0.0053085034733501716,67.3469387755102
0,хапаксы одного домена,0.13489724646621956,98.0392156862745
0,хапаксы одного домена [случайная ось],0.0029163286254375613,62.745098039215684
0,20 чужих хапаксов,0.0296702291849997,61.904761904761905
0,20 чужих хапаксов [случайная ось],0.003185485830966493,52.38095238095239
0,маркер каждые 3,0.012132792354497735,43.58974358974359
0,маркер каждые 3 [случайная ось],0.02633546465594934,85.8974358974359
0,без пунктуации,0.10537336064291487,95.94594594594594
0,без пунктуации [случайная ось],0.005347131934872221,63.51351351351351
0,без служебных,0.09381752572187188,100.0
0,без служебных [случайная ось],0.005742813980013638,70.9090909090909
1,исходный,-0.019341266984244765,29.6875
1,исходный [случайная ось],0.004772611162025124,65.625
1,перемешивание,0.35314509704771047,100.0
1,перемешивание [случайная ось],-0.014852467113977502,17.02127659574468
1,эхо x2,0.05141973340382537,85.45454545454545
1,эхо x2 [случайная ось],0.009197309917350904,72.72727272727273
1,эхо x4,-0.011045537952173334,34.04255319148936
1,эхо x4 [случайная ось],0.019188782217591065,93.61702127659575
1,эхо на четверти,0.04184104566818027,74.6268656716418
1,эхо на четверти [случайная ось],0.003657895445676077,61.19402985074627
1,словарь к 25,0.0749685742435151,96.61016949152543
1,словарь к 25 [случайная ось],-0.010561860444291284,27.11864406779661
1,словарь к 60,0.033452851492529356,76.19047619047619
1,словарь к 60 [случайная ось],0.0022389631285144995,55.55555555555556
1,все слова разные,0.22545351799492236,100.0
1,все слова разные [случайная ось],-0.003174356621964354,49.09090909090909
1,чужие хапаксы,0.16650033432779973,100.0
1,чужие хапаксы [случайная ось],-0.00013152731167951959,51.724137931034484
1,хапаксы одного домена,0.13734735824490216,100.0
1,хапаксы одного домена [случайная ось],-0.008907898189393778,30.434782608695656
1,20 чужих хапаксов,0.0005158199324828024,44.827586206896555
1,20 чужих хапаксов [случайная ось],0.0034488114761265106,58.620689655172406
1,маркер каждые 3,0.031189389208004886,61.111111111111114
1,маркер каждые 3 [случайная ось],0.00883202737041971,61.111111111111114
1,без пунктуации,0.10967186411477726,96.875
1,без пунктуации [случайная ось],0.0069134483655588705,73.4375
1,без служебных,0.063536659756438,85.33333333333334
1,без служебных [случайная ось],0.0026851720781468883,61.33333333333333
2,исходный,-0.02051601939314307,25.925925925925924
2,исходный [случайная ось],-0.003930642164463542,35.18518518518518
2,перемешивание,0.26103712195614553,100.0
2,перемешивание [случайная ось],-0.018702740405017713,13.559322033898304
2,эхо x2,-0.0021390246337350395,39.130434782608695
2,эхо x2 [случайная ось],-0.007776742725040784,36.231884057971016
2,эхо x4,-0.015780750210778637,34.32835820895522
2,эхо x4 [случайная ось],0.002598786520349492,56.71641791044776
2,эхо на четверти,-0.016216268010329497,33.33333333333333
2,эхо на четверти [случайная ось],-0.005764241922737351,37.03703703703704
2,словарь к 25,0.0510283363475515,87.3015873015873
2,словарь к 25 [случайная ось],-0.009759791630940005,33.33333333333333
2,словарь к 60,0.04434575783481705,81.9672131147541
2,словарь к 60 [случайная ось],-0.014090311110519269,19.672131147540984
2,все слова разные,0.2303654586855445,100.0
2,все слова разные [случайная ось],-0.0064741626273099,33.80281690140845
2,чужие хапаксы,0.05038196854777666,93.10344827586206
2,чужие хапаксы [случайная ось],-0.005901485714863876,29.310344827586203
2,хапаксы одного домена,0.08724502049148679,96.55172413793103
2,хапаксы одного домена [случайная ось],-0.011006892124292332,29.310344827586203
2,20 чужих хапаксов,-0.010376104328202077,38.59649122807017
2,20 чужих хапаксов [случайная ось],-0.004253054735469606,35.08771929824561
2,маркер каждые 3,-0.023833214876319436,49.45054945054945
2,маркер каждые 3 [случайная ось],-0.0006204336743947053,50.54945054945055
2,без пунктуации,0.06701329363710107,95.58823529411765
2,без пунктуации [случайная ось],-0.005521583251280349,36.76470588235294
2,без служебных,0.026599522258380564,73.13432835820896
2,без служебных [случайная ось],-0.011867211816563803,22.388059701492537
3,исходный,0.01928930727428784,66.10169491525424
3,исходный [случайная ось],-0.010456308831297575,27.11864406779661
3,перемешивание,0.2656023027641399,100.0
3,перемешивание [случайная ось],-0.011983635145052254,34.42622950819672
3,эхо x2,0.0491027652123993,74.19354838709677
3,эхо x2 [случайная ось],0.004804388893638666,61.29032258064516
3,эхо x4,-0.0452464664376204,21.12676056338028
3,эхо x4 [случайная ось],0.005366552109722265,61.97183098591549
3,эхо на четверти,0.039242726085094035,79.24528301886792
3,эхо на четверти [случайная ось],-0.005810516358600008,32.075471698113205
3,словарь к 25,0.05611562831490699,82.25806451612904
3,словарь к 25 [случайная ось],-0.0261945250414017,8.064516129032258
3,словарь к 60,0.12322720098643626,94.64285714285714
3,словарь к 60 [случайная ось],-0.019696623354291655,16.071428571428573
3,все слова разные,0.22486803241126668,100.0
3,все слова разные [случайная ось],-0.00622319178922054,36.17021276595745
3,чужие хапаксы,0.16520078659762602,100.0
3,чужие хапаксы [случайная ось],-0.010286297377395972,31.48148148148148
3,хапаксы одного домена,0.17748077897335124,100.0
3,хапаксы одного домена [случайная ось],-0.009333058969858482,36.36363636363637
3,20 чужих хапаксов,0.049005892591741054,77.55102040816327
3,20 чужих хапаксов [случайная ось],-0.012975153231716165,20.408163265306122
3,маркер каждые 3,0.02383843271738884,51.06382978723404
3,маркер каждые 3 [случайная ось],-0.001998943933175507,48.93617021276596
3,без пунктуации,0.08435499479552307,94.20289855072464
3,без пунктуации [случайная ось],-0.00714605762845252,40.57971014492754
3,без служебных,0.07342774254949573,86.76470588235294
3,без служебных [случайная ось],-0.013952725787585744,22.058823529411764
4,исходный,0.0010591510514567182,53.48837209302325
4,исходный [случайная ось],-0.004381792241187484,46.51162790697674
4,перемешивание,0.3450343434938832,100.0
4,перемешивание [случайная ось],-0.010752307236670233,21.62162162162162
