полоса,режим,признак,тип,коэффициент,1 sd признака,шаг,R2 накопл.
крупный,все тексты,энтропия словоупотребления,механика,11.51,0.443,1,0.106
крупный,все тексты,синтаксическая сложность,судья,3.516,1.131,2,0.196
крупный,все тексты,доля повторов вплотную,механика,7.61,0.16,3,0.24
крупный,все тексты,уместность слов,судья,2.726,1.45,4,0.27
крупный,все тексты,доля имён собственных,механика,-1.972,0.043,5,0.28
крупный,все тексты,доля однократных слов,механика,1.317,0.09,6,0.289
крупный,внутри,энтропия словоупотребления,механика,3.46,0.131,1,0.05
крупный,внутри,уместность слов,судья,1.572,1.002,2,0.071
крупный,внутри,смысловая сложность,судья,1.675,0.71,3,0.077
крупный,внутри,доля повторов вплотную,механика,1.739,0.061,4,0.083
мелкий,все тексты,повтор триграмм,механика,-10.579,0.145,1,0.255
мелкий,все тексты,разнообразие словаря,механика,5.172,0.093,2,0.315
мелкий,все тексты,жёсткость формы,судья,-2.407,0.958,3,0.365
мелкий,все тексты,пунктуация,судья,-1.754,1.416,4,0.376
мелкий,все тексты,доля повторов вплотную,механика,2.702,0.16,5,0.383
мелкий,все тексты,синтаксическая сложность,судья,1.249,1.131,6,0.388
мелкий,внутри,повтор триграмм,механика,-1.974,0.055,1,0.094
мелкий,внутри,разнообразие словаря,механика,3.34,0.045,2,0.117
мелкий,внутри,доля повторов вплотную,механика,2.005,0.061,3,0.134
мелкий,внутри,жёсткость формы,судья,-1.391,0.709,4,0.145
мелкий,внутри,разброс длин предложений,механика,-1.593,0.142,5,0.157
мелкий,внутри,пунктуация,судья,-1.235,0.953,6,0.164
средний,все тексты,разнообразие словаря,механика,9.854,0.093,1,0.575
средний,все тексты,энтропия словоупотребления,механика,13.039,0.443,2,0.653
средний,все тексты,синтаксическая сложность,судья,3.618,1.131,3,0.688
средний,все тексты,доля повторов вплотную,механика,6.533,0.16,4,0.72
средний,все тексты,естественность как текста,судья,2.013,1.851,5,0.733
средний,все тексты,жёсткость формы,судья,-1.251,0.958,6,0.738
средний,внутри,разнообразие словаря,механика,4.177,0.045,1,0.382
средний,внутри,энтропия словоупотребления,механика,5.868,0.131,2,0.414
средний,внутри,доля повторов вплотную,механика,2.23,0.061,3,0.438
средний,внутри,уместность слов,судья,1.232,1.002,4,0.447
средний,внутри,жёсткость формы,судья,-0.971,0.709,5,0.452
