вариант,полоса,режим,шаг,признак,тип,коэффициент,R2 накопл.
A: сдвиг полосы,крупный,все тексты,1,энтропия словоупотребления,механика,6.502,0.154
A: сдвиг полосы,крупный,все тексты,2,синтаксическая сложность,судья,5.158,0.203
A: сдвиг полосы,крупный,все тексты,3,однотипность зачинов,механика,-3.642,0.249
A: сдвиг полосы,крупный,все тексты,4,уместность слов,судья,2.854,0.259
A: сдвиг полосы,крупный,все тексты,5,доля повторов вплотную,механика,3.145,0.267
A: сдвиг полосы,крупный,все тексты,6,смысловая сложность,судья,-2.202,0.277
A: сдвиг полосы,крупный,внутри,1,разнообразие словаря,механика,1.402,0.006
A: сдвиг полосы,крупный,внутри,2,однотипность зачинов,механика,-1.443,0.017
A: сдвиг полосы,крупный,внутри,3,уместность слов,судья,1.566,0.023
A: сдвиг полосы,крупный,внутри,4,смысловая сложность,судья,-1.211,0.03
A: сдвиг полосы,мелкий,все тексты,1,повтор триграмм,механика,0.281,0.265
A: сдвиг полосы,мелкий,все тексты,2,однотипность зачинов,механика,-6.01,0.307
A: сдвиг полосы,мелкий,все тексты,3,доля повторов вплотную,механика,-6.514,0.353
A: сдвиг полосы,мелкий,все тексты,4,доля однократных слов,механика,4.833,0.371
A: сдвиг полосы,мелкий,все тексты,5,пунктуация,судья,-3.168,0.392
A: сдвиг полосы,мелкий,все тексты,6,разброс длин предложений,механика,-3.792,0.418
A: сдвиг полосы,мелкий,внутри,1,смысловая сложность,судья,-1.949,0.007
A: сдвиг полосы,мелкий,внутри,2,доля имён собственных,механика,-1.319,0.019
A: сдвиг полосы,мелкий,внутри,3,энтропия словоупотребления,механика,1.202,0.024
A: сдвиг полосы,мелкий,внутри,4,разброс длин предложений,механика,-1.189,0.03
A: сдвиг полосы,средний,все тексты,1,энтропия словоупотребления,механика,7.162,0.457
A: сдвиг полосы,средний,все тексты,2,разнообразие словаря,механика,9.352,0.533
A: сдвиг полосы,средний,все тексты,3,синтаксическая сложность,судья,5.27,0.571
A: сдвиг полосы,средний,все тексты,4,доля однократных слов,механика,-3.304,0.584
A: сдвиг полосы,средний,все тексты,5,однотипность зачинов,механика,-3.306,0.594
A: сдвиг полосы,средний,все тексты,6,разброс длин предложений,механика,-2.456,0.604
A: сдвиг полосы,средний,внутри,1,разнообразие словаря,механика,2.817,0.063
A: сдвиг полосы,средний,внутри,2,доля повторов вплотную,механика,-2.216,0.105
A: сдвиг полосы,средний,внутри,3,энтропия словоупотребления,механика,1.75,0.117
A: сдвиг полосы,средний,внутри,4,уместность слов,судья,1.243,0.122
A: сдвиг полосы,средний,внутри,5,доля имён собственных,механика,-1.274,0.126
B: сама размерность,крупный,все тексты,1,энтропия словоупотребления,механика,1.139,0.133
B: сама размерность,крупный,все тексты,2,синтаксическая сложность,судья,0.663,0.235
B: сама размерность,крупный,все тексты,3,однотипность зачинов,механика,-0.532,0.264
B: сама размерность,крупный,все тексты,4,доля имён собственных,механика,-0.495,0.292
B: сама размерность,крупный,все тексты,5,смысловая сложность,судья,0.499,0.312
B: сама размерность,крупный,все тексты,6,доля повторов вплотную,механика,0.494,0.324
B: сама размерность,мелкий,все тексты,1,повтор триграмм,механика,-0.176,0.412
B: сама размерность,мелкий,все тексты,2,энтропия словоупотребления,механика,0.348,0.461
B: сама размерность,мелкий,все тексты,3,пунктуация,судья,-0.163,0.49
B: сама размерность,мелкий,все тексты,4,доля однократных слов,механика,0.304,0.534
B: сама размерность,мелкий,все тексты,5,однотипность зачинов,механика,-0.122,0.56
B: сама размерность,мелкий,все тексты,6,разнообразие словаря,механика,-0.18,0.587
B: сама размерность,средний,все тексты,1,энтропия словоупотребления,механика,1.912,0.575
B: сама размерность,средний,все тексты,2,разнообразие словаря,механика,1.268,0.688
B: сама размерность,средний,все тексты,3,синтаксическая сложность,судья,0.588,0.725
B: сама размерность,средний,все тексты,4,доля повторов вплотную,механика,0.531,0.742
B: сама размерность,средний,все тексты,5,однотипность зачинов,механика,-0.238,0.747
B: сама размерность,средний,все тексты,6,доля имён собственных,механика,-0.228,0.751
