полоса,режим,признак,тип,коэффициент,1 sd признака,шаг,R2 накопл.
крупный,все тексты,энтропия словоупотребления,механика,10.054,0.443,1,0.174
крупный,все тексты,синтаксическая сложность,судья,3.487,1.131,2,0.251
крупный,все тексты,доля повторов вплотную,механика,5.918,0.16,3,0.308
крупный,все тексты,уместность слов,судья,2.976,1.45,4,0.329
крупный,все тексты,жёсткость формы,судья,-2.168,0.958,5,0.347
крупный,все тексты,доля имён собственных,механика,-1.612,0.043,6,0.356
крупный,внутри,энтропия словоупотребления,механика,3.532,0.131,1,0.05
крупный,внутри,уместность слов,судья,1.598,1.002,2,0.076
крупный,внутри,доля однократных слов,механика,3.646,0.048,3,0.091
крупный,внутри,повтор триграмм,механика,3.165,0.055,4,0.105
крупный,внутри,редкость лексики,механика,-2.702,0.365,5,0.128
крупный,внутри,смысловая сложность,судья,1.563,0.71,6,0.14
мелкий,все тексты,повтор триграмм,механика,-7.677,0.145,1,0.412
мелкий,все тексты,разнообразие словаря,механика,8.364,0.093,2,0.45
мелкий,все тексты,жёсткость формы,судья,-2.903,0.958,3,0.482
мелкий,все тексты,энтропия словоупотребления,механика,-7.47,0.443,4,0.493
мелкий,все тексты,разброс длин предложений,механика,-4.163,0.299,5,0.512
мелкий,все тексты,однотипность зачинов,механика,-2.67,0.191,6,0.525
мелкий,внутри,повтор триграмм,механика,-1.974,0.055,1,0.072
мелкий,внутри,разнообразие словаря,механика,3.34,0.045,2,0.097
мелкий,внутри,доля повторов вплотную,механика,2.005,0.061,3,0.112
мелкий,внутри,разброс длин предложений,механика,-1.593,0.142,4,0.126
мелкий,внутри,жёсткость формы,судья,-1.391,0.709,5,0.137
мелкий,внутри,пунктуация,судья,-1.235,0.953,6,0.146
средний,все тексты,энтропия словоупотребления,механика,13.49,0.443,1,0.602
средний,все тексты,разнообразие словаря,механика,9.755,0.093,2,0.671
средний,все тексты,синтаксическая сложность,судья,3.248,1.131,3,0.705
средний,все тексты,доля повторов вплотную,механика,7.164,0.16,4,0.738
средний,все тексты,естественность как текста,судья,2.213,1.851,5,0.749
средний,все тексты,разнообразие пунктуации,механика,1.54,2.111,6,0.753
средний,внутри,разнообразие словаря,механика,2.887,0.045,1,0.398
средний,внутри,энтропия словоупотребления,механика,6.177,0.131,2,0.441
средний,внутри,доля повторов вплотную,механика,1.879,0.061,3,0.467
средний,внутри,уместность слов,судья,1.257,1.002,4,0.476
средний,внутри,доля однократных слов,механика,1.463,0.048,5,0.482
