признак,крупный: полоса,"крупный: полоса, внутри",крупный: остаток,"крупный: остаток, внутри",мелкий: полоса,"мелкий: полоса, внутри",мелкий: остаток,"мелкий: остаток, внутри",средний: полоса,"средний: полоса, внутри",средний: остаток,"средний: остаток, внутри"
уместность слов,0.44,0.194,0.4,0.187,-0.302,-0.075,-0.315,-0.099,0.219,0.182,0.259,0.155
связность изложения,0.398,0.03,0.32,0.026,-0.201,0.037,-0.303,-0.053,0.217,0.009,0.159,-0.045
тематический разброс,0.207,0.211,0.046,0.148,0.261,0.021,0.04,-0.011,0.402,0.193,0.058,0.056
скорость подачи нового,0.223,0.059,0.033,0.062,0.304,0.044,-0.02,-0.062,0.464,0.074,0.041,0.023
грамотность,0.403,0.16,0.34,0.119,-0.2,-0.018,-0.311,-0.102,0.26,0.203,0.209,0.109
жёсткость формы,-0.098,-0.09,-0.026,-0.085,-0.318,-0.175,-0.165,-0.055,-0.192,-0.06,-0.048,-0.025
пунктуация,0.352,0.125,0.293,0.084,-0.221,-0.072,-0.33,-0.125,0.214,0.162,0.152,0.063
синтаксическая сложность,0.523,0.139,0.423,0.13,-0.2,0.005,-0.222,-0.032,0.328,0.164,0.269,0.102
смысловая сложность,0.513,0.229,0.418,0.221,-0.225,0.029,-0.267,-0.038,0.312,0.184,0.252,0.122
естественность как текста,0.433,0.078,0.374,0.065,-0.196,0.004,-0.322,-0.06,0.253,0.164,0.233,0.096
