model,крупный,мелкий,средний,octant,кластер
13B,-12.77,-22.82,-33.5,−−−,4
30B,-12.69,-22.52,-29.22,−−−,4
65B,-8.59,-20.11,-25.58,−−−,4
7B,-18.76,-27.0,-40.26,−−−,4
GLM130B,-18.05,-36.33,-44.17,−−−,4
bloom_7b,6.6,37.82,28.32,+++,1
cohere,6.2,-18.97,-13.26,+−−,3
davinci,13.67,-9.36,-4.95,+−−,3
dolly,-6.49,-20.06,-22.3,−−−,4
gemma-7b-it,8.58,-10.48,8.4,+−+,3
gemma2-9b-it,-3.11,-13.25,-4.97,−−−,3
gpt-3.5-turbo,11.03,-16.9,-8.21,+−−,3
gpt-35,7.19,-22.14,-23.06,+−−,3
gpt4,-1.25,-14.69,-15.55,0−−,3
gpt4o,2.34,-10.86,-2.05,0−0,3
llama3-70b,5.16,-13.87,-4.89,+−−,3
llama3-8b,8.67,-15.24,-10.9,+−−,3
mixtral-8x7b,6.14,-12.62,-8.29,+−−,3
opt_1.3b,5.04,22.22,28.84,+++,1
opt_125m,4.72,13.09,19.68,+++,1
opt_2.7b,16.6,50.23,48.6,+++,2
opt_350m,1.14,18.61,21.98,0++,1
opt_6.7b,10.48,28.23,29.21,+++,1
opt_iml_max_1.3b,4.63,12.6,24.3,+++,1
text-davinci-002,-6.19,-18.21,-13.17,−−−,3
text-davinci-003,17.38,-14.01,-3.69,+−−,3
