model,крупный,мелкий,средний,octant,кластер
13B,-6.93,-21.59,-33.5,−−−,4
30B,-8.93,-21.41,-29.22,−−−,4
65B,-4.31,-18.94,-25.58,−−−,4
7B,-12.57,-25.26,-40.26,−−−,4
GLM130B,-10.39,-34.88,-44.17,−−−,4
bloom_7b,3.29,25.41,28.32,+++,1
cohere,10.97,-18.25,-13.26,+−−,3
davinci,18.08,-7.72,-4.95,+−−,3
dolly,-2.71,-18.54,-22.3,0−−,4
gemma-7b-it,9.6,-11.43,8.4,+−+,3
gemma2-9b-it,-2.45,-13.35,-4.97,0−−,3
gpt-3.5-turbo,15.73,-16.1,-8.21,+−−,3
gpt-35,15.33,-20.87,-23.06,+−−,3
gpt4,1.15,-12.75,-15.55,0−−,4
gpt4o,3.54,-11.08,-2.05,+−0,3
llama3-70b,7.36,-13.22,-4.89,+−−,3
llama3-8b,12.91,-13.16,-10.9,+−−,3
mixtral-8x7b,9.83,-12.07,-8.29,+−−,3
opt_1.3b,1.11,11.39,28.84,0++,1
opt_125m,2.44,6.32,19.68,0++,1
opt_2.7b,11.63,35.68,48.6,+++,2
opt_350m,-2.55,9.68,21.98,0++,1
opt_6.7b,8.4,16.61,29.21,+++,1
opt_iml_max_1.3b,1.06,4.69,24.3,0++,1
text-davinci-002,-4.52,-19.04,-13.17,−−−,4
text-davinci-003,23.58,-13.63,-3.69,+−−,3
