,крупный,мелкий,средний,octant,кластер,d_ttr,d_rep,структура,лексика,повтор
surface/digits_add,-18.16,5.04,-5.5,−+−,2,,,поверхность,,
surface/punct_add,-1.28,27.31,-8.25,0+−,2,,,поверхность,,
surface/typos,-0.74,6.69,3.57,0++,2,,,поверхность,,
syntax/burst_1to4,3.67,6.05,1.27,++0,2,,,поверхность,,
burst_flatten,2.53,6.77,0.87,0+0,2,0.0,0.0,поверхность,≈,≈
surface/caps_terms,3.31,8.19,8.98,+++,2,,,поверхность,,
vocab/top10,-42.35,71.3,-59.71,−+−,3,,,сломана,,
vocab/top25,-34.16,52.89,-54.61,−+−,3,,,сломана,,
vocab/top60,-20.57,26.1,-38.62,−+−,2,,,сломана,,
syntax/drop_funcwords,-10.6,12.15,3.02,−++,2,,,сломана,,
syntax/no_sent_bounds,0.73,11.15,4.9,0++,2,,,поверхность,,
deplete/ideas_down,-26.12,-9.72,-42.96,−−−,4,,,цела,,
ideas_up_hard,1.48,10.36,17.73,0++,1,0.108,-0.048,цела,богаче,меньше
ideas_up_v2,4.3,7.33,16.67,+++,1,0.105,-0.054,цела,богаче,меньше
deplete/lexdiv_down,0.95,-1.63,-6.93,00−,2,,,цела,,
lexical_diversity_up_hard,3.73,8.44,15.61,+++,1,0.102,-0.036,цела,богаче,меньше
enrich/lexdiv_up,4.56,10.46,16.27,+++,1,,,цела,,
loop/echo6w_x2,2.09,-36.11,-21.94,0−−,4,,,сломана,,
loop/echo6w_x4,-4.03,-57.68,-53.73,−−−,4,,,сломана,,
loop/phrase12w_x4,-62.91,13.36,-84.45,−+−,3,,,сломана,,
loop/tail_keep40_unit3w_drift,-34.17,-52.41,-54.62,−−−,4,,,сломана,,
loop/tail_keep20_unit3w,-55.92,-18.77,-81.69,−−−,3,,,сломана,,
loop/tail_keep40_unit3w,-35.12,-40.29,-69.91,−−−,4,,,сломана,,
loop/tail_keep60_unit3w,-26.72,-49.88,-49.93,−−−,4,,,сломана,,
loop/tail_keep60_unit1w,-14.08,-49.39,-41.39,−−−,4,,,сломана,,
surface/lowercase,1.75,3.25,-0.41,0+0,2,,,поверхность,,
ngram/n2,-3.51,34.35,28.22,−++,1,,,сломана,,
ngram_3,1.33,29.18,31.07,0++,1,0.156,-0.068,сломана,богаче,меньше
ngram/n4,4.52,19.85,24.66,+++,1,,,сломана,,
ngram_wide_2,-2.76,38.29,28.48,0++,1,0.177,-0.073,сломана,богаче,меньше
ngram_wide_3,0.16,32.39,31.07,0++,1,0.166,-0.071,сломана,богаче,меньше
shuffle_within_sentences,-12.56,39.44,-4.65,−+−,2,0.0,-0.072,сломана,≈,меньше
shuffle/words,-13.44,39.61,-5.39,−+−,2,,,сломана,,
splice/every2nd_sent,3.28,13.52,18.11,+++,1,,,сломана,,
splice/all_sents,6.37,29.24,30.93,+++,1,,,сломана,,
strip_digits,-0.25,1.95,-0.38,000,2,0.0,0.0,поверхность,≈,≈
surface/punct_strip,2.47,18.97,9.23,0++,2,,,поверхность,,
style/bulletin_abbrev,-13.69,9.68,-1.84,−+0,2,,,цела,,
style/dialogue_interj,-20.69,-7.44,-18.18,−−−,4,,,цела,,
style/literary_T0.7,11.08,17.38,24.34,+++,1,,,цела,,
style/literary_T1.3,13.48,15.76,28.82,+++,1,,,цела,,
style/literary_T1.7,11.44,12.81,27.7,+++,1,,,цела,,
style/news_dates,3.69,10.82,9.14,+++,2,,,цела,,
style/telegraphic,-13.37,1.77,-4.4,−0−,2,,,цела,,
style/scientific_terms,4.0,0.7,7.62,+0+,2,,,цела,,
style/simplified,-12.01,-3.86,-17.18,−−−,4,,,цела,,
surface/numbered_list,-3.97,-4.95,-2.07,−−0,2,,,поверхность,,
topics_down_v2,0.68,-0.72,-6.25,00−,2,-0.017,0.008,цела,≈,≈
enrich/topics_up_hard,10.42,17.79,29.29,+++,1,,,цела,,
topics_up_v2,9.08,15.47,25.44,+++,1,0.163,-0.049,цела,богаче,меньше
rarity/common_words,-2.88,1.4,-2.79,000,2,,,цела,,
rarity/rare_words,3.12,2.6,4.4,+0+,2,,,цела,,
hapax_swap_local,-19.42,14.16,-11.68,−+−,2,-0.0,0.0,сломана,≈,≈
hapax_swap_wide,-19.2,14.94,-12.43,−+−,2,-0.0,0.0,сломана,≈,≈
hapax_swap_wide_50,-12.9,9.52,-7.55,−+−,2,0.0,-0.0,сломана,≈,≈
echo_p25,-0.63,-18.76,-9.86,0−−,2,-0.083,0.248,сломана,беднее,больше
echo_p50,1.35,-29.32,-15.03,0−−,4,-0.138,0.41,сломана,беднее,больше
marker_p12,0.06,14.26,-5.36,0+−,2,-0.025,-0.023,сломана,≈,≈
marker_p3,-1.74,70.87,-18.48,0+−,2,-0.099,-0.014,сломана,беднее,≈
marker_p6,-0.41,34.04,-10.49,0+−,2,-0.053,-0.027,сломана,беднее,≈
context_locked,-2.41,-11.34,-7.43,0−−,2,-0.025,0.066,цела,≈,больше
syntax_complex,4.13,6.63,5.67,+++,2,0.007,-0.014,цела,≈,≈
syntax_monotone,-17.06,-3.57,-14.68,−−−,4,0.025,-0.018,цела,≈,≈
syntax_simple,-5.75,-4.03,-9.44,−−−,2,-0.047,0.027,цела,беднее,≈
syntax_varied,4.37,4.18,6.99,+++,2,0.03,-0.03,цела,≈,меньше
terms_long,-1.14,-4.93,-5.33,0−−,2,-0.035,0.05,цела,беднее,больше
style_anaphora,-21.34,-20.67,-19.89,−−−,4,-0.028,0.085,цела,≈,больше
style_catechism,-8.82,-31.85,-17.69,−−−,4,-0.059,0.231,цела,беднее,больше
style_code,-10.97,-15.48,-16.2,−−−,2,-0.061,0.046,цела,беднее,больше
style_equations,-19.42,-19.59,-26.16,−−−,4,-0.032,0.003,цела,беднее,≈
style_literary_apiyi,13.75,15.01,30.48,+++,1,0.119,-0.057,цела,богаче,меньше
style_record_fields,-19.55,-24.43,-15.96,−−−,4,0.02,0.022,цела,≈,≈
literary_echo25,11.92,-12.55,14.94,+−+,2,0.012,0.211,сломана,≈,больше
literary_echo50,15.51,-24.78,9.34,+−+,2,-0.057,0.377,сломана,беднее,больше
commonize_types,-0.11,1.68,-0.08,000,2,0.001,-0.0,сломана,≈,≈
vocab/expand100,-18.37,32.55,5.78,−++,2,,,сломана,,
vocab/expand50,-15.34,21.72,3.11,−++,2,,,сломана,,
rarify_types,-0.11,1.68,-0.08,000,2,-0.001,-0.001,сломана,≈,≈
rarify_types_50,-0.11,1.68,-0.08,000,2,-0.0,-0.001,сломана,≈,≈
lexdiv_down_more,-2.08,0.01,-13.68,00−,2,-0.072,0.037,цела,беднее,больше
topics_down_more,-1.7,-0.63,-14.65,00−,2,-0.05,0.047,цела,беднее,больше
inject_topic,2.15,5.21,8.42,0++,2,0.024,-0.015,цела,≈,≈
syn_max,2.83,6.81,14.42,0++,1,0.107,-0.029,цела,богаче,≈
syn_none,-3.08,-5.76,-10.01,−−−,2,-0.053,0.06,цела,беднее,больше
