L,"группа>=5%, длина>=1.2","группа>=5%, длина>=1.4","группа>=10%, длина>=1.2","группа>=10%, длина>=1.4","группа>=5 точек, длина>=1.4",из 10 длинных: группа>=5,из 10 длинных: группа>=5%,со_стоком,рёбер,топ10_без_hapax,топ10_без_hapax_лист,топ10_без_hapax_группа,текст
41,0,0,0,0,0,1,5,0,40,7,2,1,0
41,0,0,0,0,0,1,3,0,40,6,4,1,0
41,2,0,0,0,0,0,4,0,40,3,3,0,0
81,1,0,0,0,0,0,0,0,80,4,3,0,0
81,1,0,1,0,0,0,0,0,80,4,3,0,0
81,6,0,2,0,0,0,1,0,80,3,1,0,0
121,6,0,4,0,0,0,0,0,120,3,2,0,0
121,4,0,2,0,0,0,0,0,120,4,3,0,0
121,7,0,2,0,0,3,3,0,120,5,2,3,0
201,10,2,6,1,2,0,0,0,200,2,0,0,0
201,12,0,6,0,0,0,0,0,200,2,0,0,0
201,13,2,5,1,3,0,0,0,200,3,2,0,0
321,17,2,13,1,6,1,0,0,320,1,0,1,0
321,19,3,15,2,9,1,0,0,320,1,0,1,0
321,16,3,12,1,10,1,0,0,320,1,0,1,0
401,24,3,18,1,20,1,0,0,400,1,0,1,0
401,23,4,17,1,18,1,0,0,400,1,0,1,0
401,23,4,15,2,21,1,0,0,400,1,0,1,0
41,2,0,1,0,0,1,3,0,40,5,3,1,1
41,0,0,0,0,0,0,1,0,40,2,1,0,1
41,0,0,0,0,0,1,2,0,40,4,4,0,1
81,1,0,1,0,0,3,3,0,80,4,2,2,1
81,2,0,0,0,0,1,2,0,80,6,3,0,1
81,0,0,0,0,0,0,0,0,80,6,4,0,1
121,1,0,1,0,0,0,0,0,120,3,2,0,1
121,1,0,1,0,0,0,0,0,120,6,3,0,1
121,0,0,0,0,0,1,0,0,120,4,2,1,1
201,7,0,5,0,0,1,1,0,200,1,0,0,1
201,4,0,0,0,1,1,0,0,200,2,0,1,1
201,4,0,1,0,0,0,0,0,200,2,1,0,1
321,6,0,3,0,1,1,0,0,320,1,0,1,1
321,7,0,4,0,1,1,0,0,320,2,1,1,1
321,5,0,3,0,1,1,0,0,320,1,0,1,1
41,3,0,0,0,0,0,4,0,40,4,2,0,2
41,3,0,1,0,0,1,5,0,40,5,3,1,2
41,3,1,0,0,0,0,5,1,40,6,3,0,2
81,1,0,1,0,0,0,0,0,80,5,5,0,2
81,1,0,1,0,0,0,0,0,80,10,8,0,2
81,1,0,0,0,0,0,1,0,80,7,5,0,2
121,1,0,0,0,0,0,0,0,120,6,2,0,2
121,9,0,4,0,0,1,1,0,120,9,6,1,2
121,3,1,2,0,1,1,1,0,120,6,3,1,2
201,9,0,4,0,1,1,0,0,200,8,6,1,2
201,4,0,2,0,0,0,0,0,200,6,5,0,2
