,описание,octant,крупный,мелкий,средний,полос,сила
rarity/common_words,редкие слова заменены обиходными,000,-2.9,1.4,-2.8,0,2.9
strip_digits,числа удалены,000,-0.2,2.0,-0.4,0,2.0
commonize_types,каждый тип заменён на частотный той же длины,000,-0.1,1.7,-0.1,0,1.7
rarify_types,каждый тип слова заменён на редкий той же длины,000,-0.1,1.7,-0.1,0,1.7
rarify_types_50,то же для половины типов,000,-0.1,1.7,-0.1,0,1.7
burst_flatten,предложения выровнены по числу слов,0+0,2.5,6.8,0.9,1,6.8
surface/lowercase,весь текст в нижнем регистре,0+0,1.8,3.2,-0.4,1,3.2
topics_down_more,"сведение к одной теме, второй проход",00−,-1.7,-0.6,-14.6,1,14.6
lexdiv_down_more,"обеднение словаря, второй проход на своём выводе",00−,-2.1,0.0,-13.7,1,13.7
deplete/lexdiv_down,переписать беднее по словарю,00−,1.0,-1.6,-6.9,1,6.9
topics_down_v2,свести всё к одной теме,00−,0.7,-0.7,-6.2,1,6.2
syntax/burst_1to4,чередование одного короткого и одного длинного,++0,3.7,6.0,1.3,2,6.0
style/scientific_terms,научный стиль с терминами и аббревиатурами,+0+,4.0,0.7,7.6,2,7.6
rarity/rare_words,обычные слова заменены редкими синонимами,+0+,3.1,2.6,4.4,2,4.4
ngram_wide_2,биграммная модель по всему корпусу,0++,-2.8,38.3,28.5,2,38.3
ngram_wide_3,триграммная по всему корпусу,0++,0.2,32.4,31.1,2,32.4
ngram_3,из триграммной модели,0++,1.3,29.2,31.1,2,31.1
surface/punct_strip,пунктуация удалена,0++,2.5,19.0,9.2,2,19.0
ideas_up_hard,"то же, с количественным требованием",0++,1.5,10.4,17.7,2,17.7
syn_max,"ни одно знаменательное слово дважды, замены по смыслу",0++,2.8,6.8,14.4,2,14.4
syntax/no_sent_bounds,убраны границы предложений,0++,0.7,11.2,4.9,2,11.2
inject_topic,20 слов одной чужой темы вписаны в текст осмысленно,0++,2.2,5.2,8.4,2,8.4
surface/typos,внесены опечатки,0++,-0.7,6.7,3.6,2,6.7
marker_p3,один и тот же чужой токен вставлен каждые 3 слова,0+−,-1.7,70.9,-18.5,2,70.9
marker_p6,каждые 6 слов,0+−,-0.4,34.0,-10.5,2,34.0
surface/punct_add,запятые и точки с запятой на границах клауз,0+−,-1.3,27.3,-8.2,2,27.3
marker_p12,каждые 12 слов,0+−,0.1,14.3,-5.4,2,14.3
loop/echo6w_x2,каждые 6 слов повторяются 2 раза подряд,0−−,2.1,-36.1,-21.9,2,36.1
echo_p50,"то же, на половине кусков",0−−,1.4,-29.3,-15.0,2,29.3
echo_p25,"то же, но эхо на случайной четверти кусков",0−−,-0.6,-18.8,-9.9,2,18.8
context_locked,повторяющийся термин всегда в одной и той же обёртке,0−−,-2.4,-11.3,-7.4,2,11.3
terms_long,аббревиатуры развёрнуты в полные наименования,0−−,-1.1,-4.9,-5.3,2,5.3
style/bulletin_abbrev,информационная сводка с аббревиатурами,−+0,-13.7,9.7,-1.8,2,13.7
style/telegraphic,новостной телеграфный стиль,−0−,-13.4,1.8,-4.4,2,13.4
surface/numbered_list,текст оформлен нумерованным списком,−−0,-4.0,-5.0,-2.1,2,5.0
splice/all_sents,все предложения из чужих текстов,+++,6.4,29.2,30.9,3,30.9
style_literary_apiyi,"то же, контрольный прогон при T=0.7",+++,13.8,15.0,30.5,3,30.5
enrich/topics_up_hard,каждое предложение о другой предметной области,+++,10.4,17.8,29.3,3,29.3
style/literary_T1.3,"то же, второй прогон через APIYI",+++,13.5,15.8,28.8,3,28.8
style/literary_T1.7,"то же, третий прогон",+++,11.4,12.8,27.7,3,27.7
