,описание,octant,крупный,мелкий,средний,полос,сила
rarity/common_words,редкие слова заменены обиходными,000,-2.8,2.1,-2.8,0,2.8
strip_digits,числа удалены,000,-0.2,2.3,-0.4,0,2.3
commonize_types,каждый тип заменён на частотный той же длины,000,-0.1,1.8,-0.1,0,1.8
rarify_types,каждый тип слова заменён на редкий той же длины,000,-0.1,1.8,-0.1,0,1.8
rarify_types_50,то же для половины типов,000,-0.1,1.8,-0.1,0,1.8
burst_flatten,предложения выровнены по числу слов,0+0,2.6,8.5,0.9,1,8.5
surface/lowercase,весь текст в нижнем регистре,0+0,2.2,4.5,-0.4,1,4.5
syn_max,"ни одно знаменательное слово дважды, замены по смыслу",00+,1.4,3.0,14.4,1,14.4
deplete/lexdiv_down,переписать беднее по словарю,00−,2.7,0.6,-6.9,1,6.9
topics_down_v2,свести всё к одной теме,00−,2.0,1.6,-6.2,1,6.2
syntax/burst_1to4,чередование одного короткого и одного длинного,++0,4.1,7.5,1.3,2,7.5
style/scientific_terms,научный стиль с терминами и аббревиатурами,+0+,4.3,-1.6,7.6,2,7.6
rarity/rare_words,обычные слова заменены редкими синонимами,+0+,3.6,1.8,4.4,2,4.4
splice/all_sents,все предложения из чужих текстов,0++,2.1,22.4,30.9,2,30.9
ngram/n4,из 4-граммной модели,0++,1.3,14.4,24.7,2,24.7
surface/punct_strip,пунктуация удалена,0++,0.9,18.3,9.2,2,18.3
splice/every2nd_sent,каждое второе предложение взято из чужого текста,0++,0.9,9.6,18.1,2,18.1
ideas_up_hard,"то же, с количественным требованием",0++,-1.3,5.1,17.7,2,17.7
ideas_up_v2,каждое предложение несёт новый факт,0++,2.5,3.2,16.7,2,16.7
lexical_diversity_up_hard,ни одно знаменательное слово не дважды,0++,2.0,4.4,15.6,2,15.6
syntax/no_sent_bounds,убраны границы предложений,0++,-0.1,11.3,4.9,2,11.3
inject_topic,20 слов одной чужой темы вписаны в текст осмысленно,0++,1.5,3.8,8.4,2,8.4
surface/typos,внесены опечатки,0++,-1.4,6.0,3.6,2,6.0
marker_p3,один и тот же чужой токен вставлен каждые 3 слова,0+−,0.6,87.2,-18.5,2,87.2
marker_p6,каждые 6 слов,0+−,1.2,43.7,-10.5,2,43.7
surface/punct_add,запятые и точки с запятой на границах клауз,0+−,-0.4,34.4,-8.2,2,34.4
marker_p12,каждые 12 слов,0+−,1.0,18.4,-5.4,2,18.4
topics_down_more,"сведение к одной теме, второй проход",0+−,0.9,3.6,-14.6,2,14.6
lexdiv_down_more,"обеднение словаря, второй проход на своём выводе",0+−,-0.1,3.4,-13.7,2,13.7
echo_p25,"то же, но эхо на случайной четверти кусков",0−−,1.5,-19.4,-9.9,2,19.4
context_locked,повторяющийся термин всегда в одной и той же обёртке,0−−,-1.1,-11.0,-7.4,2,11.0
syn_none,"каждое понятие всегда одним и тем же словом, без синонимов",0−−,-1.6,-3.6,-10.0,2,10.0
terms_long,аббревиатуры развёрнуты в полные наименования,0−−,-0.4,-3.9,-5.3,2,5.3
style/bulletin_abbrev,информационная сводка с аббревиатурами,−+0,-14.8,6.5,-1.8,2,14.8
