свойство,механизм,gemini_up,gemini_down,gemini_разворот,sonnet_up,sonnet_down,sonnet_разворот,воспроизв,dz_макс,где,механ_rel,механ_dz,механ_где,механ_разворот
лексическое разнообразие,,0.7380315308208826,-0.27016508011166906,True,0.20050024292200333,-0.09241391197211377,True,True,2.43285739348328,gemini: q0.5_range q=0.25,,,,
редкость слов,,0.257359460957098,-0.07183994772739859,True,0.07888078235351825,-0.02045215511642569,True,True,1.8943690472117203,gemini: q0.5_range q=0.3,,,,
число идей,,0.315827300483373,0.24339414713132762,False,0.2036030893291881,-0.4754426678023943,True,True,1.8159787576499131,sonnet: q0.5_range q=0.35,,,,
разнообразие тем,,0.2752439164203375,0.10114548731599818,False,0.42076565234270874,-0.0851700412057218,True,True,1.9335186537679752,sonnet: q0.5_range q=0.3,,,,
сложность синтаксиса,,0.17340176603722346,-0.16778357739390165,True,0.06933399786022457,-0.10019731030623759,True,True,1.2479482721536788,gemini: q0.5_range q=0.2,0.08630077511620375,0.786873489011643,q_large q=0.8,False
порядок слов,,,,,,,,,,,0.34187732140851407,2.1724844202034643,q_large q=0.7,
порядок предложений,,,,,,,,,,,0.020596630959479816,0.27472764316936366,q_large q=0.05,
пунктуация,удаляет плотнейшие 11% токенов,,,,,,,,,,0.2532689039172557,1.6159242963607505,q_large q=0.7,
опечатки,,,,,,,,,,,0.10832194928459156,1.1774129712713979,q0.5_range q=0.25,
переносы строк,,,,,,,,,,,-0.06334110396117945,-0.8316805122751901,q_large q=0.7,
регистр,,,,,,,,,,,0.01926487153923595,0.2570832089559556,q0.5_range q=0.45,
