перт,long_len,spread_gap,radius,eff_dim,d крупный,швы,hapax,смысл.
burst_alternate,0.002,-0.038,-0.002,1.135,4.172,-1.62,1.75,-0.25
burst_flatten,0.003,0.017,-0.001,1.419,2.78,-2.0,-0.13,1.25
drop_sentence_boundaries,-0.001,-0.244,0.003,1.864,0.216,-0.5,0.12,4.88
loop_phrase,-0.096,7.397,0.02,-24.735,-49.753,8.12,-7.38,-5.5
add_punctuation,-0.012,-0.113,-0.013,0.248,-0.45,6.5,-4.13,-1.5
strip_punctuation,0.005,-0.385,0.012,5.454,2.034,-5.62,-3.5,15.75
add_digits,-0.014,-0.141,-0.021,0.869,-21.156,14.0,-1.25,-6.5
strip_digits,-0.006,-0.139,0.005,0.645,-0.197,0.5,-3.25,7.0
capitalize_terms,-0.001,-0.252,-0.005,-0.419,2.861,-0.88,4.0,-7.62
lowercase,0.002,0.007,-0.003,0.584,2.441,1.88,-3.38,-5.12
to_numbered_list,0.008,0.192,-0.011,-0.738,-4.476,7.62,3.5,-7.38
drop_function_words,-0.011,-0.24,-0.013,2.841,-12.879,1.38,1.5,0.25
shuffle_words,-0.021,-0.609,-0.021,2.85,-14.407,8.25,-3.88,-4.12
shuffle_within_sentences,-0.016,-0.602,-0.018,2.49,-13.518,9.88,-3.75,-4.75
add_typos,-0.002,-0.163,0.0,1.586,-1.314,-0.38,-0.25,3.0
style_news_telegraphic,-0.029,0.405,-0.008,-3.865,-15.315,-2.0,0.0,4.5
style_simplified,-0.029,0.499,0.005,-4.095,-12.769,-2.75,-6.62,11.88
style_news_dates_suffixes,0.002,-0.181,-0.004,5.463,3.609,-0.63,1.62,3.5
style_dialogue_interjections,-0.027,0.503,-0.016,-2.785,-22.414,4.5,-9.25,2.5
style_literary,-0.003,-0.302,-0.006,7.186,9.45,-3.0,7.75,7.12
style_bulletin_abbreviations,-0.035,-0.006,-0.034,-0.3,-15.634,2.38,5.38,-9.12
style_scientific_terms,-0.009,-0.074,0.001,2.745,3.895,-3.12,-6.5,7.5
ideas_up_v2,-0.005,-0.12,0.002,3.306,2.368,-3.25,9.75,9.0
ideas_down_v2,-0.045,0.833,0.019,-6.932,-21.437,-3.68,-19.21,13.16
