перт,ttr,hapax,word_entropy,zipf_slope,top10_share,content_ratio,bigram_repeat,mean_sent_len,крупный,мелкий,средний
burst_flatten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1195,2.53,6.77,0.87
strip_digits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6057,-0.25,1.95,-0.38
shuffle_within_sentences,0.0018,0.0029,0.0027,0.0019,-0.0008,0.0023,-0.0732,-1.4059,-12.56,39.44,-4.65
ideas_up_v2,0.0794,0.108,0.1609,0.0876,-0.0314,0.0682,-0.0411,-5.7331,4.3,7.33,16.67
topics_up_v2,0.1456,0.1975,0.2405,0.1615,-0.0534,0.0829,-0.0539,-1.6398,9.08,15.47,25.44
topics_down_v2,-0.0064,0.0043,-0.0981,-0.0123,0.0314,0.0438,0.0152,0.6668,0.68,-0.72,-6.25
ngram_3,0.1442,0.2105,0.2702,0.1667,-0.0403,0.0088,-0.0714,-3.3993,1.33,29.18,31.07
hapax_swap_wide,-0.0003,-0.0003,-0.0012,-0.0004,0.0005,0.0033,0.0002,-0.1019,-19.2,14.94,-12.43
hapax_swap_wide_50,-0.0,-0.0002,0.0001,0.0001,0.0,0.0011,-0.0002,0.0,-12.9,9.52,-7.55
hapax_swap_local,-0.0002,-0.0002,-0.0012,0.0,0.0006,0.0038,0.0,-0.1019,-19.42,14.16,-11.68
rarify_types,-0.0044,-0.0048,-0.013,-0.0052,0.0035,0.0268,0.0012,-0.5477,-0.11,1.68,-0.08
rarify_types_50,-0.0011,-0.0005,-0.0046,-0.0014,0.0017,0.0145,0.0,-0.0616,-0.11,1.68,-0.08
commonize_types,0.0012,0.0012,0.0033,0.0016,-0.0008,0.0203,-0.0008,-0.1019,-0.11,1.68,-0.08
marker_p3,-0.1014,-0.06,-0.6826,-0.0533,0.1697,0.0998,0.0342,5.7579,-1.74,70.87,-18.48
marker_p6,-0.0585,-0.0377,-0.3123,-0.0507,0.0914,0.0565,0.0038,2.6084,-0.41,34.04,-10.49
marker_p12,-0.0309,-0.0218,-0.1237,-0.0372,0.0421,0.0286,-0.0072,1.4149,0.06,14.26,-5.36
echo_p25,-0.0902,-0.1497,-0.1588,-0.0559,0.0144,0.0012,0.1426,0.5668,-0.63,-18.76,-9.86
echo_p50,-0.1485,-0.2562,-0.2503,-0.0392,0.0202,0.0029,0.2333,0.0919,1.35,-29.32,-15.03
literary_echo25,0.0044,-0.0526,0.0706,0.0472,-0.0356,0.0658,0.1012,5.2654,11.92,-12.55,14.94
literary_echo50,-0.0735,-0.1923,-0.0549,0.0421,-0.0262,0.0636,0.1991,4.6765,15.51,-24.78,9.34
ideas_up_hard,0.0842,0.1032,0.1934,0.0927,-0.045,0.0814,-0.0374,-6.4434,1.48,10.36,17.73
lexical_diversity_up_hard,0.1095,0.1329,0.2496,0.1238,-0.0577,0.0662,-0.0461,-0.8357,3.73,8.44,15.61
syntax_simple,-0.0341,-0.0408,-0.0872,-0.0392,0.0205,-0.0086,0.0181,-13.6002,-5.75,-4.03,-9.44
syntax_complex,0.0315,0.0427,0.067,0.0328,-0.012,0.0223,-0.0205,10.4401,4.13,6.63,5.67
syntax_monotone,0.0021,0.0067,-0.1386,0.0013,0.0271,0.0527,0.0094,-12.6589,-17.06,-3.57,-14.68
syntax_varied,0.0282,0.0342,0.054,0.0287,-0.0133,0.0089,-0.021,-4.4379,4.37,4.18,6.99
context_locked,-0.0333,-0.0306,-0.1064,-0.0416,0.0263,0.0196,0.0623,1.1282,-2.41,-11.34,-7.43
terms_long,-0.0286,-0.0292,-0.0902,-0.032,0.0208,0.0117,0.0436,1.7405,-1.14,-4.93,-5.33
style_record_fields,0.0168,-0.0035,0.1028,0.0384,-0.0517,0.1871,0.037,19.5023,-19.55,-24.43,-15.96
style_anaphora,-0.0386,-0.0077,-0.1877,-0.0529,0.0805,-0.0064,0.0994,0.0271,-21.34,-20.67,-19.89
style_catechism,-0.0802,-0.1055,-0.1828,-0.0757,0.0311,0.0535,0.1654,-2.657,-8.82,-31.85,-17.69
style_code,-0.0439,-0.0824,-0.0324,-0.0236,-0.0218,0.1029,0.0504,3.5114,-10.97,-15.48,-16.2
style_equations,-0.0523,-0.0545,-0.1392,-0.0617,0.0312,0.1715,0.0379,5.2933,-19.42,-19.59,-26.16
style_literary_apiyi,0.1241,0.1659,0.259,0.1389,-0.0492,0.0658,-0.0604,3.2094,13.75,15.01,30.48
lexdiv_down_more,-0.0637,-0.0753,-0.1593,-0.071,0.0344,-0.0045,0.0342,-0.2329,-2.08,0.01,-13.68
topics_down_more,-0.0289,-0.0259,-0.1517,-0.0349,0.0435,0.0421,0.0341,0.0453,-1.7,-0.63,-14.65
syn_none,-0.0512,-0.0529,-0.1603,-0.0574,0.0452,0.0206,0.0486,1.0681,-3.08,-5.76,-10.01
syn_max,0.1041,0.1268,0.2182,0.1197,-0.0519,0.0719,-0.037,-1.5294,2.83,6.81,14.42
inject_topic,0.0177,0.023,0.0348,0.0186,-0.0052,0.0032,-0.012,-0.6432,2.15,5.21,8.42
script_events,0.0062,0.0323,-0.0787,0.0103,0.0447,0.1023,0.0041,-14.4331,-32.59,-21.23,-34.99
essay_one_topic,0.1833,0.235,0.4076,0.2056,-0.0929,0.1477,-0.0708,-2.0768,10.79,16.65,32.54
