feature,low,high,sep,mode,q,control
ttr,0.39511363636363633,0.8235227272727272,4.566201874100315,q0.5_range,0.0,raw
hapax,0.22440909090909092,0.7252045454545456,5.2023011814627305,q0.5_range,0.0,raw
top1_share,0.09302272727272726,0.03288636363636364,-2.0416953275061673,q0.5_range,0.0,raw
top10_share,0.4290681818181818,0.16702272727272727,-2.7824086419396874,q0.5_range,0.0,raw
word_entropy,3.978626726099741,5.079895626673185,3.17251408282994,q0.5_range,0.0,raw
zipf_slope,-0.7662560390992471,-0.2860098173920856,3.624207183338502,q0.5_range,0.0,raw
content_ratio,0.5802499999999999,0.6974772727272728,1.7618040142930578,q0.5_range,0.0,raw
content_ttr,0.5128186828724658,0.9329657835758729,3.4952374442358507,q0.5_range,0.0,raw
bigram_repeat,0.31963470319634707,0.007945205479452079,-2.0998157970032425,q0.5_range,0.0,raw
trigram_repeat,0.22435779816513762,0.0007568807339449513,-1.3722446779805986,q0.5_range,0.0,raw
mean_word_len,4.476477272727273,5.067113636363636,1.0932906251357244,q0.5_range,0.0,raw
long_word_rate,0.12945454545454546,0.17070454545454544,0.5192069101263335,q0.5_range,0.0,raw
mean_sent_len,25.18774231431837,29.069255009696185,0.15661590080977736,q0.5_range,0.0,raw
sd_sent_len,11.374330920225058,18.390797275985747,0.49631957593054404,q0.5_range,0.0,raw
sent_len_burst,0.49992612379829926,0.6119805751880558,0.47586278041962077,q0.5_range,0.0,raw
n_sents_per_100w,6.577272727272727,4.075,-0.8203490058487442,q0.5_range,0.0,raw
subordinator_rate,0.022840909090909092,0.032136363636363637,0.5081515269929316,q0.5_range,0.0,raw
function_rate,0.41975,0.3025227272727273,-1.761804014293056,q0.5_range,0.0,raw
connective_rate,0.0018409090909090908,0.002045454545454545,0.04571219181163827,q0.5_range,0.0,raw
hedge_rate,0.0045681818181818185,0.006022727272727273,0.19346548574537756,q0.5_range,0.0,raw
pron12_rate,0.03584090909090909,0.02493181818181818,-0.31841939976219863,q0.5_range,0.0,raw
comma_rate,0.008800867836788026,0.0042280244727199755,-0.8684963370926659,q0.5_range,0.0,raw
punct_rate,0.023303125956419334,0.014972261087496368,-0.7787345178919867,q0.5_range,0.0,raw
quote_rate,0.0077999297938321135,0.003990524410099202,-0.3686115134859701,q0.5_range,0.0,raw
paren_rate,0.002806170969871147,0.0022749873616459888,-0.0913041169932751,q0.5_range,0.0,raw
dash_rate,0.0016237128236164821,0.0017392864953233624,0.04737390184639064,q0.5_range,0.0,raw
digit_rate,0.009071018630334273,0.005359522517798536,-0.29956201467695587,q0.5_range,0.0,raw
upper_rate,0.02799247351468153,0.021373101079652984,-0.387280774667778,q0.5_range,0.0,raw
linebreak_per_100w,1.0204545454545453,0.013636363636363636,-0.34144693907611107,q0.5_range,0.0,raw
bullet_rate,0.05454545454545454,0.0022727272727272726,-0.16817006346018856,q0.5_range,0.0,raw
question_rate,0.03513959956037255,0.07851811423870247,0.3234259427727839,q0.5_range,0.0,raw
exclaim_rate,0.013246198201227974,0.14296081859317153,0.6636167651923461,q0.5_range,0.0,raw
mean_log_rank,4.6960866054043064,5.475508391881471,1.6251800088524404,q0.5_range,0.0,raw
rare_word_rate,0.07402272727272727,0.13318181818181818,0.9620386650284437,q0.5_range,0.0,raw
ttr,-0.19364861157869348,0.19820185471347518,3.8223195860428847,q0.5_range,0.0,within_domain
hapax,-0.2123054713158057,0.24211238301527843,4.2490035482894,q0.5_range,0.0,within_domain
top1_share,0.02675556301273796,-0.030647678136747958,-1.9509869837786986,q0.5_range,0.0,within_domain
top10_share,0.12355061240223673,-0.12072860331396966,-2.5033046031409687,q0.5_range,0.0,within_domain
word_entropy,-0.5433420884929714,0.479558031196321,2.8233002869022195,q0.5_range,0.0,within_domain
zipf_slope,-0.20936284616894332,0.22786628511952198,3.13961946111024,q0.5_range,0.0,within_domain
content_ratio,-0.032211059987399995,0.0710587631440707,1.6843153141837393,q0.5_range,0.0,within_domain
content_ttr,-0.22937101860602602,0.15779726897319785,3.0721858893753002,q0.5_range,0.0,within_domain
bigram_repeat,0.2067467121491331,-0.09142933968888467,-2.0031249452151783,q0.5_range,0.0,within_domain
trigram_repeat,0.17010225651909747,-0.05050965875084266,-1.3666029096647347,q0.5_range,0.0,within_domain
mean_word_len,-0.23713687009072867,0.3385633643472275,1.5073750162811286,q0.5_range,0.0,within_domain
long_word_rate,-0.02100929021415795,0.024225165670444505,0.8548834564683074,q0.5_range,0.0,within_domain
mean_sent_len,2.785266981764591,5.637822043610131,0.12147444058327335,q0.5_range,0.0,within_domain
sd_sent_len,0.09221497621514774,6.290524574104007,0.4446256591194871,q0.5_range,0.0,within_domain
sent_len_burst,-0.006667969275296205,0.09119433234591234,0.4328968662717353,q0.5_range,0.0,within_domain
n_sents_per_100w,1.0903150778588697,-1.3365434421144335,-0.914924406779445,q0.5_range,0.0,within_domain
subordinator_rate,-0.003361891807738787,0.0054709018175370695,0.48790249967216737,q0.5_range,0.0,within_domain
function_rate,0.032211059987400016,-0.07105876314407066,-1.684315314183739,q0.5_range,0.0,within_domain
connective_rate,-0.00024799918276983664,0.0002885248762179044,0.12276602049740994,q0.5_range,0.0,within_domain
hedge_rate,-0.000913926199094939,0.0017360405332185462,0.3825273551970729,q0.5_range,0.0,within_domain
pron12_rate,0.005549102401071717,-0.003244059234957848,-0.30156857761245903,q0.5_range,0.0,within_domain
comma_rate,0.0012236701009721968,-0.00314057277283217,-0.8497432237422156,q0.5_range,0.0,within_domain
punct_rate,0.00400186818137244,-0.0041485440213548585,-0.8539281857663789,q0.5_range,0.0,within_domain
quote_rate,0.0029491183680658726,-0.0011235041118240502,-0.42056986286537795,q0.5_range,0.0,within_domain
paren_rate,0.0004652749313271136,2.6307247475860023e-05,-0.07883421701235985,q0.5_range,0.0,within_domain
dash_rate,2.2861337642594734e-05,0.00015953245318795555,0.06028357502511257,q0.5_range,0.0,within_domain
digit_rate,0.003803942185014165,-0.001103010521126196,-0.41422635105298145,q0.5_range,0.0,within_domain
upper_rate,0.005731209845747056,-0.0035469139816833193,-0.6067897930016835,q0.5_range,0.0,within_domain
linebreak_per_100w,0.15089161001615684,-0.031000625190362455,-0.07421867140985636,q0.5_range,0.0,within_domain
bullet_rate,-0.0024161226964806715,-0.0036063128686815603,-0.004108512909035694,q0.5_range,0.0,within_domain
question_rate,-0.006557698754705549,0.03829154713172171,0.3522691926633429,q0.5_range,0.0,within_domain
exclaim_rate,-0.023983339210977898,0.09225991344209618,0.64269714439199,q0.5_range,0.0,within_domain
