mode,q,d_hat,набор,текст,условие
q0.5_range,0.0,3.879749838717488,механические,0,исходный
q0.5_range,0.05,4.201296311451349,механические,0,исходный
q0.5_range,0.1,4.641450701421323,механические,0,исходный
q0.5_range,0.15,5.2775489809383815,механические,0,исходный
q0.5_range,0.2,6.186365559697233,механические,0,исходный
q0.5_range,0.25,7.499693705434005,механические,0,исходный
q0.5_range,0.3,9.27795287475389,механические,0,исходный
q0.5_range,0.35,11.33925297627029,механические,0,исходный
q0.5_range,0.4,13.258609086396135,механические,0,исходный
q0.5_range,0.45,14.722197256697749,механические,0,исходный
q0.5_range,0.5,16.145670363844797,механические,0,исходный
q_large,0.0,7.220327848210813,механические,0,исходный
q_large,0.05,6.855390315731924,механические,0,исходный
q_large,0.1,6.532279100823303,механические,0,исходный
q_large,0.15,6.216635917807699,механические,0,исходный
q_large,0.2,5.899003499177987,механические,0,исходный
q_large,0.25,5.578894122526009,механические,0,исходный
q_large,0.3,5.255972660317915,механические,0,исходный
q_large,0.35,4.928670235745354,механические,0,исходный
q_large,0.4,4.590315156652526,механические,0,исходный
q_large,0.45,4.23996256522905,механические,0,исходный
q_large,0.5,3.879749838717488,механические,0,исходный
q_large,0.55,3.5178072809241647,механические,0,исходный
q_large,0.6,3.186591347417349,механические,0,исходный
q_large,0.65,2.945160286950818,механические,0,исходный
q_large,0.7,2.8257301098525627,механические,0,исходный
q_large,0.75,2.8487120957010745,механические,0,исходный
q_large,0.8,3.0233544281121985,механические,0,исходный
q_large,0.85,3.3803690324040163,механические,0,исходный
q_large,0.9,4.097999065282669,механические,0,исходный
q_small,0.0,7.220327848210813,механические,0,исходный
q_small,0.05,7.263411972452099,механические,0,исходный
q_small,0.1,7.465799723326695,механические,0,исходный
q_small,0.15,7.9035447349309855,механические,0,исходный
q_small,0.2,8.627667344088984,механические,0,исходный
q_small,0.25,9.727587130576978,механические,0,исходный
q_small,0.3,11.214383008601857,механические,0,исходный
q_small,0.35,12.893275604090784,механические,0,исходный
q_small,0.4,14.403385084144666,механические,0,исходный
q_small,0.45,15.43414159663241,механические,0,исходный
q_small,0.5,16.145670363844797,механические,0,исходный
q_small,0.55,16.75247443573802,механические,0,исходный
q_small,0.6,17.346563224658503,механические,0,исходный
q_small,0.65,17.99218219420017,механические,0,исходный
q_small,0.7,18.73368733103087,механические,0,исходный
q_small,0.75,19.524385461797916,механические,0,исходный
q_small,0.8,20.406032261944745,механические,0,исходный
q_small,0.85,21.512870099429826,механические,0,исходный
q_small,0.9,23.3055798953362,механические,0,исходный
q0.5_range,0.0,4.411887812936535,механические,0,перемешивание
q0.5_range,0.05,4.824356050008463,механические,0,перемешивание
q0.5_range,0.1,5.264135707273207,механические,0,перемешивание
q0.5_range,0.15,5.837418488115543,механические,0,перемешивание
q0.5_range,0.2,6.686540651793203,механические,0,перемешивание
q0.5_range,0.25,7.860875131065962,механические,0,перемешивание
q0.5_range,0.3,9.370402277802537,механические,0,перемешивание
q0.5_range,0.35,11.069324568637343,механические,0,перемешивание
q0.5_range,0.4,12.636830747303694,механические,0,перемешивание
q0.5_range,0.45,13.916181808696447,механические,0,перемешивание
q0.5_range,0.5,15.132895075086473,механические,0,перемешивание
q_large,0.0,7.623683862451362,механические,0,перемешивание
q_large,0.05,7.280648450384712,механические,0,перемешивание
q_large,0.1,6.979078157137823,механические,0,перемешивание
q_large,0.15,6.683590977926871,механические,0,перемешивание
q_large,0.2,6.384171804568534,механические,0,перемешивание
q_large,0.25,6.0747266044540815,механические,0,перемешивание
q_large,0.3,5.756872403272518,механические,0,перемешивание
q_large,0.35,5.432784748883391,механические,0,перемешивание
q_large,0.4,5.099351252474284,механические,0,перемешивание
q_large,0.45,4.759189349620145,механические,0,перемешивание
q_large,0.5,4.411887812936535,механические,0,перемешивание
q_large,0.55,4.0741821659463895,механические,0,перемешивание
q_large,0.6,3.778545771633378,механические,0,перемешивание
q_large,0.65,3.564877583216547,механические,0,перемешивание
q_large,0.7,3.47230019993218,механические,0,перемешивание
q_large,0.75,3.5024835151871834,механические,0,перемешивание
q_large,0.8,3.6473754542446644,механические,0,перемешивание
q_large,0.85,3.8814724524260393,механические,0,перемешивание
q_large,0.9,3.9737812690410492,механические,0,перемешивание
q_small,0.0,7.623683862451362,механические,0,перемешивание
q_small,0.05,7.80194541048672,механические,0,перемешивание
