набор,текст,условие,вариант,CV
механические,0,исходный,со стоками,0.0623161614363165
механические,0,исходный,без стоков,0.0525446384169033
механические,0,перемешивание,со стоками,0.0670059327173784
механические,0,перемешивание,без стоков,0.04792551237643546
механические,0,эхо x2,со стоками,0.060901626587006964
механические,0,эхо x2,без стоков,0.05753045955126551
механические,0,эхо x4,со стоками,0.05551674248735278
механические,0,эхо x4,без стоков,0.049603527218078675
механические,0,эхо на четверти,со стоками,0.06285187426221031
механические,0,эхо на четверти,без стоков,0.0522457857544626
механические,0,словарь к 25,со стоками,0.07712453851385179
механические,0,словарь к 25,без стоков,0.09380685974812358
механические,0,словарь к 60,со стоками,0.06329661231911081
механические,0,словарь к 60,без стоков,0.04343742970591879
механические,0,все слова разные,со стоками,0.079073566208951
механические,0,все слова разные,без стоков,0.04656525726716012
механические,0,чужие хапаксы,со стоками,0.06957861054805559
механические,0,чужие хапаксы,без стоков,0.0406970847870592
механические,0,хапаксы одного домена,со стоками,0.0764602389084288
механические,0,хапаксы одного домена,без стоков,0.04655474116816705
механические,0,20 чужих хапаксов,со стоками,0.054994594509475025
механические,0,20 чужих хапаксов,без стоков,0.042479158444817096
механические,0,маркер каждые 3,со стоками,0.0736469246060909
механические,0,маркер каждые 3,без стоков,0.06160624561123662
механические,0,без пунктуации,со стоками,0.08076478400855087
механические,0,без пунктуации,без стоков,0.054890451073140174
механические,0,без служебных,со стоками,0.07427658066590397
механические,0,без служебных,без стоков,0.05663083612158291
механические,1,исходный,со стоками,0.06552115507050149
механические,1,исходный,без стоков,0.05172529840056748
механические,1,перемешивание,со стоками,0.09340119846333483
механические,1,перемешивание,без стоков,0.06108946682398427
механические,1,эхо x2,со стоками,0.05214184727060948
механические,1,эхо x2,без стоков,0.044876377672356166
механические,1,эхо x4,со стоками,0.0631351188444381
механические,1,эхо x4,без стоков,0.06401609547803576
механические,1,эхо на четверти,со стоками,0.06156404415198355
механические,1,эхо на четверти,без стоков,0.051521274676269734
механические,1,словарь к 25,со стоками,0.08765817106116663
механические,1,словарь к 25,без стоков,0.05843837121111936
механические,1,словарь к 60,со стоками,0.0695513369695193
механические,1,словарь к 60,без стоков,0.04782708732039794
механические,1,все слова разные,со стоками,0.09721901581799436
механические,1,все слова разные,без стоков,0.05886706407177311
механические,1,чужие хапаксы,со стоками,0.08835665780785897
механические,1,чужие хапаксы,без стоков,0.05023983540913973
механические,1,хапаксы одного домена,со стоками,0.07279027842266206
механические,1,хапаксы одного домена,без стоков,0.05728739455453416
механические,1,20 чужих хапаксов,со стоками,0.06509728290181184
механические,1,20 чужих хапаксов,без стоков,0.05116583310528977
механические,1,маркер каждые 3,со стоками,0.07338811519479695
механические,1,маркер каждые 3,без стоков,0.04262010699333421
механические,1,без пунктуации,со стоками,0.0839555079178141
механические,1,без пунктуации,без стоков,0.05580898268092712
механические,1,без служебных,со стоками,0.07686530206994326
механические,1,без служебных,без стоков,0.03899913621618284
механические,2,исходный,со стоками,0.07446379063133012
механические,2,исходный,без стоков,0.0636161907769774
механические,2,перемешивание,со стоками,0.10782843510331659
механические,2,перемешивание,без стоков,0.07702260151299531
механические,2,эхо x2,со стоками,0.055895009528515636
механические,2,эхо x2,без стоков,0.048980830940977244
механические,2,эхо x4,со стоками,0.06296046563222424
механические,2,эхо x4,без стоков,0.06571380958413975
механические,2,эхо на четверти,со стоками,0.06585879543350838
механические,2,эхо на четверти,без стоков,0.0532054118509289
механические,2,словарь к 25,со стоками,0.0955957558731515
механические,2,словарь к 25,без стоков,0.09927247846936521
механические,2,словарь к 60,со стоками,0.09163958933676329
механические,2,словарь к 60,без стоков,0.07596146928847373
механические,2,все слова разные,со стоками,0.13050157402202944
механические,2,все слова разные,без стоков,0.10116528559962008
механические,2,чужие хапаксы,со стоками,0.08921050220632865
механические,2,чужие хапаксы,без стоков,0.07731553386426943
механические,2,хапаксы одного домена,со стоками,0.09185032316150997
механические,2,хапаксы одного домена,без стоков,0.0811590990756755
механические,2,20 чужих хапаксов,со стоками,0.07933370189240066
механические,2,20 чужих хапаксов,без стоков,0.07026909845169808
механические,2,маркер каждые 3,со стоками,0.09641536875283702
механические,2,маркер каждые 3,без стоков,0.08231944074556213
механические,2,без пунктуации,со стоками,0.07507295253915434
механические,2,без пунктуации,без стоков,0.04234436575797343
механические,2,без служебных,со стоками,0.08586426569308125
механические,2,без служебных,без стоков,0.07203933116030044
механические,3,исходный,со стоками,0.08331565548212684
механические,3,исходный,без стоков,0.06599028114091142
механические,3,перемешивание,со стоками,0.09722549757703937
механические,3,перемешивание,без стоков,0.06230510487103658
механические,3,эхо x2,со стоками,0.061185213827900244
механические,3,эхо x2,без стоков,0.052978600763933535
механические,3,эхо x4,со стоками,0.05596185719188037
механические,3,эхо x4,без стоков,0.05039837138912543
механические,3,эхо на четверти,со стоками,0.08029663874371666
механические,3,эхо на четверти,без стоков,0.05874823611646196
механические,3,словарь к 25,со стоками,0.0852988340737586
механические,3,словарь к 25,без стоков,0.06100945110002298
механические,3,словарь к 60,со стоками,0.09324719529921909
механические,3,словарь к 60,без стоков,0.07550528406016362
механические,3,все слова разные,со стоками,0.09512394150488657
механические,3,все слова разные,без стоков,0.06330523279012706
механические,3,чужие хапаксы,со стоками,0.09289526662838536
механические,3,чужие хапаксы,без стоков,0.07799655579037727
механические,3,хапаксы одного домена,со стоками,0.09280866344827705
механические,3,хапаксы одного домена,без стоков,0.06506964204677057
механические,3,20 чужих хапаксов,со стоками,0.0889169730242534
механические,3,20 чужих хапаксов,без стоков,0.06651482311281899
механические,3,маркер каждые 3,со стоками,0.0885117241465815
механические,3,маркер каждые 3,без стоков,0.06702664760983544
механические,3,без пунктуации,со стоками,0.08512908929729966
механические,3,без пунктуации,без стоков,0.04957650145495065
механические,3,без служебных,со стоками,0.09824366913453415
механические,3,без служебных,без стоков,0.07272289228987826
механические,4,исходный,со стоками,0.07437153249043248
механические,4,исходный,без стоков,0.06937477332508159
механические,4,перемешивание,со стоками,0.0809929209706546
механические,4,перемешивание,без стоков,0.04976889965082174
механические,4,эхо x2,со стоками,0.06376661526652459
механические,4,эхо x2,без стоков,0.04433032674439626
механические,4,эхо x4,со стоками,0.057108806548659304
механические,4,эхо x4,без стоков,0.051185418928299344
механические,4,эхо на четверти,со стоками,0.07259912153774477
механические,4,эхо на четверти,без стоков,0.05761760438264688
механические,4,словарь к 25,со стоками,0.08095120971511356
механические,4,словарь к 25,без стоков,0.0583085135845836
механические,4,словарь к 60,со стоками,0.0820962597675995
механические,4,словарь к 60,без стоков,0.06180064966712836
механические,4,все слова разные,со стоками,0.08836018024514884
механические,4,все слова разные,без стоков,0.053596671717233514
механические,4,чужие хапаксы,со стоками,0.08145975230739426
механические,4,чужие хапаксы,без стоков,0.05863487400466274
механические,4,хапаксы одного домена,со стоками,0.09477859943371085
механические,4,хапаксы одного домена,без стоков,0.06793155968978078
механические,4,20 чужих хапаксов,со стоками,0.06812766521812218
механические,4,20 чужих хапаксов,без стоков,0.057264829626039813
механические,4,маркер каждые 3,со стоками,0.07629191654847597
механические,4,маркер каждые 3,без стоков,0.059643272192539586
механические,4,без пунктуации,со стоками,0.08467248088497888
механические,4,без пунктуации,без стоков,0.0484256769068003
механические,4,без служебных,со стоками,0.08490316012246425
механические,4,без служебных,без стоков,0.060368231446784916
механические,5,исходный,со стоками,0.06520943858558158
механические,5,исходный,без стоков,0.05737116034711152
механические,5,перемешивание,со стоками,0.09271648992502986
механические,5,перемешивание,без стоков,0.07287078491435657
механические,5,эхо x2,со стоками,0.05976196968198531
механические,5,эхо x2,без стоков,0.05778749149657194
механические,5,эхо x4,со стоками,0.047934252111977056
механические,5,эхо x4,без стоков,0.046335031034645535
механические,5,эхо на четверти,со стоками,0.060287913827696715
механические,5,эхо на четверти,без стоков,0.044623459977837975
механические,5,словарь к 25,со стоками,0.07281841593122693
механические,5,словарь к 25,без стоков,0.05875289142215314
механические,5,словарь к 60,со стоками,0.06865144600382218
механические,5,словарь к 60,без стоков,0.05526647285796097
механические,5,все слова разные,со стоками,0.08999632767988648
механические,5,все слова разные,без стоков,0.053145639904937626
механические,5,чужие хапаксы,со стоками,0.07930860139617742
механические,5,чужие хапаксы,без стоков,0.059788797854723075
механические,5,хапаксы одного домена,со стоками,0.09016681170249126
механические,5,хапаксы одного домена,без стоков,0.05566425058412342
механические,5,20 чужих хапаксов,со стоками,0.06187218230559264
механические,5,20 чужих хапаксов,без стоков,0.053540202826273475
механические,5,маркер каждые 3,со стоками,0.0758016765105529
механические,5,маркер каждые 3,без стоков,0.06401014730190525
механические,5,без пунктуации,со стоками,0.0766676413437748
механические,5,без пунктуации,без стоков,0.04833651905836861
механические,5,без служебных,со стоками,0.07280444537620687
механические,5,без служебных,без стоков,0.05399538241172324
механические,6,исходный,со стоками,0.0645107284026289
механические,6,исходный,без стоков,0.05530480623185491
механические,6,перемешивание,со стоками,0.07517288126980813
механические,6,перемешивание,без стоков,0.057371180486650464
механические,6,эхо x2,со стоками,0.06083816545131973
механические,6,эхо x2,без стоков,0.04555627226675479
механические,6,эхо x4,со стоками,0.04467879385184848
механические,6,эхо x4,без стоков,0.04399296172413062
механические,6,эхо на четверти,со стоками,0.06459088170797349
механические,6,эхо на четверти,без стоков,0.054830880753245916
механические,6,словарь к 25,со стоками,0.07729403221001936
механические,6,словарь к 25,без стоков,0.06777264406284528
механические,6,словарь к 60,со стоками,0.08280099472424939
механические,6,словарь к 60,без стоков,0.06584855984792283
механические,6,все слова разные,со стоками,0.09146879044224804
механические,6,все слова разные,без стоков,0.0712772113857109
механические,6,чужие хапаксы,со стоками,0.08574628929022693
механические,6,чужие хапаксы,без стоков,0.057889493466940466
механические,6,хапаксы одного домена,со стоками,0.08556141958233687
механические,6,хапаксы одного домена,без стоков,0.061564503428964024
механические,6,20 чужих хапаксов,со стоками,0.06321468967171097
механические,6,20 чужих хапаксов,без стоков,0.04498233443955175
механические,6,маркер каждые 3,со стоками,0.06448476106367336
механические,6,маркер каждые 3,без стоков,0.048916025802621575
механические,6,без пунктуации,со стоками,0.07909807110944621
механические,6,без пунктуации,без стоков,0.04959118702974108
механические,6,без служебных,со стоками,0.07522276210802993
механические,6,без служебных,без стоков,0.05228458988656748
механические,7,исходный,со стоками,0.08102494368126754
механические,7,исходный,без стоков,0.060034282200259866
механические,7,перемешивание,со стоками,0.08727949834781397
механические,7,перемешивание,без стоков,0.055851516238400345
механические,7,эхо x2,со стоками,0.06242283181624051
механические,7,эхо x2,без стоков,0.05145831353653476
механические,7,эхо x4,со стоками,0.055500182401693014
механические,7,эхо x4,без стоков,0.04373498070248761
механические,7,эхо на четверти,со стоками,0.08031326782544947
механические,7,эхо на четверти,без стоков,0.058558447090216514
механические,7,словарь к 25,со стоками,0.09499754371030417
механические,7,словарь к 25,без стоков,0.07057772418568661
механические,7,словарь к 60,со стоками,0.0976069188791816
механические,7,словарь к 60,без стоков,0.0643253675558006
механические,7,все слова разные,со стоками,0.07820148205577059
механические,7,все слова разные,без стоков,0.0914568839426111
механические,7,чужие хапаксы,со стоками,0.08665971893160207
механические,7,чужие хапаксы,без стоков,0.05914531764600325
механические,7,хапаксы одного домена,со стоками,0.08102560407893167
механические,7,хапаксы одного домена,без стоков,0.0653710497635201
механические,7,20 чужих хапаксов,со стоками,0.09279498914826585
механические,7,20 чужих хапаксов,без стоков,0.0779597891062438
механические,7,маркер каждые 3,со стоками,0.07826940925913912
механические,7,маркер каждые 3,без стоков,0.07084209576975325
механические,7,без пунктуации,со стоками,0.07864442276661217
механические,7,без пунктуации,без стоков,0.041833287255544784
механические,7,без служебных,со стоками,0.09245910670703505
механические,7,без служебных,без стоков,0.07832525936494612
механические,8,исходный,со стоками,0.10185185820634461
механические,8,исходный,без стоков,0.08796937120269545
механические,8,перемешивание,со стоками,0.08193328618185547
механические,8,перемешивание,без стоков,0.06044908386563663
механические,8,эхо x2,со стоками,0.06478875165361062
механические,8,эхо x2,без стоков,0.05134603826279041
механические,8,эхо x4,со стоками,0.06982355473951692
механические,8,эхо x4,без стоков,0.06869556400091119
механические,8,эхо на четверти,со стоками,0.08175756975849974
механические,8,эхо на четверти,без стоков,0.06968990960999577
механические,8,словарь к 25,со стоками,0.09229218877511118
механические,8,словарь к 25,без стоков,0.07117271216714459
механические,8,словарь к 60,со стоками,0.0955736488073179
механические,8,словарь к 60,без стоков,0.07966169152480435
механические,8,все слова разные,со стоками,0.07614476682627629
механические,8,все слова разные,без стоков,0.04516110833034814
механические,8,чужие хапаксы,со стоками,0.09923130665798481
механические,8,чужие хапаксы,без стоков,0.08728097141644138
механические,8,хапаксы одного домена,со стоками,0.08722587347112586
механические,8,хапаксы одного домена,без стоков,0.07859496918135055
механические,8,20 чужих хапаксов,со стоками,0.10007061530103371
механические,8,20 чужих хапаксов,без стоков,0.08276024306850825
механические,8,маркер каждые 3,со стоками,0.0941789915184717
механические,8,маркер каждые 3,без стоков,0.06564105823538717
механические,8,без пунктуации,со стоками,0.09657921053295077
механические,8,без пунктуации,без стоков,0.06614404669643859
механические,8,без служебных,со стоками,0.1077640281677023
механические,8,без служебных,без стоков,0.08891351795731857
механические,9,исходный,со стоками,0.07065264433802959
механические,9,исходный,без стоков,0.05230182572954304
механические,9,перемешивание,со стоками,0.08134688220763346
механические,9,перемешивание,без стоков,0.05747785059857119
механические,9,эхо x2,со стоками,0.06921595193757861
механические,9,эхо x2,без стоков,0.05319923570147898
механические,9,эхо x4,со стоками,0.07126403895435272
механические,9,эхо x4,без стоков,0.06468738497019012
механические,9,эхо на четверти,со стоками,0.07691966630756432
механические,9,эхо на четверти,без стоков,0.05734348611991436
механические,9,словарь к 25,со стоками,0.08798384414827236
механические,9,словарь к 25,без стоков,0.0827230414681079
механические,9,словарь к 60,со стоками,0.08242435083028668
механические,9,словарь к 60,без стоков,0.07348097351877865
механические,9,все слова разные,со стоками,0.07397894881221422
механические,9,все слова разные,без стоков,0.04362173423036456
механические,9,чужие хапаксы,со стоками,0.0805830612104514
механические,9,чужие хапаксы,без стоков,0.0686605370794982
механические,9,хапаксы одного домена,со стоками,0.07652125034037922
механические,9,хапаксы одного домена,без стоков,0.06606848742760758
механические,9,20 чужих хапаксов,со стоками,0.07366411666483995
механические,9,20 чужих хапаксов,без стоков,0.06117206638214582
механические,9,маркер каждые 3,со стоками,0.07073282563843757
механические,9,маркер каждые 3,без стоков,0.05750584724003468
механические,9,без пунктуации,со стоками,0.09226240524632802
механические,9,без пунктуации,без стоков,0.0897146906341525
механические,9,без служебных,со стоками,0.07839463739142777
механические,9,без служебных,без стоков,0.05603913342809525
механические,10,исходный,со стоками,0.07658934483249345
механические,10,исходный,без стоков,0.05216982481623524
механические,10,перемешивание,со стоками,0.08096439981964912
механические,10,перемешивание,без стоков,0.05340742542371715
механические,10,эхо x2,со стоками,0.05830688983396221
механические,10,эхо x2,без стоков,0.03885105311373471
механические,10,эхо x4,со стоками,0.06513921092696894
механические,10,эхо x4,без стоков,0.05687283521930233
механические,10,эхо на четверти,со стоками,0.06920104667866783
механические,10,эхо на четверти,без стоков,0.05039446767646699
механические,10,словарь к 25,со стоками,0.0858020511025784
механические,10,словарь к 25,без стоков,0.055311061880405195
механические,10,словарь к 60,со стоками,0.09622971529263251
механические,10,словарь к 60,без стоков,0.05792576463652916
механические,10,все слова разные,со стоками,0.08745300895054735
механические,10,все слова разные,без стоков,0.05274957509502057
механические,10,чужие хапаксы,со стоками,0.09046111193712465
механические,10,чужие хапаксы,без стоков,0.06375369666962984
механические,10,хапаксы одного домена,со стоками,0.0888188367192211
механические,10,хапаксы одного домена,без стоков,0.06504867215212114
механические,10,20 чужих хапаксов,со стоками,0.08364617130317958
механические,10,20 чужих хапаксов,без стоков,0.05163675953245511
механические,10,маркер каждые 3,со стоками,0.07957250190734878
механические,10,маркер каждые 3,без стоков,0.0724794696608766
механические,10,без пунктуации,со стоками,0.09944726114147501
механические,10,без пунктуации,без стоков,0.052700865961433634
механические,10,без служебных,со стоками,0.0858496989275885
механические,10,без служебных,без стоков,0.056360630053131335
механические,11,исходный,со стоками,0.06466620088684144
механические,11,исходный,без стоков,0.06190209134789144
механические,11,перемешивание,со стоками,0.07805365295449145
механические,11,перемешивание,без стоков,0.0658475643496333
механические,11,эхо x2,со стоками,0.053227734385625676
механические,11,эхо x2,без стоков,0.04453225376181743
механические,11,эхо x4,со стоками,0.05420459628080004
механические,11,эхо x4,без стоков,0.04864727425249074
механические,11,эхо на четверти,со стоками,0.06487420323427857
механические,11,эхо на четверти,без стоков,0.05079863101304166
механические,11,словарь к 25,со стоками,0.09605022267637599
механические,11,словарь к 25,без стоков,0.06766389315096548
механические,11,словарь к 60,со стоками,0.08153723918681421
механические,11,словарь к 60,без стоков,0.0620723475059978
механические,11,все слова разные,со стоками,0.09108153435277784
механические,11,все слова разные,без стоков,0.05636727774653464
механические,11,чужие хапаксы,со стоками,0.07952992191784176
механические,11,чужие хапаксы,без стоков,0.052095796774983265
механические,11,хапаксы одного домена,со стоками,0.07755324715722943
механические,11,хапаксы одного домена,без стоков,0.060256436986409805
механические,11,20 чужих хапаксов,со стоками,0.068442730860506
механические,11,20 чужих хапаксов,без стоков,0.058712157674558174
механические,11,маркер каждые 3,со стоками,0.07374826758843948
механические,11,маркер каждые 3,без стоков,0.06140669551036907
механические,11,без пунктуации,со стоками,0.07766553231514482
механические,11,без пунктуации,без стоков,0.050817966335523275
механические,11,без служебных,со стоками,0.0885597647049201
механические,11,без служебных,без стоков,0.05960348323832735
механические,12,исходный,со стоками,0.05893613280277634
механические,12,исходный,без стоков,0.05442592532117054
механические,12,перемешивание,со стоками,0.07658245706703991
механические,12,перемешивание,без стоков,0.05962311091975144
механические,12,эхо x2,со стоками,0.05634981521446595
механические,12,эхо x2,без стоков,0.04526750676142608
механические,12,эхо x4,со стоками,0.05650540667559272
механические,12,эхо x4,без стоков,0.04250938964264487
механические,12,эхо на четверти,со стоками,0.057728522675146075
механические,12,эхо на четверти,без стоков,0.03964951503440748
механические,12,словарь к 25,со стоками,0.07636859141365286
механические,12,словарь к 25,без стоков,0.053708287055353805
механические,12,словарь к 60,со стоками,0.07496730480512698
механические,12,словарь к 60,без стоков,0.06008900635685138
механические,12,все слова разные,со стоками,0.10697571620849472
механические,12,все слова разные,без стоков,0.07414383783273139
механические,12,чужие хапаксы,со стоками,0.08945142625377818
механические,12,чужие хапаксы,без стоков,0.0822886472468664
механические,12,хапаксы одного домена,со стоками,0.08306977387647661
механические,12,хапаксы одного домена,без стоков,0.06769859130986133
механические,12,20 чужих хапаксов,со стоками,0.06426835827405478
механические,12,20 чужих хапаксов,без стоков,0.05836487050568798
механические,12,маркер каждые 3,со стоками,0.0711183134949277
механические,12,маркер каждые 3,без стоков,0.05447204727937021
механические,12,без пунктуации,со стоками,0.0714351898000073
механические,12,без пунктуации,без стоков,0.05662772110105057
механические,12,без служебных,со стоками,0.07847227569573591
механические,12,без служебных,без стоков,0.056835029103710986
механические,13,исходный,со стоками,0.0546335353941792
механические,13,исходный,без стоков,0.05059942692273998
механические,13,перемешивание,со стоками,0.07859770316141869
механические,13,перемешивание,без стоков,0.052670590715060576
