условие,текст,длина,тип,масштаб
исходный,0,0.5354093663318638,повтор токена,33.25303157948616
исходный,0,0.3938430599083784,повтор токена,33.25303157948616
исходный,0,0.7946595491726791,служ./пункт.,33.25303157948616
исходный,0,0.7796065814430092,служ./пункт.,33.25303157948616
исходный,0,0.5990436851893115,два смысловых,33.25303157948616
исходный,0,0.8705841021784491,прочее,33.25303157948616
исходный,0,0.784512492369782,два смысловых,33.25303157948616
исходный,0,0.7913202114954706,два смысловых,33.25303157948616
исходный,0,0.771025036605588,прочее,33.25303157948616
исходный,0,0.48818744337287157,повтор токена,33.25303157948616
исходный,0,0.5434636103110514,повтор токена,33.25303157948616
исходный,0,0.3760184609724396,повтор токена,33.25303157948616
исходный,0,0.7237091050797507,два смысловых,33.25303157948616
исходный,0,0.7681677379923746,прочее,33.25303157948616
исходный,0,0.22343766002082022,повтор токена,33.25303157948616
исходный,0,0.7728750531586701,служ./пункт.,33.25303157948616
исходный,0,0.28045749532511827,повтор токена,33.25303157948616
исходный,0,0.8256336400485633,служ./пункт.,33.25303157948616
исходный,0,0.7539437909430429,служ./пункт.,33.25303157948616
исходный,0,0.1870371626765088,повтор токена,33.25303157948616
исходный,0,0.22284808968801123,повтор токена,33.25303157948616
исходный,0,0.7323686228199382,служ./пункт.,33.25303157948616
исходный,0,0.45052007666342453,повтор токена,33.25303157948616
исходный,0,0.4088877873567803,повтор токена,33.25303157948616
исходный,0,0.3467664378368077,повтор токена,33.25303157948616
исходный,0,0.7444965471998843,служ./пункт.,33.25303157948616
исходный,0,0.7282070197205933,прочее,33.25303157948616
исходный,0,0.9022475792079365,прочее,33.25303157948616
исходный,0,0.4253728387950489,повтор токена,33.25303157948616
исходный,0,0.7669191050958808,прочее,33.25303157948616
исходный,0,0.6505466824140874,прочее,33.25303157948616
исходный,0,0.7484843767058846,прочее,33.25303157948616
исходный,0,0.7912839020082999,прочее,33.25303157948616
исходный,0,0.34391780576548303,повтор токена,33.25303157948616
исходный,0,0.6489755417401631,прочее,33.25303157948616
исходный,0,0.7499583912535498,прочее,33.25303157948616
исходный,0,0.23155542861054604,повтор токена,33.25303157948616
исходный,0,0.24342213627979875,повтор токена,33.25303157948616
исходный,0,0.26177022484803425,повтор токена,33.25303157948616
исходный,0,0.25942788952288687,повтор токена,33.25303157948616
исходный,0,0.20140797861642123,повтор токена,33.25303157948616
исходный,0,0.3494109914402522,повтор токена,33.25303157948616
исходный,0,0.4720750724358456,повтор токена,33.25303157948616
исходный,0,0.6395298542820353,служ./пункт.,33.25303157948616
исходный,0,0.8477831304913083,служ./пункт.,33.25303157948616
исходный,0,0.8054300393697327,прочее,33.25303157948616
исходный,0,0.697631297989845,два смысловых,33.25303157948616
исходный,0,0.49825902577000925,прочее,33.25303157948616
исходный,0,0.6217852806181937,два смысловых,33.25303157948616
исходный,0,0.5122385467060503,повтор токена,33.25303157948616
исходный,0,0.8337646054879948,два смысловых,33.25303157948616
исходный,0,0.658119951013437,служ./пункт.,33.25303157948616
исходный,0,0.79530311475007,служ./пункт.,33.25303157948616
исходный,0,0.2735842357308251,повтор токена,33.25303157948616
исходный,0,0.39088070210300685,повтор токена,33.25303157948616
исходный,0,0.5319175340998228,прочее,33.25303157948616
исходный,0,0.7575775298376172,служ./пункт.,33.25303157948616
исходный,0,0.5205991683206987,повтор токена,33.25303157948616
исходный,0,0.7990432451915723,два смысловых,33.25303157948616
исходный,0,0.18874306661168322,повтор токена,33.25303157948616
исходный,0,0.2718292443046643,повтор токена,33.25303157948616
исходный,0,0.2860861613937959,повтор токена,33.25303157948616
исходный,0,0.7315047089636069,два смысловых,33.25303157948616
исходный,0,0.7664277109843038,прочее,33.25303157948616
исходный,0,0.6511607461535891,прочее,33.25303157948616
исходный,0,0.7792594802322713,служ./пункт.,33.25303157948616
исходный,0,0.688571013767889,служ./пункт.,33.25303157948616
исходный,0,0.7244540361383821,два смысловых,33.25303157948616
исходный,0,0.26885185445343296,повтор токена,33.25303157948616
исходный,0,0.20423860099279542,повтор токена,33.25303157948616
исходный,0,0.5653472219086016,служ./пункт.,33.25303157948616
исходный,0,0.2824153865309186,повтор токена,33.25303157948616
исходный,0,0.7945204874132412,прочее,33.25303157948616
исходный,0,0.7717386604931497,прочее,33.25303157948616
исходный,0,0.8389080336061534,два смысловых,33.25303157948616
исходный,0,0.3006010898237506,повтор токена,33.25303157948616
исходный,0,0.7165782015425634,два смысловых,33.25303157948616
исходный,0,1.0321104973131037,сток,33.25303157948616
исходный,0,0.686173109592102,два смысловых,33.25303157948616
исходный,0,0.6895221735457896,два смысловых,33.25303157948616
исходный,0,0.38029475748007247,повтор токена,33.25303157948616
исходный,0,0.7204689459637119,два смысловых,33.25303157948616
исходный,0,0.729818705155751,два смысловых,33.25303157948616
исходный,0,0.6084300323121301,прочее,33.25303157948616
исходный,0,0.7323996957701295,два смысловых,33.25303157948616
исходный,0,0.5944350362528656,повтор токена,33.25303157948616
исходный,0,0.19191532957076243,повтор токена,33.25303157948616
исходный,0,0.9208618378565654,прочее,33.25303157948616
исходный,0,0.5112251037672472,повтор токена,33.25303157948616
исходный,0,0.6937673756639916,прочее,33.25303157948616
исходный,0,0.6558337684268348,два смысловых,33.25303157948616
исходный,0,0.7131363021351514,два смысловых,33.25303157948616
