perturbation,bush_radius,gap_tokens,near_share,collapsed
syntax/burst_1to4,0.002,3.597,1.3,-0.34
syntax/no_sent_bounds,0.018,-13.063,2.0,-0.56
loop/phrase12w_x4,-0.206,-64.104,-3.3,17.62
surface/punct_add,0.014,16.962,0.2,-0.78
surface/punct_strip,0.042,-20.062,2.8,-0.9
surface/digits_add,-0.013,31.759,-0.5,-1.2
surface/caps_terms,0.008,4.465,0.4,-0.68
surface/lowercase,0.009,-0.525,1.0,-0.12
surface/numbered_list,-0.002,3.839,0.0,0.52
syntax/drop_funcwords,0.027,-32.143,3.2,-0.86
shuffle/words,0.054,11.113,2.6,-1.44
surface/typos,0.01,3.586,1.4,-0.64
style/telegraphic,0.003,-0.058,1.3,0.52
style/simplified,-0.012,-2.167,8.4,1.0
style/news_dates,0.012,16.654,0.7,-0.88
style/dialogue_interj,-0.005,42.748,-0.8,1.72
style/literary,0.028,27.085,0.7,-1.04
style/bulletin_abbrev,-0.018,26.587,0.3,-0.84
style/scientific_terms,-0.004,8.998,0.0,-0.06
deplete/ideas_down,-0.075,7.551,-2.396,-0.646
enrich/lexdiv_up,0.006,-1.215,1.4,-0.5
deplete/lexdiv_down,-0.01,-5.629,2.065,0.043
rarity/rare_words,-0.004,3.446,0.208,-0.188
rarity/common_words,-0.005,-4.451,0.7,-0.36
loop/echo6w_x2,-0.077,-93.242,58.3,5.5
loop/echo6w_x4,-0.157,-121.061,64.9,19.62
loop/tail_keep60_unit1w,-0.085,-142.389,90.5,32.8
loop/tail_keep60_unit3w,-0.123,-135.557,72.6,27.72
loop/tail_keep40_unit3w,-0.13,-139.89,77.1,42.88
loop/tail_keep20_unit3w,-0.171,-141.502,83.3,53.22
loop/tail_keep40_unit3w_drift,-0.058,-124.67,70.0,14.74
vocab/top60,0.013,-21.64,2.6,-1.0
vocab/top25,0.022,-21.275,3.8,-1.18
vocab/top10,0.028,-16.267,3.5,-1.22
ngram/n2,0.072,16.062,2.3,-1.52
ngram/n4,0.042,-14.776,4.2,-0.5
vocab/expand100,0.049,2.859,1.4,-1.52
vocab/expand50,0.033,5.463,2.2,-1.44
enrich/topics_up_hard,0.064,5.525,3.824,-0.971
