perturbation,bush_radius,gap_tokens,near_share,collapsed,d_мелкий,d_крупный,d_общий,PC1,PC2,мелк.-круп.
syntax/burst_1to4,0.002,3.597,1.3,-0.34,7.174,4.172,1.945,10.3,4.2,3.002
syntax/no_sent_bounds,0.018,-13.063,2.0,-0.56,10.704,0.216,6.461,47.3,19.0,10.488
loop/phrase12w_x4,-0.206,-64.104,-3.3,17.62,28.249,-49.753,-66.489,-423.4,205.2,78.002
surface/punct_add,0.014,16.962,0.2,-0.78,38.961,-0.45,2.5,-1.3,64.7,39.411
surface/punct_strip,0.042,-20.062,2.8,-0.9,17.947,2.034,12.139,90.0,30.3,15.913
surface/digits_add,-0.013,31.759,-0.5,-1.2,4.061,-21.156,-1.364,-6.4,49.8,25.217
surface/caps_terms,0.008,4.465,0.4,-0.68,4.45,2.861,9.435,72.5,6.1,1.59
surface/lowercase,0.009,-0.525,1.0,-0.12,4.038,2.441,-0.068,-2.5,3.2,1.597
surface/numbered_list,-0.002,3.839,0.0,0.52,-5.435,-4.476,-2.495,-17.2,-1.4,-0.958
syntax/drop_funcwords,0.027,-32.143,3.2,-0.86,6.431,-12.879,9.442,76.9,48.4,19.31
shuffle/words,0.054,11.113,2.6,-1.44,43.023,-14.407,10.04,68.1,116.1,57.431
surface/typos,0.01,3.586,1.4,-0.64,4.781,-1.314,4.976,37.8,13.8,6.095
style/telegraphic,0.003,-0.058,1.3,0.52,-3.874,-15.315,2.03,14.9,36.1,11.442
style/simplified,-0.012,-2.167,8.4,1.0,0.551,-12.769,-12.458,-101.5,25.0,13.319
style/news_dates,0.012,16.654,0.7,-0.88,7.77,3.609,10.369,77.6,10.8,4.161
style/dialogue_interj,-0.005,42.748,-0.8,1.72,-4.613,-22.414,-12.897,-97.1,36.4,17.801
style/literary,0.028,27.085,0.7,-1.04,10.075,9.45,21.11,164.0,-1.0,0.625
style/bulletin_abbrev,-0.018,26.587,0.3,-0.84,3.084,-15.634,6.744,55.7,53.6,18.718
style/scientific_terms,-0.004,8.998,0.0,-0.06,-3.738,3.895,5.137,48.5,-10.4,-7.632
deplete/ideas_down,-0.075,7.551,-2.396,-0.646,-3.347,-21.437,-32.444,-230.2,60.4,18.09
enrich/lexdiv_up,0.006,-1.215,1.4,-0.5,3.741,3.193,15.791,126.6,4.8,0.548
deplete/lexdiv_down,-0.01,-5.629,2.065,0.043,1.164,2.49,-5.917,-45.9,-0.7,-1.326
rarity/rare_words,-0.004,3.446,0.208,-0.188,0.829,3.596,3.83,30.5,-2.9,-2.767
rarity/common_words,-0.005,-4.451,0.7,-0.36,2.269,-2.863,-1.423,-10.9,10.5,5.132
loop/echo6w_x2,-0.077,-93.242,58.3,5.5,-36.168,6.16,-28.092,-188.8,-63.0,-42.328
loop/echo6w_x4,-0.157,-121.061,64.9,19.62,-57.654,8.894,-54.928,-372.9,-66.2,-66.548
loop/tail_keep60_unit1w,-0.085,-142.389,90.5,32.8,-46.579,-9.37,-24.561,-266.8,-46.5,-37.209
loop/tail_keep60_unit3w,-0.123,-135.557,72.6,27.72,-48.799,-23.665,-38.508,-320.8,-17.9,-25.134
loop/tail_keep40_unit3w,-0.13,-139.89,77.1,42.88,-34.335,-20.563,-48.727,-404.5,31.7,-13.772
loop/tail_keep20_unit3w,-0.171,-141.502,83.3,53.22,-11.853,-36.534,-57.849,-436.9,123.1,24.681
loop/tail_keep40_unit3w_drift,-0.058,-124.67,70.0,14.74,-53.702,-29.41,-47.99,-341.9,-2.0,-24.292
vocab/top60,0.013,-21.64,2.6,-1.0,40.733,-16.925,-18.333,-137.6,123.3,57.658
vocab/top25,0.022,-21.275,3.8,-1.18,70.521,-26.906,-24.422,-159.7,219.6,97.427
vocab/top10,0.028,-16.267,3.5,-1.22,85.404,-32.607,-24.859,-135.1,283.3,118.012
ngram/n2,0.072,16.062,2.3,-1.52,19.942,-8.617,32.662,265.9,67.8,28.559
ngram/n4,0.042,-14.776,4.2,-0.5,10.468,1.613,23.687,191.4,19.6,8.855
vocab/expand100,0.049,2.859,1.4,-1.52,21.561,-20.402,21.924,178.5,105.6,41.963
vocab/expand50,0.033,5.463,2.2,-1.44,15.24,-18.872,13.561,108.9,79.3,34.112
enrich/topics_up_hard,0.064,5.525,3.824,-0.971,7.675,7.715,27.093,219.8,1.8,-0.041
