bin,сток-сток,сток-прочее,куски одного слова,= пунктуация,= служебное,= смысловое частое,= смысловое редкое,= подслово,≠ пунктуация,≠ служебные,≠ смысловые,≠ подслова,≠ смешанные
0,35.889,0.0,0.361,29.361,15.056,5.167,7.917,6.25,0.0,0.0,0.0,0.0,0.0
1,0.333,0.0,0.472,41.917,30.778,7.306,11.889,7.25,0.0,0.0,0.0,0.028,0.028
2,0.167,0.0,0.333,30.056,45.528,6.806,11.167,5.75,0.0,0.028,0.111,0.056,0.0
3,0.056,0.0,0.111,23.5,51.028,7.806,11.389,4.917,0.0,0.306,0.528,0.333,0.028
4,0.167,0.028,0.056,17.611,55.806,7.944,10.417,4.167,0.0,1.75,1.139,0.556,0.361
5,0.083,0.0,0.333,12.0,54.028,7.056,9.028,3.667,0.833,5.306,5.444,1.25,0.972
6,0.028,0.028,0.583,8.417,43.833,5.556,6.167,1.917,1.25,11.25,15.25,2.583,3.139
7,0.0,0.083,1.083,4.472,24.917,3.556,4.056,1.528,2.917,16.556,30.139,4.194,6.5
8,0.0,0.0,1.25,2.889,12.722,2.222,1.694,0.806,4.389,19.528,39.056,5.111,10.333
9,0.0,0.056,1.444,1.194,6.639,0.861,0.861,0.306,4.833,20.778,45.0,5.111,12.917
10,0.0,0.056,1.25,0.889,3.0,0.694,0.083,0.111,4.167,21.139,48.611,4.611,15.389
11,0.0,0.028,1.417,0.75,2.028,0.306,0.111,0.083,4.167,23.389,46.139,4.278,17.306
12,0.0,0.028,1.444,0.306,1.611,0.056,0.056,0.111,4.694,24.972,45.528,4.083,17.111
13,0.0,0.0,1.222,0.444,1.028,0.278,0.056,0.028,4.361,24.833,43.694,4.861,19.194
14,0.0,0.0,2.333,0.306,0.806,0.194,0.056,0.028,5.25,24.111,41.556,4.833,20.528
15,0.0,0.0,2.111,0.361,0.722,0.083,0.056,0.0,5.361,23.25,41.167,5.556,21.333
16,0.0,0.028,2.417,0.361,0.528,0.028,0.056,0.028,6.028,24.139,38.5,4.889,23.0
17,0.0,0.028,2.639,0.556,0.389,0.222,0.056,0.0,6.639,22.111,34.556,7.194,25.611
18,0.0,0.028,4.167,0.5,0.472,0.25,0.056,0.056,8.056,21.583,31.806,8.056,24.972
19,0.0,9.806,4.361,0.667,0.333,0.0,0.0,0.0,9.806,16.0,22.25,10.278,26.5
