cell,доля,отн_длина,косинус,норма,разн_норм,разрыв
сток-сток,1.8361,0.104,0.994,26.3153,0.1646,196.9909
сток-прочее,0.5097,1.669,0.4062,30.1058,7.7834,203.327
куски одного слова,1.4694,1.218,0.7743,37.1037,0.8687,1.9669
= пунктуация,8.8278,0.5969,0.9508,40.4589,0.4819,156.6054
= служебное,17.5625,0.7332,0.9252,38.9121,0.5713,159.77
= смысловое частое,2.8194,0.6944,0.9199,35.9471,0.4767,152.9064
= смысловое редкое,3.7583,0.6474,0.9297,35.5828,0.4737,136.9298
= подслово,1.85,0.6025,0.9426,37.2206,0.4747,161.1989
≠ пунктуация,3.6375,1.2401,0.7957,39.5235,0.9536,160.1
≠ служебные,15.0514,1.1838,0.8079,38.4075,0.9335,153.0764
≠ смысловые,26.5236,1.1803,0.7844,36.2412,0.7842,134.5408
≠ подслова,3.8931,1.2152,0.7769,37.2064,0.806,165.8106
≠ смешанные,12.2611,1.2357,0.7773,37.3514,1.0452,136.5153
