bin,len,rel_len,cos,norm_mean,norm_gap,gap
0,5.4346,0.2707,0.9859,34.0831,0.2321,145.9433
1,9.6927,0.4831,0.9675,38.6361,0.3707,139.405
2,11.4444,0.5704,0.9552,38.6193,0.443,153.6597
3,12.9082,0.6431,0.943,38.5758,0.497,155.2136
4,14.3684,0.7157,0.9291,38.4979,0.5609,163.7992
5,15.9694,0.7952,0.9113,38.3043,0.5871,163.5467
6,17.7703,0.8848,0.8883,38.013,0.6453,155.4019
7,19.5075,0.9717,0.8625,37.5342,0.6856,148.5542
8,20.8601,1.0397,0.8423,37.3572,0.7176,144.9153
9,21.8558,1.0902,0.8266,37.2528,0.7796,141.6156
10,22.5724,1.1265,0.8146,37.1508,0.8304,139.1111
11,23.1011,1.1532,0.8065,37.211,0.8603,136.7083
12,23.5556,1.176,0.7993,37.2617,0.8897,144.8817
13,23.998,1.1982,0.7914,37.2381,0.8737,142.2553
14,24.4337,1.22,0.7848,37.3221,0.9168,143.4106
15,24.9119,1.244,0.7762,37.3233,0.922,142.3064
16,25.472,1.272,0.767,37.3946,0.9563,141.6508
17,26.1598,1.3064,0.755,37.4593,0.9829,136.7883
18,27.1468,1.3558,0.7371,37.5191,1.0276,142.2536
19,29.6941,1.4832,0.6679,36.9663,1.8434,153.5486
