policy,mode,q,slope_vs_len,resid_sd,cv_texts
abs_L,q0.5_range,0.0,0.00519742952794173,0.11927524323826008,0.1572315924960393
abs_L,q0.5_range,0.3,0.03999439463500184,0.15406329031984328,0.1869261912632041
abs_L,q_large,0.0,-0.014431199282237945,0.0980932034120899,0.12488957204237439
abs_L,q_large,0.3,0.0009953675638638589,0.10824697891447087,0.1435079586558817
abs_L,q_large,0.6,-0.004142535838001052,0.11788122279973565,0.15449200912462777
abs_L,q_large,0.9,-0.19516191545324052,0.16367082861459,0.1926243679221278
abs_L,q_small,0.0,-0.014431199282237945,0.0980932034120899,0.12488957204237439
abs_L,q_small,0.3,0.011311285545775469,0.13525534557993033,0.16015772724573168
abs_L,q_small,0.6,-0.06736385995215961,0.11480662251335594,0.12733137697091976
abs_L,q_small,0.9,-0.05054262629232366,0.15094686860660772,0.18241462962187338
abs_L_pool2L,q0.5_range,0.0,0.03178825820226456,0.12297451587966175,0.1592732210389944
abs_L_pool2L,q0.5_range,0.3,0.0562731893130658,0.15574952333091532,0.1839714542934316
abs_L_pool2L,q_large,0.0,0.012080030284889846,0.0999919572355415,0.12492296987126089
abs_L_pool2L,q_large,0.3,0.026908306659878263,0.11133769569437212,0.1448105925901362
abs_L_pool2L,q_large,0.6,0.0215291084596168,0.12192574248848267,0.15727159130408735
abs_L_pool2L,q_large,0.9,-0.06396775008466142,0.16554970342996653,0.19404579802633157
abs_L_pool2L,q_small,0.0,0.012080030284889846,0.0999919572355415,0.12492296987126089
abs_L_pool2L,q_small,0.3,0.03121216436046138,0.1351858792948566,0.15708362738784318
abs_L_pool2L,q_small,0.6,-0.03846587449018954,0.11660258919087696,0.12742861220832455
abs_L_pool2L,q_small,0.9,-0.010407564658023168,0.14576769287997118,0.1747354874785997
frac_100,q0.5_range,0.0,-0.06418588946568066,0.10981385443508955,0.14672331638636724
frac_100,q0.5_range,0.3,-0.40407234371551887,0.14547324633969183,0.1867615382296685
frac_100,q_large,0.0,-0.13424199396614586,0.0945696368860208,0.12139410071152774
frac_100,q_large,0.3,-0.14320434059810888,0.10784843271576508,0.14192923631691665
frac_100,q_large,0.6,0.10281313202266035,0.1026159496703769,0.15094763340449407
frac_100,q_large,0.9,0.19679210906862304,0.1598267807800817,0.21413749428486467
frac_100,q_small,0.0,-0.13424199396614586,0.0945696368860208,0.12139410071152774
frac_100,q_small,0.3,-0.35357768513570764,0.12605677028580417,0.16123861838227854
frac_100,q_small,0.6,-0.276654145810929,0.11009255207873607,0.13321505412421233
frac_100,q_small,0.9,-0.14906871511295403,0.1344960698694513,0.1624849526442675
frac_50,q0.5_range,0.0,-0.267941411803149,0.12167613760957097,0.15198568314366748
frac_50,q0.5_range,0.3,-0.629692542347214,0.15305591394815907,0.21796915044064666
frac_50,q_large,0.0,-0.2675899683357657,0.0996489213433999,0.12734988740118397
frac_50,q_large,0.3,-0.27357753667877416,0.11049322034741352,0.14059165591742823
frac_50,q_large,0.6,-0.1998245938300334,0.12096618474621772,0.1479627297667426
frac_50,q_large,0.9,0.17726921898120462,0.17628730163820083,0.2094559791263181
frac_50,q_small,0.0,-0.2675899683357657,0.0996489213433999,0.12734988740118397
frac_50,q_small,0.3,-0.5583994861157487,0.13434429829908098,0.19457105446789727
frac_50,q_small,0.6,-0.3808880959191795,0.11939250820593321,0.16476028628949085
frac_50,q_small,0.9,-0.31894026346147764,0.15731102355619955,0.2302478333633349
