bucket,genre,idx,d_hat,r2,n_tokens,n_words,ttr,hapax,top1_freq,mean_wlen,n_sents,mean_slen,digit_frac,upper_frac,punct_frac
low,writingprompts,27,10.82,1.0,735,437,0.5102974828375286,0.34096109839816935,0.04805491990846682,4.274599542334096,50,8.74,0.0007680491551459293,0.07142857142857142,0.03302611367127496
low,writingprompts,7,11.96,1.0,260,177,0.5254237288135594,0.3446327683615819,0.10734463276836158,3.864406779661017,30,5.9,0.004106776180698152,0.03696098562628337,0.011293634496919919
low,writingprompts,92,12.46,1.0,418,275,0.6327272727272727,0.48727272727272725,0.05454545454545454,4.629090909090909,2,137.5,0.0,0.023441966838193252,0.013150371640937679
low,xsum,0,12.48,1.0,396,304,0.5888157894736842,0.4440789473684211,0.05921052631578947,5.042763157894737,18,16.88888888888889,0.002653927813163482,0.027070063694267517,0.01592356687898089
low,writingprompts,39,12.51,1.0,1069,746,0.5080428954423593,0.3579088471849866,0.054959785522788206,4.18230563002681,85,8.776470588235295,0.0,0.02337228714524207,0.03195802528022895
low,writingprompts,65,12.57,1.0,418,296,0.6216216216216216,0.4391891891891892,0.037162162162162164,3.983108108108108,29,10.206896551724139,0.0,0.031578947368421054,0.04024767801857585
low,writingprompts,96,12.86,1.0,380,280,0.5107142857142857,0.33214285714285713,0.05,3.8107142857142855,40,7.0,0.002054794520547945,0.04589041095890411,0.017123287671232876
low,writingprompts,83,13.08,1.0,301,193,0.5544041450777202,0.38341968911917096,0.06735751295336788,4.316062176165803,24,8.041666666666666,0.0,0.032846715328467155,0.01551094890510949
low,writingprompts,26,13.22,1.0,268,193,0.5803108808290155,0.43005181347150256,0.07772020725388601,4.005181347150259,28,6.892857142857143,0.002838221381267739,0.059602649006622516,0.017975402081362345
low,writingprompts,0,13.48,1.0,556,336,0.6011904761904762,0.44642857142857145,0.0744047619047619,4.136904761904762,46,7.304347826086956,0.007936507936507936,0.04365079365079365,0.037698412698412696
mid,amazon_reviews,29,19.16,1.0,438,364,0.5439560439560439,0.36813186813186816,0.0521978021978022,4.450549450549451,16,22.75,0.0009896091044037606,0.02078179119247897,0.01632855022266205
mid,amazon_reviews,93,19.17,1.0,313,247,0.5910931174089069,0.4493927125506073,0.05668016194331984,4.089068825910931,20,12.35,0.010711553175210406,0.032134659525631215,0.009946442234123947
mid,academic_abstracts,79,19.18,1.0,326,255,0.592156862745098,0.43529411764705883,0.06274509803921569,5.290196078431372,11,23.181818181818183,0.0036809815950920245,0.03987730061349693,0.006134969325153374
mid,academic_abstracts,6,19.19,1.0,482,336,0.5,0.30654761904761907,0.044642857142857144,5.696428571428571,29,11.586206896551724,0.02601156069364162,0.023534269199009084,0.021056977704376548
mid,amazon_reviews,77,19.2,1.0,644,523,0.4894837476099426,0.34990439770554493,0.06500956022944551,4.126195028680688,27,19.37037037037037,0.008255563531945441,0.03230437903804738,0.02189519023689878
mid,academic_abstracts,25,19.21,1.0,372,290,0.5413793103448276,0.3724137931034483,0.05517241379310345,4.744827586206896,17,17.058823529411764,0.01825442099258414,0.023958927552766685,0.01540216771249287
mid,xsum,30,19.24,1.0,691,570,0.45614035087719296,0.30350877192982456,0.0824561403508772,4.8350877192982455,23,24.782608695652176,0.0029222676797194622,0.024547048509643482,0.01782583284628872
mid,academic_abstracts,83,19.26,1.0,312,258,0.6085271317829457,0.4496124031007752,0.04263565891472868,5.8604651162790695,10,25.8,0.0027731558513588465,0.012756516916250694,0.011647254575707155
mid,writingprompts,82,19.28,1.0,479,365,0.5287671232876713,0.3835616438356164,0.0684931506849315,4.016438356164383,35,10.428571428571429,0.006138107416879796,0.030690537084398978,0.020460358056265986
mid,academic_abstracts,40,19.31,1.0,386,273,0.5164835164835165,0.3626373626373626,0.06227106227106227,5.604395604395604,14,19.5,0.02214022140221402,0.030574591460200317,0.01686874011597259
high,xsum,20,28.05,1.0,465,372,0.5591397849462365,0.3844086021505376,0.056451612903225805,4.790322580645161,23,16.17391304347826,0.00762673844773441,0.03589053387169134,0.01704800358905339
high,amazon_reviews,79,29.15,1.0,297,267,0.5468164794007491,0.3782771535580524,0.056179775280898875,4.0,13,20.53846153846154,0.0014727540500736377,0.022827687776141383,0.008836524300441826
high,academic_abstracts,22,29.23,1.0,426,309,0.6019417475728155,0.46601941747572817,0.09061488673139159,4.647249190938512,14,22.071428571428573,0.028017241379310345,0.03825431034482758,0.02101293103448276
high,amazon_reviews,30,29.4,1.0,313,265,0.5924528301886792,0.4490566037735849,0.07547169811320754,4.033962264150944,15,17.666666666666668,0.005797101449275362,0.01884057971014493,0.017391304347826087
high,amazon_reviews,53,29.76,1.0,265,214,0.5934579439252337,0.43457943925233644,0.07009345794392523,4.098130841121495,13,16.46153846153846,0.0008880994671403197,0.020426287744227355,0.015985790408525755
high,academic_abstracts,37,29.83,1.0,338,287,0.5818815331010453,0.41114982578397213,0.08013937282229965,5.585365853658536,9,31.88888888888889,0.0,0.02502606882168926,0.014077163712200209
high,academic_abstracts,53,31.4,1.0,356,271,0.5018450184501845,0.33210332103321033,0.07749077490774908,5.029520295202952,12,22.583333333333332,0.0070052539404553416,0.009340338587273789,0.01634559252772913
high,amazon_reviews,69,32.39,1.0,391,322,0.5590062111801242,0.38819875776397517,0.037267080745341616,4.736024844720497,16,20.125,0.004777070063694267,0.020700636942675158,0.006369426751592357
high,xsum,1,34.75,1.0,677,561,0.5151515151515151,0.3493761140819964,0.0677361853832442,5.336898395721925,28,20.035714285714285,0.0022038567493112946,0.013774104683195593,0.012672176308539946
high,xsum,26,39.78,1.0,469,375,0.5733333333333334,0.4186666666666667,0.058666666666666666,4.714666666666667,20,18.75,0.00990544799639802,0.025664115263394866,0.014407924358397118
