perturbation,ttr,hapax,top1_share,top10_share,word_entropy,zipf_slope,content_ratio,content_ttr,bigram_repeat,trigram_repeat,mean_word_len,long_word_rate,mean_sent_len,sd_sent_len,sent_len_burst,n_sents_per_100w,subordinator_rate,function_rate,connective_rate,hedge_rate,pron12_rate,comma_rate,punct_rate,quote_rate,paren_rate,dash_rate,digit_rate,upper_rate,linebreak_per_100w,bullet_rate,md_heading_rate,question_rate,exclaim_rate,mean_log_rank,rare_word_rate,bigram_oov,n
syntax/burst_1to4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3259,21.0421,0.1564,-2.8333,0.0,0.0,0.0,0.0,0.0,0.0049,-0.0004,0.0,0.0,0.0,0.0,-0.0045,-0.6023,-0.0379,0.0,-0.0227,-0.0149,0.0,0.0,0.0,120
syntax/no_sent_bounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.5192,,,-4.7008,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0085,0.0001,0.0001,0.0,0.0,0.0004,-1.4508,-0.0871,0.0,0.0652,0.042,0.0,0.0,0.0,120
loop/phrase12w_x4,-0.3692,-0.274,0.0486,0.4347,-1.4624,-0.6089,-0.0031,-0.5076,0.6401,0.6781,0.0264,0.0043,37.168,9.4478,-0.1164,0.0568,-0.005,0.0031,-0.0007,-0.0006,0.0019,0.0001,-0.0005,-0.0002,-0.0004,0.0002,-0.0004,0.0017,-1.4508,0.0417,-0.0114,-0.0077,-0.0119,0.0185,0.0069,0.056,120
surface/punct_add,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,0.0241,-0.0001,-0.0001,-0.0,-0.0001,-0.0005,-1.4508,-0.0189,0.0,-0.0003,-0.0023,0.0,0.0,0.0,120
surface/punct_strip,-0.0049,-0.0067,-0.0005,0.0012,-0.0088,-0.0054,-0.0025,-0.0059,0.003,0.0005,-0.0659,-0.0029,198.5192,,,-4.7008,-0.0001,0.0025,0.0,-0.0002,0.0023,-0.0082,-0.0186,-0.0041,-0.0026,-0.0017,0.0001,0.0007,-1.4508,-0.1212,-0.0114,-0.0431,-0.0247,-0.02,-0.0036,0.0237,120
surface/digits_add,-0.0009,-0.0045,-0.0012,-0.005,0.0064,0.0004,0.0097,-0.0107,-0.0003,-0.0021,-0.0023,-0.0039,0.5052,0.3557,0.0025,-0.125,-0.0006,-0.0097,0.0,-0.0002,-0.0008,-0.0007,-0.0016,-0.0003,0.0118,-0.0001,0.0391,-0.0018,-1.4508,-0.0227,0.0,-0.0009,-0.0033,0.0467,-0.0028,0.0304,120
surface/caps_terms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,-1.4508,-0.0341,0.0,0.0,0.0,0.0,0.0,0.0,120
surface/lowercase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.0,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,120
surface/numbered_list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0043,-0.0,-0.0,-0.0,0.0046,-0.0003,1.8939,5.2614,0.0,-0.0003,-0.001,0.0,0.0,0.0,120
syntax/drop_funcwords,0.0864,0.0834,-0.022,-0.0723,0.2398,0.1018,0.1707,-0.025,-0.0278,-0.0109,0.6114,0.0423,-4.3949,-2.5368,-0.0093,1.1607,-0.0044,-0.1707,0.0006,0.0014,0.0078,0.0009,0.0023,0.0004,0.0003,0.0003,0.0006,0.0032,-1.4508,-0.0376,0.0,-0.0048,0.0035,0.9142,0.0298,0.2175,120
