согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
0.2541992664337158,0,исходный,Ġthat,служ,6,-0.48914268612861633,4.301540077730411,0.4295978447595272,0.9321098923683167,0.6595142523565843,0.5331538221214946,0,0
,0,исходный,Ġand,служ,1,-1.5914430618286133,2.4220417923993933,0.45876669780208496,0.9278534650802612,0.7149302524625151,0.7913118495281422,1,1
,0,исходный,Ġat,служ,1,-0.505518913269043,5.226189029932255,0.5259300372878742,0.8896371722221375,0.6961687453854576,0.7763222961433578,1,1
,0,исходный,Ġshow,смысл-част,1,-17.993759155273438,-10.120697770989828,0.5618743375197427,0.8613682389259338,0.7660096442273983,0.5965200656920585,1,0
,0,исходный,Ġdeal,смысл-част,1,-1.8251808881759644,6.763168802544804,0.5064008777102744,0.8942674994468689,0.7739338856684508,0.8669165515997936,1,1
,0,исходный,Ġhope,смысл-редк,1,-4.993908882141113,4.215614489514513,0.5534813368471463,0.8692083358764648,0.6744310998267588,0.7879865796357687,0,0
0.30590111017227173,0,исходный,Ġ(,пункт,3,-0.016293341293931007,5.240918506019437,0.4311238968063643,0.932151198387146,0.7585800931365837,0.5411741356083926,0,0
,0,исходный,Ġcomponents,смысл-редк,2,-7.360400199890137,2.660053387981817,,,0.6649397963317718,0.7649316416463366,0,0
0.799682080745697,0,исходный,(,пункт,3,-0.01704179309308529,7.726144509769113,0.35564920540166356,0.9504733085632324,0.7243417063893653,0.22249637368529876,1,0
0.7658348083496094,0,исходный,Ġ$,пункт,4,-0.0026456851046532393,7.827551994747175,0.4477698758223103,0.917832612991333,0.7356699497705088,0.8221554543951147,0,0
0.7968404293060303,0,исходный,Ċ,пункт,16,-0.00038223114097490907,4.4037549078560545,0.43226240999783094,0.9339006543159485,0.6665683162793509,0.22190928706315005,0,0
0.6800643801689148,0,исходный,Ġa,служ,5,-0.2602023482322693,3.7596101758469933,0.4458727060580421,0.9218698143959045,0.6088889407538524,0.7292833390895194,0,0
,0,исходный,.,пункт,1,-0.3496726155281067,3.046383794333437,0.5488536031493082,0.9051888585090637,0.839694460155202,0.7413601715922233,1,0
,0,исходный,for,подслово,1,-0.14882315695285797,9.243021771496721,0.33969765489030046,0.9585003852844238,0.7405729302987125,0.7251392677712132,1,0
,0,исходный,Ġhand,смысл-част,1,-15.866036415100098,-7.773474470780778,0.7576958648359218,0.7740647196769714,0.7869997995870943,0.898446638410908,1,1
