текст,условие,n,общее направление,низкий PMI: направление,высокий PMI: направление,низкий PMI: взаимное расст.,высокий PMI: взаимное расст.
0,исходный,163,0.1291443258523941,0.13302719593048096,0.09923139214515686,0.9820447429745979,0.9917340359256106
0,чужие хапаксы,153,0.16106684505939484,0.22076086699962616,0.1089225560426712,0.8367596272793492,0.9741618458181184
0,перемешивание,166,0.22831222414970398,0.2695719301700592,0.16608373820781708,0.9006770561988511,1.004475421596101
1,исходный,176,0.126766636967659,0.1349921077489853,0.1100601851940155,0.9474807233514084,0.9923158482271281
1,чужие хапаксы,172,0.22569887340068817,0.2521381974220276,0.2188207358121872,0.868831717470074,1.0105975268299758
1,перемешивание,174,0.32157841324806213,0.3471587598323822,0.2999019920825958,0.952624087824766,0.9919111545850564
2,исходный,169,0.08957100659608841,0.08868512511253357,0.08459097892045975,1.0314347368578132,0.9785550041772758
2,чужие хапаксы,165,0.12285648286342621,0.16994182765483856,0.1055101677775383,0.9030370459636988,1.0338977117142165
2,перемешивание,161,0.2601269483566284,0.33019140362739563,0.21336691081523895,0.9290661798173252,0.9690149459273734
3,исходный,172,0.10276617854833603,0.11096658557653427,0.07928924262523651,0.9390278635073988,0.9463178100593009
3,чужие хапаксы,163,0.1900940239429474,0.22601617872714996,0.13867028057575226,0.8466469578441023,0.9514793413520334
3,перемешивание,169,0.2513399124145508,0.292887806892395,0.1896214336156845,0.8958025852344174,1.056310526607622
4,исходный,173,0.1147436872124672,0.14856959879398346,0.11643809080123901,0.9127824981549642,0.9656888653466527
4,чужие хапаксы,162,0.19893495738506317,0.25900566577911377,0.17239926755428314,0.8306256691781856,1.0243649210602568
4,перемешивание,165,0.3029719591140747,0.36281782388687134,0.23918402194976807,0.934422110368734,0.9722098387657815
5,исходный,165,0.10348987579345703,0.10842961072921753,0.0936083123087883,0.9625526439704455,1.0105687822558063
5,чужие хапаксы,160,0.19504691660404205,0.24979504942893982,0.15908725559711456,0.8497991103556637,1.1026135108383082
5,перемешивание,168,0.32089370489120483,0.35240352153778076,0.28202858567237854,0.8901869148837896,0.9884596715960272
6,исходный,169,0.14325666427612305,0.1485581398010254,0.1424427330493927,0.9675180316129065,0.97921586300372
6,чужие хапаксы,165,0.2555621564388275,0.3060273230075836,0.21190065145492554,0.8645476525340913,1.0049113840452688
6,перемешивание,166,0.3783591389656067,0.4062115252017975,0.29888519644737244,0.9226739781487747,0.9627732116132139
7,исходный,161,0.1783180981874466,0.2104731649160385,0.15576298534870148,0.9377712051176841,0.9904685304136005
7,чужие хапаксы,162,0.23736654222011566,0.27870693802833557,0.18379203975200653,0.9199824864202573,1.0379674679008968
7,перемешивание,161,0.3312305510044098,0.3868582844734192,0.25575223565101624,0.9465419242440558,0.9667398840154133
8,исходный,156,0.13718576729297638,0.1442212015390396,0.10793313384056091,0.9203569509954875,0.9222584048073629
8,чужие хапаксы,157,0.16482116281986237,0.19825135171413422,0.1141178235411644,0.9103048464821635,0.9818253039174948
8,перемешивание,163,0.30357158184051514,0.30232295393943787,0.2645746171474457,0.961515380753728,0.9883050689132005
9,исходный,182,0.130825012922287,0.15472082793712616,0.0878935232758522,1.0333515486571252,0.9184283105170769
9,чужие хапаксы,182,0.14509226381778717,0.22499866783618927,0.12702956795692444,0.8922072548319373,1.038225872138447
9,перемешивание,176,0.28577929735183716,0.30373287200927734,0.2408882975578308,0.9777079764910218,0.9039270118794789
10,исходный,175,0.0993463397026062,0.0980745404958725,0.09074011445045471,0.9509504049748266,0.9603760830815906
10,чужие хапаксы,176,0.21946458518505096,0.26437273621559143,0.2024439424276352,0.8295550394970286,1.0765881014733822
10,перемешивание,175,0.28785088658332825,0.34069859981536865,0.22376665472984314,0.8897019073964165,0.9932742369049049
11,исходный,167,0.10644178092479706,0.11627674102783203,0.10824018716812134,0.927060588940174,0.9869925347970439
11,чужие хапаксы,161,0.24292689561843872,0.28656449913978577,0.22956208884716034,0.8785449967656166,0.9598459017197069
11,перемешивание,176,0.32132965326309204,0.35032927989959717,0.2761823534965515,0.9514712667176364,0.913659792603102
12,исходный,188,0.1266075074672699,0.1200530156493187,0.10089430958032608,0.9555018726644803,0.9899833755942262
12,чужие хапаксы,171,0.15972548723220825,0.2533720135688782,0.13290050625801086,0.8356270386353257,1.0067893120758957
12,перемешивание,185,0.29224660992622375,0.320791631937027,0.2583318054676056,0.9115161426711131,0.9776897568336503
13,исходный,165,0.07810023427009583,0.07248548418283463,0.0859118178486824,0.9556060944471192,0.931412494650787
13,чужие хапаксы,171,0.19285272061824799,0.23726561665534973,0.20946314930915833,0.8389489279159098,1.001380402994954
13,перемешивание,172,0.29676365852355957,0.35908862948417664,0.23247338831424713,0.8878751759139973,0.9803553582700981
14,исходный,173,0.13871727883815765,0.11115450412034988,0.16983410716056824,0.9622883094034643,0.9823635343633196
14,чужие хапаксы,173,0.2438787966966629,0.257097452878952,0.23563747107982635,0.8544084513569877,1.005795589730188
14,перемешивание,170,0.34287574887275696,0.34870097041130066,0.33199670910835266,0.9184507286309014,0.9868107289886431
15,исходный,174,0.10129508376121521,0.12374001741409302,0.1072940081357956,0.9307792230277855,0.969232487002547
15,чужие хапаксы,171,0.13620290160179138,0.1701030135154724,0.10825346410274506,0.8796179971163574,1.0547751930799543
15,перемешивание,175,0.2856972813606262,0.30913040041923523,0.2267625480890274,0.9339305433696902,0.965531097020079
16,исходный,170,0.15467311441898346,0.15186993777751923,0.1779165416955948,0.9482917291573455,0.934719662663722
16,чужие хапаксы,169,0.23534508049488068,0.259989470243454,0.21450884640216827,0.8471870321511223,0.9415011285846102
16,перемешивание,169,0.30694451928138733,0.3463113605976105,0.27217885851860046,0.8918407115568113,0.9443095868496665
17,исходный,184,0.11631639301776886,0.12099616974592209,0.10847123712301254,0.9622033241454206,0.9625491884013317
17,чужие хапаксы,171,0.21361666917800903,0.2401612102985382,0.16535623371601105,0.9019371670627523,1.1138350006904418
17,перемешивание,181,0.30463021993637085,0.3203829526901245,0.25280898809432983,0.923567397758228,1.0024011141087958
18,исходный,182,0.13862045109272003,0.13009099662303925,0.139329195022583,0.8905611763380341,0.9889910158822046
18,чужие хапаксы,174,0.2191368043422699,0.26278361678123474,0.18537800014019012,0.8469727283280531,1.0299481452321324
18,перемешивание,184,0.31807300448417664,0.3664201498031616,0.28105661273002625,0.8802816494777528,0.9351672474215504
19,исходный,181,0.14896662533283234,0.20729395747184753,0.09506618976593018,0.9278101166508398,0.9606853004225293
19,чужие хапаксы,178,0.21364009380340576,0.29951703548431396,0.15670374035835266,0.8710221644350706,0.9625531133036881
19,перемешивание,176,0.31955739855766296,0.412626713514328,0.2400507628917694,0.8895138519913077,0.9741766119544254
20,исходный,160,0.17348411679267883,0.18030813336372375,0.14709657430648804,0.9575251520555973,0.987031896271623
20,чужие хапаксы,160,0.2575599253177643,0.28702813386917114,0.22070148587226868,0.8480136061668194,1.0084547122919056
20,перемешивание,165,0.3102743327617645,0.33760690689086914,0.24426282942295074,0.8802255993663874,1.0270689364069032
21,исходный,168,0.15513795614242554,0.13306759297847748,0.1473240703344345,0.9984509951546403,0.987110416267616
21,чужие хапаксы,159,0.23594747483730316,0.2523442506790161,0.20362181961536407,0.8811491169155544,1.024625421863289
21,перемешивание,162,0.28314894437789917,0.2791350781917572,0.2641674876213074,0.9806298398728066,0.9380231086129768
22,исходный,188,0.174380362033844,0.1959179937839508,0.18681380152702332,0.9363386645398784,0.9689103976727311
22,чужие хапаксы,180,0.1860325187444687,0.18644046783447266,0.1937473565340042,0.9431198817869776,0.9724707852110703
22,перемешивание,190,0.3888303339481354,0.3745027780532837,0.3855747878551483,0.9194340786257365,0.9566389351051175
23,исходный,182,0.14361320436000824,0.13866513967514038,0.12770433723926544,0.9850788618717315,0.9541603538878374
23,чужие хапаксы,173,0.23163297772407532,0.2542336881160736,0.22044028341770172,0.9428982361152687,1.0659418346851002
23,перемешивание,187,0.32224470376968384,0.32453450560569763,0.3011583089828491,0.9416515723941931,0.9406690719393532
24,исходный,187,0.10598556697368622,0.12279622256755829,0.09647977352142334,0.983276275235345,0.9685929376080243
24,чужие хапаксы,175,0.14390136301517487,0.19061279296875,0.13550829887390137,0.8475863348653268,1.0454407532034056
24,перемешивание,185,0.2694035470485687,0.313973605632782,0.20288702845573425,0.9203408200728656,1.007656733574928
25,исходный,180,0.11459578573703766,0.1130649596452713,0.136738121509552,0.9006597870582433,0.9930372712180756
25,чужие хапаксы,161,0.1279570609331131,0.17982470989227295,0.10064177215099335,0.8519061277985975,0.9709585284145671
25,перемешивание,172,0.2705794870853424,0.2920192778110504,0.24169299006462097,0.9504434313023324,0.9174889271424427
26,исходный,176,0.1209862008690834,0.14124931395053864,0.09083744138479233,0.958467929955397,0.9582654110196686
26,чужие хапаксы,171,0.15489822626113892,0.19337977468967438,0.12160217761993408,0.8197842082632993,0.9329172612382185
