набор,текст,условие,d(x) среднее,d(x) разброс,"d(x) разброс, одиночки","d(x) разброс, повторные",d(x) одиночки,d(x) повторные,центров
механические,0,исходный,10.470898635972665,2.7424730096212837,2.8471978512841964,2.229841889691133,10.791024348646038,9.622770389315306,124.0
механические,0,перемешивание,10.30384340981219,2.6691909097786635,2.7455101817031857,2.288468790039729,10.67509906475645,9.45947915315721,119.66666666666667
механические,0,эхо x2,10.858706668334513,2.3955578465997682,2.2783581124570893,2.441126344513311,11.17350061894684,10.593635654089907,96.66666666666667
механические,0,эхо x4,10.373234679552858,2.1500236300552307,1.9294366493042567,2.1840813768425353,10.823710205566174,10.273394033672483,70.0
механические,0,эхо на четверти,10.135904053336288,2.7585942655528464,2.804258626833302,2.573145558281803,10.323548672428126,9.77877417487685,117.0
механические,0,словарь к 25,8.191567930063696,2.80278802254499,2.7127791307099685,2.5022159771509433,9.131266819062446,7.246522693966136,75.66666666666667
механические,0,словарь к 60,9.26131312547219,2.750081433052151,2.8372088852309267,2.5435911457254483,9.603613219468981,8.781720277084327,99.33333333333333
механические,0,все слова разные,10.053313554287127,3.1986904691131137,3.382904683444817,1.9870357870931785,10.046152814663651,10.088038764218,139.0
механические,0,чужие хапаксы,9.515286218510488,3.258196675068342,3.3449834061020063,2.473414284898428,8.952477808207746,10.968208420906668,125.0
механические,0,хапаксы одного домена,9.131079603499174,3.2604915608616962,3.504704210983409,2.546070685981627,8.981103965886726,9.483241366604572,123.0
механические,0,20 чужих хапаксов,10.215251762567975,2.647962454730312,2.704998114397595,2.229647225947586,10.507202006165848,9.571019486841992,120.0
механические,0,маркер каждые 3,10.198535884339135,2.930043869185124,2.9829492463869003,2.383307119474256,10.560789810237042,9.119170259015545,108.0
механические,0,без пунктуации,11.050355710396557,2.6679082768271294,2.4726455538990106,2.602379867038852,11.677176828225411,9.827428649306775,118.33333333333333
механические,0,без служебных,9.400405432716516,3.10013896349207,3.1400658751148076,2.847818810021151,9.65217823026498,8.795952653337727,122.0
механические,1,исходный,11.059101695838555,2.618901144219663,2.508147399321794,2.69974025038513,11.371455956755725,10.226276329579692,130.66666666666666
механические,1,перемешивание,10.870552565564521,2.9668089711606753,3.0294246906435944,2.699426300318855,10.95797927050822,10.585003728482784,137.0
механические,1,эхо x2,11.05891560647003,2.4198729802422627,2.2375070299634694,2.4943452352308184,11.52502530619187,10.67570463886013,105.66666666666667
механические,1,эхо x4,10.148488308114016,2.172401094316628,1.5705686060823059,2.2438803911453946,10.657337120898507,10.073637623518708,61.333333333333336
механические,1,эхо на четверти,10.743828047060981,2.6248939252533905,2.639578409378066,2.584145812491885,10.818083681386057,10.574755046120453,122.33333333333333
механические,1,словарь к 25,9.932205269816587,2.601392038836618,2.377438606991563,2.6938542557031657,10.433665045399474,9.28491278025635,81.66666666666667
механические,1,словарь к 60,10.535825642403937,2.5746493677607454,2.4632170471988557,2.5146683639568663,11.033749252389805,9.66810577976718,110.66666666666667
механические,1,все слова разные,9.746817514528516,3.3045044864183954,3.332161320125675,3.1659311822887948,9.69305177088757,10.008765626930922,144.66666666666666
механические,1,чужие хапаксы,10.46502138455156,3.0931962869591967,3.2478932067969417,2.462568253240165,10.552157738718266,10.15515434700479,139.66666666666666
механические,1,хапаксы одного домена,10.187511397477667,3.346580220462578,3.424603785424536,3.0328566898601377,10.062074574175172,10.547624359983704,138.66666666666666
механические,1,20 чужих хапаксов,10.776828161897207,2.8405181614504413,2.871919256296488,2.7132736952333487,10.912258869571586,10.38111500551477,133.66666666666666
механические,1,маркер каждые 3,10.97532161414683,2.6703345079624783,2.5416709962326895,2.9586480606111767,11.194274977756729,10.130402745313075,117.33333333333333
