набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,0,исходный,0.7359985518295774,0.09882903005338646,0.35760727695628614,0.385
механические,0,перемешивание,0.7354944842162398,0.08570349192087619,0.41995310478245934,0.40666666666666673
механические,0,эхо x2,0.7519453627909116,0.10778630892238293,0.32586311755067926,0.5216666666666666
механические,0,эхо x4,0.7669509818495861,0.0848589645315393,0.2402976457460914,0.655
механические,0,эхо на четверти,0.7351788940848986,0.09231698128329235,0.3586731405206072,0.42
механические,0,словарь к 25,0.7269805940502438,0.12446676390736333,0.4035336723935543,0.6266666666666666
механические,0,словарь к 60,0.7293613712389685,0.09117957746825271,0.3940861717432485,0.5083333333333333
механические,0,все слова разные,0.7119533654686018,0.09028794683901846,0.36276086001997004,0.31
механические,0,чужие хапаксы,0.7094918035584797,0.09669153593425284,0.3659078331692838,0.38000000000000006
механические,0,хапаксы одного домена,0.7143512154985793,0.1014199330217168,0.38003985021478215,0.38999999999999996
механические,0,20 чужих хапаксов,0.7390367639886571,0.08809320058002358,0.3541556421943033,0.40499999999999997
механические,0,маркер каждые 3,0.7653607759858785,0.10340168221110034,0.3725534446390258,0.465
механические,0,без пунктуации,0.7649931684926976,0.09498447103096386,0.42809635273406305,0.4133333333333334
механические,0,без служебных,0.7180896560684045,0.10059296810745494,0.36007918328591276,0.395
механические,1,исходный,0.7504703051953362,0.08732916456819495,0.42607227284889787,0.3516666666666666
механические,1,перемешивание,0.7417459331261588,0.08531907781951754,0.4749872107310975,0.32
механические,1,эхо x2,0.7634402982712016,0.07621781661025528,0.33083900521261134,0.4766666666666666
механические,1,эхо x4,0.7878690083373779,0.08251469902006427,0.25331985174863425,0.6983333333333333
механические,1,эхо на четверти,0.7506506651793216,0.08885424378449334,0.3671283577041953,0.39333333333333337
механические,1,словарь к 25,0.7523377541137258,0.09029269897178104,0.41859311321491827,0.5966666666666667
механические,1,словарь к 60,0.7500776854179915,0.08351106815456268,0.4525782323093847,0.45166666666666666
механические,1,все слова разные,0.7207037757779248,0.09811304560270712,0.43497344432128954,0.2816666666666667
механические,1,чужие хапаксы,0.7310468578150128,0.0961740819510369,0.4241182964378889,0.30666666666666664
