текст,условие,S,C
0,исходный,0.03220047422979988,4.4085642704886965
0,чужие хапаксы,0.13825548452490835,6.626025369296504
0,хапаксы одного домена,0.08280664451539221,7.619563324283195
0,перемешивание,0.012580659347722123,4.017146647083463
0,эхо x4,0.028003247294699347,0.42498287643067223
0,все слова разные,0.12630412165945729,6.80123855907861
1,исходный,0.10653611729415029,2.9525515152325266
1,чужие хапаксы,0.059485677975513,5.467394613468987
1,хапаксы одного домена,0.05499641008016665,6.529643321352306
1,перемешивание,0.044360343833281135,4.643598893272063
1,эхо x4,0.058992890299077505,0.45558175547681373
1,все слова разные,0.07715602037116231,7.974053566917957
2,исходный,0.06895454068808471,6.8529956170044555
2,чужие хапаксы,0.16756088304451985,8.104140408009966
2,хапаксы одного домена,0.2006060357188075,10.645423114584931
2,перемешивание,0.0669553390147694,6.532234257875153
2,эхо x4,0.08103044956701144,0.8406355685525083
2,все слова разные,0.04475373431074189,10.652543966879037
3,исходный,-0.055672677408698225,4.142927201776282
3,чужие хапаксы,0.05037837579112211,5.807166814954537
3,хапаксы одного домена,0.0038204119230392797,5.3857613347684286
3,перемешивание,0.0034761306998830253,4.494808867051248
3,эхо x4,0.06616286491762462,0.1719812214639411
3,все слова разные,9.104449517390496e-05,8.828613375245688
4,исходный,0.05257757903772464,7.816798740646557
4,чужие хапаксы,0.12795935163503633,8.612098875005445
4,хапаксы одного домена,0.11123809325142593,8.847039754319047
4,перемешивание,0.035068650066293526,5.039277292348345
4,эхо x4,-0.010518648018648066,0.24212983740072272
4,все слова разные,0.08126788566394227,7.463650872519001
5,исходный,0.08017264691482288,5.938217502524488
5,чужие хапаксы,0.11545887352074798,8.637139393929052
5,хапаксы одного домена,0.07259616432673092,7.894926911671423
5,перемешивание,0.020644475088985665,4.115625408020814
5,эхо x4,0.11731937381798996,0.13482575689181228
5,все слова разные,0.14591874145918748,8.871585208322768
6,исходный,0.07871064551867275,4.087597314893597
6,чужие хапаксы,0.1031862250428136,8.541943920981074
6,хапаксы одного домена,0.15016270137852014,6.412055498224107
6,перемешивание,0.05157740835558533,3.6095547544815325
6,эхо x4,0.05494033164648778,0.43616574257735924
6,все слова разные,0.07164417029978025,5.0782822520647795
7,исходный,0.02165667880071409,4.718752187201251
