model,откл_крупный,откл_мелкий,откл_средний,кластер
13B,-9.2,-20.4,-31.1,1
30B,-6.1,-18.4,-26.2,1
65B,-3.4,-14.8,-20.1,1
7B,-12.4,-23.3,-35.0,1
GLM130B,-15.7,-34.9,-44.4,1
bloom_7b,14.2,44.9,36.4,2
bloomz,-1.4,7.7,14.9,2
cohere,6.2,-22.7,-17.9,1
davinci,12.5,-11.1,-7.0,1
dolly,-0.8,-22.6,-18.3,1
flan_t5_xxl,-65.0,-25.0,-84.2,1
gemma-7b-it,5.0,-12.7,-1.6,1
gemma2-9b-it,-4.3,-13.7,-5.7,1
gpt-3.5-turbo,14.8,-15.7,-5.4,1
gpt-35,1.9,-25.5,-26.1,1
gpt4,0.9,-15.8,-13.4,1
gpt4o,3.9,-12.4,-1.3,1
gpt_j,13.1,45.2,38.8,2
gpt_neox,17.1,204.5,59.7,2
llama3-70b,3.5,-15.6,-9.1,1
llama3-8b,6.9,-16.8,-14.1,1
mixtral-8x7b,7.2,-17.6,-13.3,1
opt_1.3b,14.4,23.8,32.2,2
opt_125m,12.2,13.5,23.8,2
opt_13b,14.0,161.1,49.9,2
opt_2.7b,18.7,46.0,44.4,2
opt_30b,22.1,75.5,48.3,2
opt_350m,11.1,21.3,28.0,2
opt_6.7b,15.4,29.3,32.9,2
opt_iml_30b,14.5,37.2,39.1,2
opt_iml_max_1.3b,9.4,15.9,26.6,2
text-davinci-002,-1.7,-17.3,-9.7,1
text-davinci-003,17.9,-11.9,-4.5,1
