model,PC1,PC2,PC3
13B,-140.59732353844538,-40.11230015029125,-5.930876068909577
65B,-103.5813018286736,-24.572858954745282,0.5559470861513419
7B,-176.6033697597025,-57.32644614329799,-3.576071458163077
GLM130B,-215.83437672362265,-53.58731692468652,-7.081380274626421
bloom_7b,383.76450937105767,-38.99745493723727,-11.433474017037934
cohere,-61.504304218211175,24.503825835701374,-3.434294537539083
davinci,-14.618506872363582,47.815630108306095,-6.280175429892639
dolly,-98.65270110451536,-14.14253337062198,5.209847555810576
gpt-3.5-turbo,-41.02738671263595,40.79717064551938,-4.059671657028642
gpt-35,-106.20322297113323,21.54475244244674,-22.383274106388303
gpt4,-65.75843122445578,3.900294350712562,7.956286796924248
gpt4o,8.856395969662797,15.50825318840761,18.687259607004698
llama3-70b,-18.070190717579674,26.14144160025912,12.752422395427152
mixtral-8x7b,-24.750909325244407,23.7853204340836,1.44676456789599
opt_125m,216.60945752852456,-3.0530036453127614,21.905988155694395
opt_2.7b,512.3094777393653,-15.982426449539899,-8.725634546573728
text-davinci-002,-42.07387926026875,-14.425099315735476,16.045178058819115
text-davinci-003,-12.26393635175801,58.202751286031955,-11.654842127568122
