model,q_small@0,q_small@0.05,q_small@0.1,q_small@0.15,q_small@0.2,q_small@0.25,q_small@0.3,q_small@0.35,q_small@0.4,q_small@0.45,q_small@0.5,q_small@0.55,q_small@0.6,q_small@0.65,q_small@0.7,q_small@0.75,q_small@0.8,q_small@0.85,q_small@0.9,q_large@0,q_large@0.05,q_large@0.1,q_large@0.15,q_large@0.2,q_large@0.25,q_large@0.3,q_large@0.35,q_large@0.4,q_large@0.45,q_large@0.5,q_large@0.55,q_large@0.6,q_large@0.65,q_large@0.7,q_large@0.75,q_large@0.8,q_large@0.85,q_large@0.9,q0.5_range@0,q0.5_range@0.05,q0.5_range@0.1,q0.5_range@0.15,q0.5_range@0.2,q0.5_range@0.25,q0.5_range@0.3,q0.5_range@0.35,q0.5_range@0.4,q0.5_range@0.45,q0.5_range@0.5
13B,-26.68907528798339,-27.310706009358768,-27.52943027013787,-28.379018178604987,-30.109152885678817,-32.189400018025054,-33.59245463088283,-33.34206239757343,-31.231134003085053,-28.101981228500087,-24.63498108983351,-21.387160357284774,-18.460865109681606,-15.809003720404766,-13.261696404846765,-10.508177974870268,-7.430465559683222,-3.9642773535754636,0.531886667323671,-26.68907528798339,-27.75103827545552,-28.49251857557607,-29.20805654241828,-29.87373852271744,-30.482461809459465,-31.025449321592,-31.484873666820118,-31.786351970786086,-31.777811546202805,-31.227586157053054,-29.845490622527244,-27.47972882443161,-24.28074447928859,-21.293877631729593,-19.82969090789893,-20.522909498315123,-22.671314386761793,-23.633735817828782,-31.227586157053054,-32.46813524820892,-32.75541973014438,-33.59737754532647,-35.41428104301283,-37.62582683524177,-38.964254755704644,-38.191674889086656,-35.05168717278582,-30.652860153060534,-24.63498108983351
65B,-20.871125666926247,-21.363170873599753,-21.698472039180466,-22.7296525818645,-24.4377137124526,-26.13845952963927,-26.83523685689394,-25.86366925572329,-23.441961361739505,-20.441375556344862,-17.544397015922463,-14.952345103694473,-12.654965826759687,-10.580458696251027,-8.757267667822425,-6.988329486397579,-5.002876474255247,-2.3503869999564784,1.554658758897708,-20.871125666926247,-21.773447752746893,-22.293849605485192,-22.795807097056734,-23.286821384036994,-23.804993846887488,-24.349823760458335,-24.897935624204862,-25.39970108861204,-25.78751931566546,-25.90584560275529,-25.485226360171442,-24.180842214203615,-21.915077856914717,-19.315432116160892,-17.536760024443673,-17.52034709491371,-19.251493196661958,-21.071863030693134,-25.90584560275529,-26.282060682932794,-26.3186572433579,-27.21443088073751,-28.976267452879075,-30.755345465597753,-31.296545246145623,-29.808829442930993,-26.575202770453547,-22.690144461422367,-17.544397015922463
7B,-31.294045634942705,-32.26477087428318,-32.88629323943828,-34.25810052830007,-36.476368577889126,-38.812876623443145,-40.36777923673819,-40.17586883025405,-38.06846229826228,-34.92617842234248,-31.453158299959423,-28.036476735155798,-24.770780056892033,-21.7337828679537,-18.824946828868732,-16.041377016827855,-13.25807256075699,-9.992567817405126,-4.7461941516641035,-31.294045634942705,-32.395157071358476,-33.156735916797956,-33.870426457029765,-34.598598478600145,-35.341854310370614,-36.056750485908495,-36.655199893649744,-37.058593968757556,-37.12420986123691,-36.65317001866998,-35.363516641774126,-33.00230432179383,-29.6710247954685,-26.402403927930692,-24.415743049653614,-24.144851780623217,-25.5011545412963,-25.841455233747077,-36.65317001866998,-38.21746032924844,-38.873646326877456,-40.189206870394344,-42.36491368994689,-44.57293534158209,-45.788331536991734,-44.8921261113721,-41.76414282390317,-37.388542123638594,-31.453158299959423
GLM130B,-37.497391517137295,-38.374153013716246,-38.55018359994736,-39.32115332264432,-40.872435303687766,-42.776382446372764,-44.22055062387596,-44.164349950611026,-42.10582908440765,-38.47669894672179,-33.99257316386458,-29.467758859675385,-25.39372699459223,-21.686040947850667,-18.095809527286217,-14.473968045292835,-10.775423197409774,-6.8715081122159125,-1.7328472537905355,-37.497391517137295,-38.73180266854917,-39.728512575518074,-40.69881863807068,-41.674685912554665,-42.64823641661063,-43.59331337783983,-44.44450649405958,-45.08905784993173,-45.354892026333175,-44.97325957197901,-43.69344823376124,-41.4228356028117,-38.46394634836953,-35.79906645818546,-34.34442445570154,-34.35721241045054,-35.23579497158736,-34.6653473433909,-44.97325957197901,-46.206557067601544,-46.06163875058311,-46.377750445789886,-47.516729117804836,-49.072860275179494,-50.113290193381445,-49.37468710690769,-46.23999086519791,-41.112339503555106,-33.99257316386458
bloom_7b,40.84854343603033,47.967810257098755,57.37960216605822,63.04800321635242,59.90251007187377,49.49985075205724,36.86723076668306,26.38680129802317,19.697440020238272,15.662370569494469,13.156957717608739,11.392080769878238,9.90173135664719,8.508665455734432,7.105727364671257,5.5861821727714664,3.715244379463612,1.451108437401388,-1.41776299414379,40.84854343603033,43.331884394820406,45.1703388626905,47.00551627672256,48.86899221025108,50.82171256026927,52.96956416702141,55.32647782310837,57.93130312026424,60.80471894137646,63.932101403659416,67.01606293674904,69.19793228173246,68.52157239848484,61.428457720589925,46.234032289106054,25.185414028683592,4.039873799630645,-9.833906994810913,63.932101403659416,74.56936124514031,89.32911631353693,97.68556244339895,90.58537491683657,71.68286182745489,50.74680530195706,34.553535641749875,24.593189310142606,18.53830090404882,13.156957717608739
cohere,-14.509742871073394,-15.10390253992664,-15.036304778423453,-15.082819123024612,-15.390027809815175,-15.69373142830978,-15.25184390015492,-13.472576895741327,-10.474169808949616,-6.943756999486141,-3.570294229615534,-0.7137800334217339,1.566800934178611,3.6710497237326565,5.856792118823289,8.115620053956421,10.524569296712787,13.445936375158032,16.92682183754705,-14.509742871073394,-15.501879786094577,-16.328904712649422,-17.130843328582976,-17.8850437437199,-18.637296718235934,-19.395635586417654,-20.16232659179906,-20.950253039174477,-21.697209037307534,-22.205844801547407,-22.209221738546706,-21.462356145015256,-20.071362580593696,-18.700044888504507,-18.091754129098007,-18.38830255877163,-18.651667579433475,-17.40657096163498,-22.205844801547407,-22.580122370508125,-21.935778612721492,-21.52634406477966,-21.59819420036472,-21.750134764422352,-20.968603251438164,-18.43907558733248,-14.162075994560643,-9.146516236497217,-3.570294229615534
davinci,-7.384576951237774,-7.949884660882025,-8.243272853799555,-8.804791061272033,-9.571833890048653,-9.725921118517132,-8.416644711482695,-5.3928059679385045,-1.3158825083908579,2.38415618870461,5.064621113478601,7.222981454740542,9.184104740919597,11.124640337469216,13.148207030706919,15.298782968712505,17.6763964241267,20.551179410215465,23.715523067269228,-7.384576951237774,-8.22720088355331,-9.080287111169245,-9.831053669600538,-10.499314642959149,-11.151931411031516,-11.801312243268443,-12.452281150048838,-13.110809940547652,-13.756930325440283,-14.334144765886672,-14.664356677298489,-14.227230289056068,-12.664804714820622,-10.368194427434538,-8.1491225512543,-6.857533277280237,-6.73192207726164,-6.48706566995951,-14.334144765886672,-14.787476538050491,-14.822785555484153,-15.304097405145225,-16.184451962564463,-16.365085015762055,-14.65197623959424,-10.648317516492565,-5.030358839148209,0.49488846131767283,5.064621113478601
dolly,-20.330368659281852,-21.049442585931665,-21.498511699562187,-22.260698452220666,-23.42183843994107,-24.538507490341136,-24.66575800687038,-23.198630792362014,-20.410362521170292,-17.24259627474354,-14.387339571615174,-12.034844499382261,-10.118379151482543,-8.308681585389982,-6.433955797887768,-4.665513648724128,-2.902300579267976,-0.8675027482077315,1.3142966725820089,-20.330368659281852,-20.94937553426179,-21.58241219684865,-22.196661508022146,-22.798793994114202,-23.41691444373942,-24.031379310507358,-24.62343028121312,-25.192003293970057,-25.687570790206188,-25.965700525049655,-25.76352855055868,-24.77935535222016,-22.925560653548025,-20.66497994234312,-18.877358265950132,-18.237834667011864,-18.13730524965191,-16.787028232426607,-25.965700525049655,-26.573518536186455,-26.70461916840895,-27.21979733881342,-28.261485366924877,-29.258926225044775,-28.996298121265806,-26.76385261464104,-22.88138232182611,-18.463778534204284,-14.387339571615174
gpt-3.5-turbo,-11.521293600658698,-12.112945435315575,-12.04597148678343,-12.020061997111815,-12.346178217996174,-12.423229052498398,-11.348656406097597,-8.553711778619189,-4.704721999101765,-1.1262127270183782,1.6841094334072777,4.044717306257251,6.2936132059358565,8.547072939197989,10.86088912045093,13.136409612606638,15.490065087773763,18.090732455828046,21.093710702131663,-11.521293600658698,-12.457162219051051,-13.292789156370175,-14.116489554542675,-14.897297192078296,-15.66427045636513,-16.415884285543708,-17.13970508296913,-17.859285513597534,-18.56187471618629,-19.21096143436885,-19.634494636011365,-19.44171841411289,-18.34292643857779,-16.796343533446986,-15.852494203251412,-16.021473812759762,-16.593338613646583,-15.244340983545062,-19.21096143436885,-19.507561271041993,-18.99911241595391,-18.706385162902556,-18.989369798508708,-18.98213120158956,-17.48636433694425,-13.70942179036884,-8.344067820688947,-3.180294935489706,1.6841094334072777
gpt-35,-20.566187157569747,-21.57375188795481,-21.905282685657944,-22.344593471985835,-23.236978211768573,-24.2688647256785,-24.5137581941064,-23.155653775698333,-19.78971540235255,-14.89459660171011,-9.62308359684237,-4.826113092106634,-0.667766766963792,3.1682978061521636,6.940335463610705,10.783361217907775,14.906893589187252,19.42800907385464,24.600184218519008,-20.566187157569747,-21.835601760615255,-22.931534504336543,-23.93086244983051,-24.866375180975734,-25.76334775495019,-26.63182574168273,-27.451006565261853,-28.185099800391566,-28.716154929820217,-28.77332967382892,-28.035852011769734,-26.38200676581251,-24.218661740675987,-22.32291553842327,-21.327745449442464,-21.309903245909975,-21.114820986084492,-18.299073946724036,-28.77332967382892,-30.07152255483954,-30.159321137493944,-30.366341827047684,-31.197530346215842,-32.2322921011521,-32.23780448377075,-30.09991439326271,-25.231304273883048,-18.09012510583549,-9.62308359684237
