n,rep,"одиночек, %","длинных с одиночкой, %",средняя длина,S(q=0.5),S(q=0.7),S(q=0.9),текст
41,0,58.536585365853654,100.0,24.434143575191168,586.1973862967632,367.1109734285781,128.43383599080312,0
61,0,70.49180327868852,100.0,24.07264013894123,848.6866069385034,528.5386569076086,187.71703658094918,0
81,0,53.086419753086425,87.5,21.832382741375444,1081.2079097817027,675.6533005900556,237.4445945377907,0
101,0,53.46534653465347,85.0,21.59469902212566,1358.8990167009274,842.6686856667575,293.32683466031784,0
121,0,55.371900826446286,91.66666666666666,20.959371329975884,1570.003942814451,976.4744972394312,343.55598855671,0
161,0,44.099378881987576,93.75,20.225372200325882,2063.9239088205177,1289.604312707414,458.4956994281121,0
201,0,45.77114427860697,87.5,19.273929725746644,2544.11440512123,1589.6259823510422,566.3314784517769,0
41,1,68.29268292682927,100.0,23.548495917393943,561.8035875029025,344.65239209895265,120.05058561945934,0
61,1,62.295081967213115,100.0,23.258166082835537,832.4248050913934,514.2307239520068,181.53112036455767,0
81,1,65.4320987654321,93.75,23.493518143549185,1112.43345607944,685.8700557911129,238.70334385384328,0
101,1,48.51485148514851,85.0,21.917807880557135,1371.4679745485248,849.7669123751731,299.02875654169435,0
121,1,47.107438016528924,95.83333333333334,20.920384605581102,1613.326768870339,1008.1623162652799,361.43218746428244,0
161,1,48.4472049689441,87.5,20.607513680581725,2110.368078779467,1316.0891521038925,466.6346357258615,0
201,1,35.32338308457712,85.0,18.357273579872217,2507.8231127803665,1586.5169187344231,569.0811337606538,0
41,2,65.85365853658537,87.5,24.719486905814065,575.7886456899971,355.0744185434614,125.40506022235681,0
61,2,62.295081967213115,100.0,23.81712186703156,824.774912686971,508.7721807767372,175.9085371146613,0
81,2,60.49382716049383,81.25,23.384784743774592,1118.0693810866808,690.8644759490776,246.02956704638487,0
101,2,58.415841584158414,90.0,22.283412418206705,1383.1668117139081,858.9718935073789,301.37196289561643,0
121,2,52.066115702479344,91.66666666666666,21.40174247375419,1594.6833858740038,997.1657060895112,359.1995595337786,0
161,2,52.17391304347826,90.625,20.445946679869614,2079.052864474954,1302.5471200639554,461.89666198994473,0
201,2,48.258706467661696,90.0,19.862735105659898,2580.368993589307,1617.8976350829091,578.2276992512793,0
41,3,90.2439024390244,100.0,26.825686439071138,584.9722559486729,358.74308582475766,123.9746552825242,0
61,3,57.377049180327866,91.66666666666666,22.665984276218204,833.0016074263439,519.6483259348801,182.95162410258473,0
81,3,66.66666666666666,100.0,23.494605404509883,1097.9614328430043,675.5627717680475,237.00895928310933,0
101,3,57.42574257425742,85.0,22.101744240753124,1350.2412861657237,832.4712855667234,294.377704173969,0
121,3,64.46280991735537,91.66666666666666,22.66957049007899,1612.2856876464853,1004.6419560614906,357.22121082291346,0
161,3,44.72049689440994,90.625,20.303442117693784,2112.5546729041725,1317.8066565419495,466.1717067744785,0
201,3,48.258706467661696,92.5,19.74525794385652,2575.1878674610916,1605.0081372552158,565.9760511312038,0
41,4,82.92682926829268,100.0,25.497914422497416,564.9611807564003,346.68984007016286,119.67827013594416,0
61,4,68.85245901639344,100.0,24.418523701199476,856.1166344186074,533.3085009418842,190.67158222842087,0
81,4,62.96296296296296,93.75,23.32239050511193,1096.718504546272,678.0214246210362,238.2787689861688,0
101,4,65.34653465346535,90.0,22.43426459496451,1348.142388359865,833.9063927314862,294.548058981356,0
121,4,43.80165289256198,70.83333333333334,20.027094867980267,1568.759645558704,983.6605319141,350.39702447346406,0
161,4,45.962732919254655,93.75,19.793654442331878,2055.7089453956196,1285.3231267923547,452.94514237942457,0
201,4,39.30348258706468,82.5,19.304898539313566,2512.6960795945524,1565.9077250004837,552.9873497249578,0
41,5,70.73170731707317,100.0,25.02521028477359,579.457464684662,359.24068336335745,125.01237424106404,0
61,5,60.65573770491803,83.33333333333334,23.252907227273294,843.2780543329629,522.0228416205836,181.12647697115347,0
81,5,54.32098765432099,81.25,22.077236770804884,1097.728330775072,684.3512973591063,243.3647560582355,0
101,5,53.46534653465347,80.0,21.978313031821244,1368.9015091480685,850.4545661768929,301.3294082574275,0
121,5,52.066115702479344,95.83333333333334,20.43152092281328,1560.7718326019367,973.809394493319,344.52295388687537,0
161,5,50.31055900621118,96.875,20.432600531277515,2074.738248908445,1291.6852752413101,453.0318192435484,0
201,5,46.26865671641791,90.0,19.867923072208146,2592.689943761947,1623.2355386776965,570.2982406281641,0
41,6,73.17073170731707,100.0,25.685875401353677,578.3930640012262,358.1491553184256,126.44504338907277,0
61,6,68.85245901639344,91.66666666666666,23.51623833526777,849.5131194037498,527.3637473268709,184.29635019809547,0
81,6,56.79012345679012,87.5,22.41991322150237,1069.1627711415201,662.8023391450256,232.33550344033353,0
101,6,60.396039603960396,95.0,21.841052829412593,1343.0967069094029,833.1648442727088,294.75776668171346,0
121,6,50.413223140495866,91.66666666666666,21.19445150050196,1614.8800597380377,1003.7188920363931,354.2176664107465,0
161,6,45.962732919254655,93.75,19.935403484771978,2049.8188294211736,1280.9549202098815,458.152183458726,0
201,6,41.7910447761194,90.0,19.222487119458233,2527.283407027479,1596.1015635208796,571.5786614036458,0
41,7,78.04878048780488,100.0,25.406699466408828,571.0800172887102,356.45291951116263,127.27354021747928,0
61,7,72.1311475409836,100.0,24.30467380195918,837.9272389650487,517.7498371307124,180.92354647395354,0
81,7,67.90123456790124,93.75,23.734389639077392,1097.689217991801,678.7563038509672,238.97507775844772,0
101,7,48.51485148514851,95.0,21.265097257164815,1373.7698568974913,850.838629026464,296.62003817345305,0
121,7,52.892561983471076,83.33333333333334,21.241843911871182,1629.0347843391155,1015.8380571168802,355.69424312299043,0
161,7,49.06832298136646,90.625,20.3011481324939,2096.083107126452,1305.167468308476,456.51642491210316,0
201,7,50.74626865671642,92.5,19.904440467244562,2553.145581327124,1603.1632636566135,567.6026566969886,0
41,0,80.48780487804879,100.0,26.64429284086865,612.4062810703442,384.1960506897732,136.65146866816679,2
61,0,77.04918032786885,100.0,24.794117360559028,878.3667965238449,551.4728335824461,196.9089879318628,2
81,0,55.55555555555556,87.5,23.035089663369643,1113.6723184304192,707.0800076070034,262.70263338740824,2
101,0,67.32673267326733,90.0,23.903880052532223,1419.4769336028264,893.3081295571739,321.90900969870336,2
121,0,44.62809917355372,83.33333333333334,21.709296196805802,1628.8268640840809,1022.3450760578688,371.7538888370717,2
161,0,49.06832298136646,90.625,21.07362822753954,2131.0518064987664,1349.0409563924331,496.67514256843583,2
201,0,43.78109452736319,82.5,20.678255269854336,2647.2950825365433,1668.3082867754504,597.7654043884703,2
41,1,80.48780487804879,100.0,25.489837482653165,574.8994417640656,358.75683974961186,130.19232836481146,2
61,1,75.40983606557377,100.0,24.73548959401375,868.9259748814479,546.646795357608,191.45019717505153,2
81,1,62.96296296296296,75.0,23.534536192880324,1132.2541476809579,713.4173253660239,257.95398134355185,2
101,1,52.475247524752476,80.0,23.374022125064016,1376.6038735003456,861.2294558801846,306.04369207447616,2
121,1,54.54545454545454,87.5,22.87218455779348,1658.652747649573,1039.669862024773,378.42210404933905,2
161,1,48.4472049689441,84.375,21.641463911978505,2120.2122360590997,1331.712711613753,482.7418084032357,2
201,1,36.318407960199,72.5,20.162873484562017,2577.514593564991,1633.614545576158,593.4644896705202,2
41,2,60.97560975609756,100.0,23.976296013970803,590.961020832288,372.1819444488062,131.24621471653035,2
61,2,67.21311475409836,66.66666666666666,25.192016360253433,867.5476147871251,543.9885163545032,196.18511834553806,2
81,2,64.19753086419753,93.75,24.41837943866271,1146.8333978250184,720.4487867023233,261.2671662499053,2
101,2,55.44554455445545,80.0,23.380672570618948,1428.7560186274295,894.9743329889952,322.56079055625554,2
121,2,47.93388429752066,95.83333333333334,21.776694922271886,1630.122644323104,1026.9874917176862,376.3452420600891,2
161,2,51.5527950310559,90.625,22.03702077836627,2146.0446736190065,1360.1208167479163,502.1909881831433,2
201,2,37.81094527363184,70.0,20.04349934769297,2608.463134083389,1654.3461108620477,595.499693524993,2
41,3,82.92682926829268,100.0,26.753121817426337,609.5414944423392,385.1692316460085,138.81540584731798,2
61,3,62.295081967213115,91.66666666666666,24.996033883630655,883.7390997479112,554.0307638375347,199.6101205708199,2
81,3,66.66666666666666,93.75,23.81837021010876,1137.6704529407966,715.739017325271,257.80678629768005,2
101,3,50.495049504950494,85.0,22.814856345728064,1395.0039137548097,879.4473995439125,312.0212414558574,2
121,3,53.71900826446281,87.5,22.38306294225732,1654.0349030565965,1045.269647972851,382.18498427261443,2
161,3,40.993788819875775,71.875,20.768321674060623,2109.015514282213,1334.2006512022517,484.8016099042401,2
201,3,38.80597014925373,75.0,20.554198208555235,2635.8081984908436,1669.3654207851378,607.0069119683812,2
41,4,78.04878048780488,100.0,26.351710370048103,610.0045791246897,388.08111620149856,143.27044157524267,2
61,4,60.65573770491803,66.66666666666666,24.130156838988462,863.8846398648236,547.4280579537699,198.64013604833218,2
81,4,67.90123456790124,93.75,24.13127947355678,1148.477920056821,723.3551344025325,261.77069888275093,2
101,4,49.504950495049506,100.0,23.068144000008747,1411.0652823919274,891.1721159990808,316.1768537614856,2
121,4,44.62809917355372,79.16666666666666,21.917883124001385,1666.6872986341605,1055.2388036515586,388.131077822651,2
161,4,40.993788819875775,84.375,20.640018556770844,2147.2301717520645,1368.3881184257154,498.70504420144664,2
201,4,32.33830845771145,72.5,19.864161962258944,2603.7662153065507,1651.269605888351,600.3212121925927,2
41,5,75.60975609756098,75.0,26.532726621103347,611.6992341200373,380.73589560129534,131.84901554039965,2
61,5,72.1311475409836,100.0,24.48613654356524,873.8568380246877,549.543524133872,195.43269353787431,2
81,5,61.72839506172839,75.0,24.055942273265003,1135.7047327195487,709.3881674637591,254.14372927179554,2
101,5,48.51485148514851,85.0,22.170815980931142,1385.312836643175,873.9189746289088,319.588900389201,2
121,5,52.066115702479344,83.33333333333334,22.40388877658156,1653.0451861874365,1038.1954181654246,371.7680651628307,2
161,5,49.06832298136646,93.75,22.46036569165664,2208.682311870245,1391.488800496842,507.39864473006827,2
201,5,41.7910447761194,92.5,20.496814979741686,2628.876773922656,1667.8956282187025,605.0122010786056,2
41,6,70.73170731707317,100.0,25.350401288956984,604.8978881974729,381.56582077027645,141.52190886376513,2
61,6,68.85245901639344,91.66666666666666,24.73630256106862,841.9320410028026,529.2678556763856,194.15833585850515,2
81,6,54.32098765432099,93.75,22.28478617196402,1100.9842404039816,694.5329543809469,252.99853067929166,2
101,6,53.46534653465347,85.0,22.884180117878092,1390.9687952565469,865.6198971068536,303.3932650891377,2
121,6,57.02479338842975,91.66666666666666,23.20775589153555,1662.3474821576356,1035.6517753963533,368.1521502634419,2
161,6,50.31055900621118,78.125,21.59725303883058,2155.204323570155,1357.68173298689,483.43064531659877,2
201,6,39.800995024875625,85.0,20.550190220184444,2652.414220587445,1685.1465101731774,612.7883091569264,2
41,7,73.17073170731707,100.0,25.851254818581445,592.1040663180095,375.6983463017101,136.35726786780214,2
61,7,70.49180327868852,100.0,25.169993014474734,875.9989164919498,551.1297074618416,196.64088012082203,2
81,7,60.49382716049383,87.5,23.552822558694082,1143.259642423271,719.5796097533206,267.390267012565,2
101,7,47.524752475247524,90.0,22.472469589869448,1399.3385726048984,893.0181337078375,325.09074976353196,2
121,7,48.760330578512395,95.83333333333334,22.037282067762863,1657.166001372591,1047.6951826442394,381.48378428133174,2
161,7,50.31055900621118,93.75,21.752689065615506,2132.415371566951,1341.5603980618616,485.5921288701654,2
201,7,38.308457711442784,80.0,20.369805277498703,2645.2272877449363,1687.7101892501796,618.9394194492912,2
