,beta,q*,крупный,мелкий,средний
анафора,-0.026548760542103922,0.05833333333333332,-24.35807215486785,-24.02057678300527,-22.796339682557175
беднее словарь,-0.021545262392794085,0.028333333333333377,0.0,0.0,-6.172844833669122
без синонимов,-0.028024677787390095,0.04416666666666663,0.0,-6.456430977104646,-10.095581929474386
богаче словарь,0.038714165156884583,-0.05749999999999997,0.0,9.1939978042637,12.886571434146049
каждое предложение о своём,0.07492423490153688,-0.10999999999999993,6.498626448010122,19.279853804663546,25.517478515219388
меньше мыслей,-0.09570061589828127,0.13333333333333336,-31.381639535622735,-14.710346894732105,-47.02643201852519
ни одного слова дважды,0.03456886357451794,-0.05500000000000005,0.0,6.188747726309645,11.167450999499383
одна тема,-0.015551197290494811,0.030000000000000027,0.0,0.0,-7.298054237008676
перемешивание,0.000946097769339127,-0.004999999999999949,-10.913534178749607,36.5160236037112,0.0
поле: значение,0.004261209007408229,-0.006666666666666654,-21.858748679171303,-25.614428265775413,-19.24170783139497
редкие синонимы,0.008770731643277796,-0.016666666666666607,3.1733498414005137,3.180878264776755,2.130939231576103
тема вписана,0.01841290307342003,-0.027499999999999997,0.0,5.090671041881559,6.401518948091798
термин в той же обёртке,-0.02000038138912491,0.02749999999999997,-2.398106868515195,-9.702101879820749,-6.0618880732872835
художественный стиль,0.05152161594147181,-0.09166666666666665,13.020774712366762,16.650119464268297,25.731586779835258
чужие хапаксы,0.006769737523812769,-0.010000000000000009,-17.201896379074565,13.029212032790904,-9.99976066544416
без пунктуации,0.006249078643222827,-0.020000000000000018,9.029740740307584,19.536539885093536,10.60503663965484
без служебных,0.034768509420701754,-0.05166666666666661,-10.49618450284792,9.333463586786378,0.0
все слова разные,0.06823461942921161,-0.09916666666666665,-14.039901250845926,31.92440509596875,7.777078767185837
маркер каждые 3,0.006204003403659342,0.09416666666666659,0.0,71.16764481381064,-17.001312435855414
словарь к 25,-0.1934771466950712,0.24833333333333338,-31.20598230969861,41.20374093847416,-50.80177533905614
словарь к 60,-0.12016741944301668,0.14500000000000002,-16.452275872174408,19.663673342030492,-34.21754275706482
хапаксы одного домена,0.003755895874197779,-0.007499999999999951,-17.272963114137866,11.973597896903222,-10.040452243736484
эхо x2,-0.10166533189134291,0.11333333333333326,3.562116582070976,-39.52853474978989,-24.376459468723933
эхо x4,-0.26021448262742786,0.24749999999999994,-8.022638142962816,-57.009027579832065,-59.72038799890248
эхо на четверти,-0.03439145121595666,0.04666666666666669,0.0,-19.080500218263357,-9.890978109085454
