mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q0.5_range,0.0,5.147643601617053,0.3227742870357672,0.8057363567893734,3.1190434807276537,0.9988585627059064,0.013916216828142283,0.019903620383523446,0.012180973234934795,7,41,201,xsum,0
q0.5_range,0.05,5.864854938122453,0.36746777140330944,0.8294927989608324,3.0953252623298484,0.9991713061233163,0.012205171999098463,0.017404533619434837,0.010683282337778901,7,41,201,xsum,0
q0.5_range,0.1,6.738430169509865,0.46663701717828177,0.8515974826711401,3.0517862922906898,0.9992723733564103,0.011740887346522575,0.017258918853323202,0.010276890356663668,7,41,201,xsum,0
q0.5_range,0.15,8.021354063162711,0.620705270918584,0.8753327689906617,2.9875302072531538,0.9993930679335301,0.011021209507303807,0.016497177466278323,0.009646950725400408,7,41,201,xsum,0
q0.5_range,0.2,9.689923722400607,0.8058348345441976,0.8968000132252582,2.923729162673757,0.9995422897833082,0.00980493047015408,0.015562645739501058,0.008582332188574201,7,41,201,xsum,0
q0.5_range,0.25,11.552536050908348,0.8544252968229461,0.9134389197667665,2.87483507471146,0.9997544481607886,0.0073140618909215286,0.011981088245911486,0.006402055474718046,7,41,201,xsum,0
q0.5_range,0.3,13.151950563624823,0.716286045830764,0.9239656509380622,2.8493201152767957,0.9998995784206708,0.004730917264563519,0.007338531307931717,0.00414100881640488,7,41,201,xsum,0
q0.5_range,0.35,14.029200588158242,0.5872251482909384,0.9287201010694737,2.8479283161937508,0.9999483993115009,0.0034086153438631283,0.005412967031010574,0.002983587621875786,7,41,201,xsum,0
q0.5_range,0.4,14.21812241978926,0.5143215265534761,0.9296672253568329,2.864555313964149,0.9999625545454188,0.002906627654478619,0.0043955359733320876,0.0025441938782906812,7,41,201,xsum,0
q0.5_range,0.45,14.128259948306852,0.4441307508639166,0.9292198753661918,2.8912047176134323,0.9999713326497,0.0025419832705846144,0.0034874992156952445,0.0022250178022539947,7,41,201,xsum,0
q0.5_range,0.5,14.422010939018005,0.38138769415757884,0.9306615419840966,2.9184795863508195,0.9999805907788335,0.0020948562781088007,0.0031607776188167236,0.0018336440549758819,7,41,201,xsum,0
q_large,0.0,8.311318955884586,0.38402439144116923,0.8796821533010739,3.676988162410391,0.9998003498922725,0.00635123393251454,0.008894396942570104,0.005559284645832645,7,41,201,xsum,0
q_large,0.05,7.996967987516933,0.3896192180952417,0.8749526068428716,3.623937635185053,0.999757632164363,0.006960314337049439,0.009666629607861132,0.006092417479072157,7,41,201,xsum,0
q_large,0.1,7.793411793677619,0.3870882262575285,0.8716864928385734,3.5659836121589925,0.9997327961341993,0.007281048284170509,0.00996019340927301,0.006373158406988432,7,41,201,xsum,0
q_large,0.15,7.58142506306857,0.3794781863622365,0.8680986764782119,3.507984598789415,0.9997108811010614,0.007542656343171607,0.010269715911681132,0.006602145983431722,7,41,201,xsum,0
q_large,0.2,7.318386500632823,0.3737355293236204,0.8633578590152994,3.4520827334466917,0.9996734769190377,0.007972102986861612,0.010823030389167876,0.006978043983385408,7,41,201,xsum,0
q_large,0.25,7.018472498375594,0.3695191656112592,0.857518854675081,3.3969388892972003,0.9996175100479441,0.008570200089095524,0.011631151599399203,0.007501563046373154,7,41,201,xsum,0
q_large,0.3,6.69411484672483,0.364994083299825,0.8506150517436579,3.341488916920471,0.9995417485700737,0.009305478378132611,0.012868596351883532,0.00814515787315662,7,41,201,xsum,0
q_large,0.35,6.3457675272329235,0.35751077226207134,0.8424146494953542,3.2855967599572042,0.9994449671332438,0.010142850263781337,0.014193829399012259,0.00887811602210892,7,41,201,xsum,0
q_large,0.4,5.973869421717538,0.3496707018137083,0.8326043089652114,3.229310935726484,0.9993080293701874,0.011194043550754788,0.015756122505032444,0.009798233712965284,7,41,201,xsum,0
q_large,0.45,5.572275553989939,0.3389985069205401,0.8205401024570714,3.173849319942775,0.9991155946681868,0.012473025616390366,0.017677949688863492,0.010917736700153816,7,41,201,xsum,0
