швы,hapax,смысл.,d крупный,d общий
22.5,62.5,27.5,19.837,7.254
25.0,80.0,57.5,14.532,8.211
22.5,40.0,37.5,16.14,6.869
15.0,62.5,55.0,18.081,9.852
15.0,82.5,52.5,15.441,8.165
12.5,77.5,47.5,17.803,8.262
17.5,65.0,67.5,17.267,9.559
22.5,75.0,45.0,21.563,9.246
22.5,52.5,45.0,16.358,6.838
17.5,52.5,47.5,17.249,7.303
22.5,67.5,47.5,15.417,8.636
17.5,62.5,47.5,19.22,7.726
20.0,57.5,52.5,17.093,7.085
40.0,42.5,32.5,17.178,8.75
17.5,65.0,50.0,19.685,8.466
17.5,70.0,55.0,17.278,8.653
20.0,65.0,55.0,16.779,10.579
37.5,75.0,37.5,17.745,8.67
10.0,77.5,60.0,15.58,8.316
25.0,65.0,50.0,14.544,7.567
15.0,62.5,60.0,21.153,7.243
27.5,77.5,42.5,20.456,8.71
17.5,45.0,60.0,18.289,6.5
22.5,75.0,55.0,18.072,8.082
20.0,57.5,40.0,16.482,8.425
35.0,65.0,37.5,15.814,6.037
20.0,67.5,45.0,20.015,7.262
10.0,75.0,45.0,19.174,9.658
37.5,47.5,17.5,15.133,6.22
17.5,67.5,60.0,16.826,9.01
17.5,35.0,45.0,14.742,7.171
22.5,62.5,57.5,15.739,8.733
20.0,57.5,45.0,13.431,6.391
25.0,55.0,42.5,16.319,6.719
22.5,52.5,50.0,17.348,8.543
17.5,75.0,40.0,15.815,9.791
12.5,90.0,62.5,21.061,8.794
20.0,70.0,57.5,16.542,7.521
12.5,80.0,67.5,15.606,8.209
17.5,75.0,50.0,14.324,7.853
17.5,85.0,70.0,22.881,9.707
17.5,70.0,35.0,17.726,9.346
22.5,42.5,45.0,16.828,8.283
42.5,72.5,32.5,16.751,8.774
17.5,57.5,62.5,12.075,7.469
22.5,52.5,50.0,13.15,5.968
5.0,85.0,47.5,23.88,9.338
27.5,75.0,32.5,19.011,7.716
7.5,70.0,47.5,17.388,9.299
25.0,77.5,50.0,13.103,7.398
17.5,57.5,62.5,19.064,8.565
27.5,52.5,57.5,13.821,7.475
17.5,82.5,40.0,19.079,9.236
12.5,77.5,67.5,24.04,9.503
22.5,77.5,52.5,14.19,8.663
10.0,52.5,52.5,20.344,9.32
17.5,77.5,52.5,15.815,8.631
17.5,77.5,40.0,18.838,8.949
25.0,65.0,45.0,16.697,8.344
5.0,85.0,65.0,20.116,9.141
17.5,67.5,45.0,22.533,10.383
17.5,62.5,47.5,15.113,8.206
20.0,60.0,47.5,19.499,8.964
15.0,67.5,55.0,27.396,9.909
25.0,72.5,52.5,15.605,8.183
17.5,72.5,55.0,19.982,7.673
15.0,75.0,52.5,22.475,10.065
10.0,85.0,42.5,19.938,6.943
35.0,52.5,27.5,14.445,7.195
15.0,85.0,50.0,17.616,8.647
7.5,67.5,57.5,19.986,8.864
22.5,47.5,47.5,22.135,9.197
25.0,72.5,45.0,13.884,8.502
7.5,55.0,55.0,18.57,8.258
10.0,62.5,37.5,17.615,7.721
22.5,72.5,55.0,19.964,8.26
17.5,72.5,52.5,14.89,8.764
22.5,85.0,62.5,17.792,8.856
35.0,37.5,27.5,20.541,9.805
12.5,55.0,40.0,19.83,5.661
22.5,87.5,47.5,21.968,8.123
12.5,62.5,57.5,18.913,10.227
7.5,67.5,65.0,16.309,8.556
27.5,45.0,47.5,21.234,8.295
10.0,55.0,70.0,23.6,8.53
22.5,92.5,45.0,19.529,9.987
17.5,45.0,50.0,18.07,8.183
17.5,55.0,52.5,16.241,8.249
20.0,67.5,55.0,13.364,8.976
17.5,70.0,55.0,23.08,7.965
7.5,57.5,52.5,14.364,6.152
