perturbation,n,оценки,крупный,мелкий,средний,макс |сдвиг|
add_typos,30,7.05,0.24,4.39,3.27,4.39
burst_alternate,30,6.82,4.11,5.85,0.94,5.85
burst_flatten,30,6.79,3.71,6.94,0.44,6.94
capitalize_terms,30,7.43,5.39,7.15,9.36,9.36
collapse_vocab_60,30,2.79,-17.83,21.91,-36.36,36.36
commonize_types,30,2.01,-23.29,13.34,-10.16,23.29
context_locked,30,7.17,-3.14,-15.17,-8.35,15.17
drop_function_words,30,5.76,-9.95,10.47,2.91,10.47
echo_p25,30,4.89,-0.38,-16.08,-7.35,16.08
expand_vocab_100,30,2.04,-19.99,31.45,4.32,31.45
expand_vocab_50,30,2.93,-17.26,21.57,-0.23,21.57
hapax_swap_local,30,2.91,-16.46,12.89,-10.92,16.46
hapax_swap_wide,30,2.8,-18.12,13.28,-12.94,18.12
hapax_swap_wide_50,30,3.23,-10.04,8.74,-6.11,10.04
ideas_up_v2,30,7.93,4.48,9.12,15.4,15.4
lexical_diversity_up_hard,30,7.59,6.74,8.32,18.98,18.98
lexical_diversity_up_s,30,7.52,8.32,14.29,19.66,19.66
literary_echo50,30,4.91,13.02,-26.03,5.19,26.03
loop_tail_drift,30,3.32,-32.83,-50.81,-51.1,51.1
loop_tail_early,30,3.08,-53.58,-15.67,-80.32,80.32
loop_tail_mid,30,3.85,-29.75,-44.12,-68.36,68.36
lowercase,30,7.35,1.21,2.25,-0.38,2.25
ngram_2,30,1.75,-2.52,38.49,28.34,38.49
ngram_3,30,2.17,1.2,28.04,32.22,32.22
rarify_types_50,30,3.04,-14.31,14.7,-10.37,14.7
shuffle_words,30,1.7,-14.89,33.56,-4.95,33.56
strip_digits,30,7.19,-0.44,0.73,0.03,0.73
strip_punctuation,30,7.06,4.29,16.99,10.69,16.99
style_anaphora,30,6.93,-21.62,-21.74,-19.94,21.74
style_dialogue_interjections,30,7.98,-20.08,-8.27,-18.24,20.08
style_literary_apiyi,30,8.36,11.4,14.8,28.07,28.07
style_news_dates_suffixes,30,7.33,4.84,11.92,9.29,11.92
style_news_telegraphic,30,7.34,-12.23,0.74,-4.91,12.23
style_scientific_terms,30,7.24,5.81,-0.31,8.29,8.29
style_simplified,29,7.35,-11.3,-4.12,-17.57,17.57
syn_max,30,7.43,-0.08,7.94,10.69,10.69
syn_none,30,7.0,-3.54,-5.02,-10.66,10.66
topics_down_more,30,7.2,-1.8,1.34,-16.03,16.03
topics_down_v2,30,7.72,-0.22,-3.59,-3.92,3.92
words_common_s,30,7.28,-0.18,2.47,-2.88,2.88
