признак,вид,крупный общая,крупный внутри,мелкий общая,мелкий внутри,средний общая,средний внутри
уместность слов,оценка,0.402,0.022,-0.293,0.007,0.18,0.028
уместность слов,сдвиг,0.448,0.201,-0.281,-0.075,0.239,0.186
связность изложения,оценка,0.4,0.017,-0.244,-0.105,0.2,-0.007
связность изложения,сдвиг,0.398,0.028,-0.187,0.031,0.224,0.006
тематический разброс,оценка,0.13,0.007,0.234,-0.052,0.376,0.07
тематический разброс,сдвиг,0.199,0.201,0.256,0.024,0.393,0.188
скорость подачи нового,оценка,0.213,0.053,0.271,-0.095,0.443,0.024
скорость подачи нового,сдвиг,0.223,0.062,0.304,0.041,0.463,0.076
грамотность,оценка,0.397,0.058,-0.233,-0.027,0.226,0.067
грамотность,сдвиг,0.4,0.16,-0.195,-0.024,0.262,0.203
жёсткость формы,оценка,-0.09,-0.051,-0.212,0.095,-0.224,-0.123
жёсткость формы,сдвиг,-0.093,-0.082,-0.311,-0.164,-0.187,-0.052
пунктуация,оценка,0.313,0.008,-0.25,-0.041,0.146,0.016
пунктуация,сдвиг,0.332,0.127,-0.237,-0.067,0.19,0.166
синтаксическая сложность,оценка,0.273,-0.061,0.098,-0.068,0.326,-0.004
синтаксическая сложность,сдвиг,0.394,0.101,0.158,0.051,0.432,0.179
смысловая сложность,оценка,0.063,-0.108,-0.011,-0.146,0.144,-0.1
смысловая сложность,сдвиг,0.312,0.154,0.131,0.018,0.361,0.141
естественность как текста,оценка,0.429,0.016,-0.218,-0.038,0.222,0.03
естественность как текста,сдвиг,0.434,0.079,-0.181,0.0,0.261,0.164
