text_id,base_integration,base_coherence,base_domains,base_novelty,base_literacy,base_template,base_punctuation,base_syntax_complexity,base_semantic_complexity,base_naturalness
bb048a1e-39f8-4c80-9db0-70176b1cc508,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,6.0,8.0
60e5cc06-240c-4ed3-80bd-353d0ba88cb2,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,7.0,8.0
b21c6524-7e1a-4589-933c-d0152005962d,8.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0
108b67b9-1113-4b28-81da-e218ced4ceb9,9.0,8.0,6.0,7.0,9.0,7.0,9.0,7.0,7.0,9.0
669f87a1-c0ae-4677-a33d-a44341fab6e4,8.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,5.0,8.0
bd4df89c-701f-407b-9fc6-2c51aa5be36c,8.0,7.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0
c0381ae0-3b9c-40a4-bc53-f4a76564adb9,8.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0
040c1d28-4583-4101-87e6-0631f517d0b5,8.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,4.0,8.0
0c653e8b-8157-47f3-bdaa-142023fb5739,9.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0
31049c2c-a6a8-44a9-acaa-b8e3b1237658,8.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,8.0
17ad7e76-2fa1-4c9b-a42b-44a53287fb2e,8.0,7.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0
78c59284-8d42-44bc-9994-350a50f2de49,8.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0
fedf3b3b-fd89-4a69-bc59-0ff4e485de6a,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0
203e204e-a867-4d1d-97e8-bdd789e6fc2b,8.0,8.0,7.0,7.0,9.0,5.0,8.0,7.0,6.0,8.0
49a2d576-81e8-4b16-889d-beb4a986f322,8.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,5.0,7.0
9600c031-1ba2-4882-9aa0-8cb6b07d966a,8.0,7.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0
1d5a005f-1162-4f21-a546-b8229951a6c2,8.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,7.0,7.0
7a09dbe7-814b-4d82-b5b3-a15b926a87fa,7.0,8.0,6.0,7.0,6.0,5.0,7.0,7.0,6.0,7.0
5fe97409-ffd6-4931-b20b-8449a9edaab3,8.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0,5.0,7.0
37e384a6-d2b8-444e-ac7f-d4288c173442,8.0,6.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,8.0
4622a5f2-c96d-4ea1-9629-b734e9768fd2,9.0,9.0,5.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0
ef4cca12-c45c-4b1b-9c67-8db766ad0259,8.0,7.0,6.0,7.0,8.0,5.0,7.0,7.0,7.0,8.0
724b2f69-4d19-4d08-9bbd-53e0153760b2,8.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,5.0,7.0
6c998ea5-d795-44ca-8a25-22424b17cd7f,6.0,6.0,5.0,7.0,5.0,5.0,4.0,6.0,5.0,6.0
33c5609d-3402-4e52-abb9-f74944f2418e,,,,,,,,,,
9be05dd7-05a8-4b0e-a617-ae611f4d915d,9.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0
ef2146c2-c9fe-4563-b26a-b39f1bb94bdd,8.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,5.0,8.0
7876816d-0ac2-4404-b2bf-deeaa0b7ea1d,9.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,8.0,8.0
8986a229-067f-4f9d-8d01-514889d3d128,8.0,7.0,6.0,7.0,6.0,5.0,6.0,7.0,5.0,7.0
dc12cc52-6173-4721-b8be-42699b3cf392,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
b53fdf6a-f822-4baa-8af9-8f0d42fe78ea,9.0,8.0,5.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0
564547e8-c996-4ee6-8beb-abfe80624a51,8.0,8.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0
a1534ce8-2639-4c7c-b509-3d430b55cf97,8.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,5.0,7.0
d8e4451f-f606-413a-a2c5-5f2b5e9c789f,8.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,8.0
745b25d5-34c6-4c43-a690-6414f20591ce,9.0,8.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0
6d5e183d-832b-4aa4-a6e2-563f242380e3,8.0,8.0,7.0,7.0,9.0,6.0,8.0,7.0,5.0,8.0
1770be09-c92d-43e3-ab15-7b7318ca2f96,8.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0
c5dd6ecd-4882-4b86-be71-efecfae71001,6.0,7.0,7.0,7.0,5.0,5.0,6.0,6.0,5.0,7.0
049da962-b4ab-4271-80d7-6c08dd7157b9,8.0,8.0,7.0,7.0,9.0,5.0,8.0,8.0,8.0,8.0
28a6b262-a893-4fcb-a538-fc9aa5adc135,9.0,9.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0
794e6ae3-4244-4f1a-902e-9f1eb5845396,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0
772c8684-83a7-4b50-8a32-d059bec2d49f,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,7.0,9.0
97ce3bac-5618-4fcb-8600-bcf08ed8dc09,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,6.0,8.0
f4961832-eeb4-41fc-8a64-82c3010783ae,8.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,7.0,8.0
6ec72689-8b99-420d-9182-0a2fa5a40cbc,9.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,7.0,8.0
ae050f0f-463e-4780-8638-108ef778c14e,8.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
a098aa01-9d81-40a6-8321-ca3d4a8803ee,9.0,8.0,7.0,7.0,7.0,5.0,8.0,8.0,8.0,8.0
4b504a77-e4f6-447f-996a-b39d54b5c54c,8.0,8.0,7.0,7.0,9.0,5.0,8.0,7.0,7.0,8.0
a3c20aed-e22b-4f5a-ac3a-784b5d941b8f,9.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,8.0,8.0
cbaa1dc4-0458-47d8-b3a6-f6f1b4b4c270,8.0,8.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,8.0
f249dac3-f3a2-4db9-9758-e18c9f8ff33e,7.0,8.0,5.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0
65648d18-be4d-475d-bcab-2fbcdb8ade2d,8.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,7.0
b27b582c-94a8-4076-8b94-e286cb9f2ca1,8.0,8.0,5.0,7.0,7.0,5.0,8.0,6.0,5.0,8.0
6b54ef51-f42e-4ac2-840e-6b536faab7cf,8.0,7.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,7.0
60c879b9-6ebb-4551-8f22-52c6a144770b,9.0,9.0,6.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0
be76162e-6297-4c2c-be8b-8be691cc5a5e,8.0,8.0,6.0,7.0,8.0,5.0,8.0,7.0,5.0,8.0
07106895-c293-4117-be28-f75985334b33,8.0,8.0,7.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0
efafda31-a3f3-48d6-9d8f-b2b5d4b1143b,9.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0
7a28bc6c-3b1e-4ac2-a169-10374ef5da58,8.0,8.0,6.0,7.0,8.0,5.0,8.0,7.0,5.0,8.0
7426cf8e-20e5-4e81-bfbb-380b1547f405,8.0,8.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,8.0
ab8e7c37-fe1e-4b22-8440-e3a25a67f527,8.0,8.0,6.0,7.0,8.0,5.0,8.0,8.0,7.0,8.0
8c3cf713-de3f-4e3d-9e94-ba8bcf48962d,8.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0
9e189795-5152-41d4-9713-20ef5189d721,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,6.0,8.0
aa7ddd1b-2f96-496d-ba44-143371216bbe,8.0,8.0,6.0,7.0,7.0,5.0,7.0,6.0,5.0,8.0
79eb7194-07a0-4dd2-a0b2-7911976fc4b5,8.0,8.0,7.0,7.0,8.0,5.0,8.0,8.0,7.0,8.0
59aec439-babf-4d21-b03b-4f331a96f0bf,8.0,8.0,6.0,7.0,8.0,5.0,8.0,7.0,7.0,8.0
8df379b4-a387-496d-947d-b224f86ba11c,8.0,7.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0
5293d27b-2991-4ca1-93ab-e336d0ebeefc,9.0,8.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,9.0
8e0f7cff-07ca-48c6-b381-34b577d189e0,8.0,8.0,7.0,7.0,8.0,5.0,8.0,7.0,7.0,8.0
6ea6d618-d59e-455d-a265-490e14187344,8.0,8.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,8.0
f2d66835-0de6-4a50-b3da-a170f0608965,8.0,8.0,5.0,7.0,6.0,5.0,5.0,7.0,6.0,7.0
df393828-70be-448f-bbdb-11367e15a5fb,8.0,7.0,7.0,6.0,7.0,5.0,8.0,7.0,6.0,8.0
c986a4de-fede-44ef-b275-ef7634245f1b,6.0,6.0,5.0,5.0,5.0,7.0,4.0,6.0,5.0,6.0
2e921a31-8ffa-4c78-8c4d-ef7e72432bc8,8.0,8.0,7.0,7.0,9.0,5.0,8.0,7.0,7.0,8.0
3dd39352-d471-4ab9-bd50-b7345fc1d97c,8.0,8.0,7.0,7.0,9.0,5.0,8.0,7.0,7.0,8.0
1eb5e451-a672-4645-8dea-c413ad11c953,7.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,6.0,6.0
4e7728dc-010d-47cb-95f2-16525a713ce3,8.0,8.0,5.0,7.0,7.0,6.0,8.0,7.0,7.0,8.0
a9b058a8-5ce8-448f-820a-6ffba6409219,8.0,8.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0
b53b4239-d0ed-4e79-b84e-c3496abd88eb,6.0,6.0,5.0,7.0,5.0,5.0,4.0,6.0,5.0,6.0
4979d6d3-5de1-40a4-9a75-cfd7fc6085a9,8.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0
dc1c93ce-9792-4a14-bd29-c025f2613860,8.0,8.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,8.0
23d0bd02-f2a0-4752-971c-cac75280ef8f,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0
