токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
for,подслово,39.39378,7.224753405767971,2,27.565577079245173,1.4257861619606294,False,False,True,True,0
strong,подслово,36.902523,9.410501846898468,1,26.851601925632888,1.388856918974798,True,True,True,True,0
/,пункт,37.50509,5.19295685089021,1,22.000572255550892,1.1379450314790351,True,False,True,True,0
stable,подслово,37.5048,9.008468955937513,1,25.263026126887592,1.3066903318373224,True,False,True,True,0
Ġat,служ,38.777767,3.4339872044851463,1,16.883575474484385,0.873276413068907,True,False,False,False,0
Ġagainst,служ,37.820957,5.4638318050256105,1,27.104247046943602,1.4019245909054865,True,True,False,True,0
ary,подслово,36.191933,7.664346632098617,4,24.420750780478986,1.2631249629710135,False,False,False,False,0
Ġlinks,смысл-редк,35.98496,7.149916836132109,1,23.81490037101473,1.2317883024850371,True,False,False,True,0
ĠV,смысл-част,36.466557,5.54907608489522,1,7.449820713263789,0.3853302708491686,True,False,False,False,0
Ġshow,смысл-част,36.716152,5.53338948872752,1,19.10067425923629,0.9879523640896848,True,False,False,True,0
Ġadversary,смысл-редк,35.567654,8.846640813100485,2,24.03830305045835,1.2433434550573903,False,False,False,False,0
d,подслово,36.369205,5.5909869805108565,1,11.392766646938226,0.5892729539074798,True,False,False,False,0
Ġwhich,служ,39.1648,3.9889840465642745,1,25.993874295756502,1.3444923050255468,True,True,False,True,0
Ġcommunication,смысл-редк,36.250786,7.931284761525891,1,26.267774386368995,1.3586593568464604,True,True,True,True,0
Ċ,пункт,39.437973,2.1972245773362196,1,10.34336419297312,0.5349942608516569,True,False,False,False,0
1,пункт,36.465183,4.976733742420574,1,27.196321303998563,1.4066869871798098,True,True,False,True,0
J,подслово,35.77639,7.348587530927593,3,26.188516439384436,1.354559864072878,False,False,False,False,0
k,подслово,35.00048,5.950642552587727,2,14.837099529015427,0.7674256603185919,False,False,False,False,0
k,подслово,35.563267,5.950642552587727,3,26.18001220655906,1.3541199959922767,False,False,False,False,0
ability,подслово,36.78151,7.151485463904735,3,26.971632149131143,1.3950652936875374,False,False,True,True,0
",",пункт,40.507744,0.6931471805599453,1,12.176230276126207,0.62979637910857,True,False,False,False,0
Ġdetermined,смысл-редк,37.104977,8.00202481821611,1,25.592487884909165,1.3237312236035994,True,False,True,True,0
Ġgrace,смысл-редк,37.502724,8.708144074908246,1,28.317152202958805,1.4646602043209314,True,True,True,True,0
ĠWe,служ,37.353275,4.844187086458591,2,8.066432937067873,0.4172235692723521,False,False,False,False,0
Ġthe,служ,37.95744,0.0,1,11.55225799766342,0.5975223934226643,True,False,False,False,0
Ġnumber,смысл-част,36.02863,5.3230099791384085,1,25.425848024975,1.315112038681689,True,False,True,True,0
Ġcausal,смысл-редк,37.012787,9.19309247856663,1,22.866334168791496,1.182725206111418,True,False,True,True,0
cons,подслово,37.121613,9.009080614161977,1,29.947975024493786,1.5490119523314916,True,True,True,True,0
Ċ,пункт,39.536896,2.1972245773362196,5,27.06891809881425,1.40009725657417,False,False,False,False,0
:,пункт,40.34322,3.7376696182833684,1,23.202118102190813,1.2000931024653791,True,False,False,True,0
have,подслово,39.224503,8.847072312567807,1,27.565577079245173,1.4257861619606294,True,True,True,True,0
Ġdistributed,смысл-редк,36.45017,8.386172928977834,5,24.055589297614734,1.244237559030507,False,False,True,True,0
Ċ,пункт,39.510033,2.1972245773362196,1,6.219552677019438,0.3216965897353283,True,False,False,False,0
.,пункт,41.480904,1.0986122886681098,4,23.716061733422034,1.2266760292559449,False,False,False,False,0
We,подслово,37.879757,6.035481432524756,1,15.534824385476313,0.8035143822175763,True,False,True,True,0
Ġmost,служ,38.4842,4.852030263919617,1,27.436610477558762,1.4191155671274083,True,True,False,True,0
Ġ(,пункт,38.58302,2.995732273553991,3,25.944353819312557,1.3419309361906229,False,False,False,False,0
$-,пункт,37.523983,8.589699882202986,2,28.27520712137157,1.4624906608821175,False,False,False,False,0
),пункт,40.509647,3.4011973816621555,3,17.847637970744113,0.9231410309029836,False,False,False,False,0
Ġwe,служ,37.535686,4.060443010546419,2,24.91202735973376,1.2885354721137443,False,False,False,True,0
Ġunder,служ,37.586754,5.572154032177765,1,26.24405748917773,1.3574326376044603,True,True,False,True,0
Ġthe,служ,39.631527,0.0,2,15.132194620457703,0.7826889902547423,False,False,False,False,0
uniform,подслово,36.6813,9.410911062438,1,24.190076921652235,1.251193720069922,True,False,True,True,0
Ġthe,сток,26.12921,0.0,2,33.461466142537205,1.7307417598329518,False,False,False,False,0
Ġis,служ,39.67371,2.302585092994046,2,19.998218709042117,1.0343764404875353,False,False,False,False,0
Ġcorrectly,смысл-редк,37.51033,8.214735833382303,2,27.778867338414063,1.436818265483431,False,False,True,True,0
Ġwith,служ,39.45573,2.9444389791664403,5,27.03086128394347,1.3981288276218187,False,False,False,False,0
",",пункт,40.382904,0.6931471805599453,1,12.072936242738717,0.6244536575325407,True,False,False,False,0
Ċ,пункт,39.16424,2.1972245773362196,1,8.816262929341791,0.4560073474509758,True,False,False,False,0
(,пункт,38.158173,5.365976015021851,3,24.139652719128538,1.2485856074235038,False,False,False,False,0
),пункт,41.40094,3.4011973816621555,2,23.23287577736363,1.20168399488564,False,False,False,False,0
Ċ,пункт,39.09402,2.1972245773362196,1,7.469005382162232,0.38632256770399453,True,False,False,False,0
Ġdynamic,смысл-редк,34.99153,8.133587417660966,3,22.666665374817843,1.1723976514730878,False,False,False,False,0
Ġdegrad,смысл-редк,35.949734,9.410747396316522,2,27.896235333790056,1.4428889406295773,False,False,True,True,0
Ġnot,служ,39.99465,3.4965075614664802,1,26.454008308883054,1.3682920138681092,True,True,False,True,0
ens,подслово,38.416843,7.150701457592526,1,27.45191961938677,1.419907408433945,True,True,True,True,0
