bin,длина/средняя,"черешок, %","хотя бы 1 hapax, %","оба hapax, %","хотя бы 1 одиночка, %"
0,0.271,49.028,0.0,0.0,0.0
1,0.483,49.667,0.056,0.028,0.056
2,0.57,46.333,0.139,0.056,0.167
3,0.643,47.5,0.861,0.333,1.028
4,0.716,47.278,2.417,0.722,3.389
5,0.795,48.222,8.028,3.333,11.639
6,0.885,46.25,21.611,9.972,29.056
7,0.972,38.139,40.111,19.417,52.444
8,1.04,33.806,53.444,26.5,67.917
9,1.09,29.833,60.556,32.611,76.222
10,1.126,28.278,66.0,33.361,81.694
11,1.153,29.75,65.778,33.111,82.222
12,1.176,32.028,64.806,32.806,82.472
13,1.198,35.639,68.028,35.083,83.222
14,1.22,41.639,65.778,33.667,84.139
15,1.244,48.389,67.083,34.028,85.861
16,1.272,53.917,67.417,34.278,86.472
17,1.306,58.667,67.167,33.111,86.972
18,1.356,65.25,68.944,35.167,89.417
19,1.483,64.111,61.333,29.306,83.722
