текст,условие,граница (p80 всех рёбер),медиана всех рёбер,длинные p0,длинные p10,длинные p25,длинные p50,длинные p75,длинные p90,длинные p100,размах p100/p0,верх p100/p50,низ p50/p0,CV длинного конца,средняя длина длинных,"подставленных в выборке, %",подст.–подст.: доля,подст.–подст.: длина,подст.–подст.: CV,подст.–родной: доля,подст.–родной: длина,подст.–родной: CV,родной–родной: доля,родной–родной: длина,родной–родной: CV,оба одиночки: доля,оба одиночки: длина,оба одиночки: CV,один одиночка: доля,один одиночка: длина,один одиночка: CV,без одиночек: доля,без одиночек: длина,без одиночек: CV,CV без верхних 0,дисперсия без верхних 0,CV без верхних 1,дисперсия без верхних 1,CV без верхних 2,дисперсия без верхних 2,CV без верхних 3,дисперсия без верхних 3,CV без верхних 5,дисперсия без верхних 5,CV без верхних 10,дисперсия без верхних 10,хвост: длина,"хвост: подставленных концов, %","хвост: одиночек, %","хвост: стоков, %",хвост: разрыв норм,хвост: меньшая сторона,"длинные: стоков, %",длинные: разрыв норм,одиночки: межгрупповая доля дисперсии,одиночки: дисперсия всего,подст.: межгрупповая доля дисперсии,подст.: дисперсия всего
0,исходный,0.7599115411297384,0.6746774721159507,0.7604976853517268,0.7639787345234424,0.7704815468105335,0.8003156492262476,0.8425058174034128,0.8693364768184397,0.9873842418666505,1.2983395753663467,1.2337435146010982,1.0523577712877656,0.06069806301499431,0.8110059625407386,0.0,0.0,,,0.0,,,100.0,0.8110059625407386,0.06069806301499431,70.0,0.8130240090527544,0.06881722766338845,20.0,0.8106594196260373,0.02517010260877995,10.0,0.7975727227860302,0.044817734249628156,0.06069806301499431,0.0024232474181257848,0.05062971607733611,0.001667254487545987,0.04733940410068595,0.0014482237151393145,0.043760726210237896,0.0012295327083290547,0.03984443744191767,0.0010092553985132718,0.02946660911114599,0.0005389127262979985,0.9068053483008764,0.0,100.0,0.0,1.812587022781372,1.0,0.0,1.2827634811401367,0.00863303081636432,0.0024232474181257848,,
0,чужие хапаксы,0.73555741549716,0.6318974400104619,0.739751053261553,0.7454962507744751,0.7497798166714738,0.7712214187632525,0.7969338824187188,0.8302283707453271,0.8433845910002643,1.1400924504017835,1.0935699793617433,1.0425418326380842,0.04085058919768939,0.7786758847594341,29.850746268656714,22.5,0.7733986799759147,0.03360659343418556,30.0,0.781183201353476,0.03888266273285199,47.5,0.7795920449659167,0.044610022886570636,40.0,0.773465464192742,0.03612315714336193,40.0,0.7862795150388655,0.04363913925187109,20.0,0.7738894653339552,0.03983481914405058,0.04085058919768939,0.0010118359362308216,0.03919807750299853,0.0009276629809241282,0.03758209053922153,0.0008491903105336222,0.035692651558220094,0.0007625999804391607,0.03167836326716771,0.000595487389903002,0.02386547501573503,0.0003319523759489074,0.837137574635325,40.0,40.0,0.0,0.9951858520507812,5.0,0.0,0.9971355199813843,0.038116290562109544,0.0010118359362308207,0.0084506608157958,0.0010118359362308216
0,перемешивание,0.7596168191544114,0.6684607232137914,0.7609653130392241,0.7661599835155563,0.7740739270537458,0.7905750198299109,0.8254152554132341,0.8465506620356168,0.9416555503495374,1.2374487170626127,1.1911020797901393,1.0389107181146384,0.04653423958490793,0.8015555624437708,0.0,0.0,,,0.0,,,100.0,0.8015555624437708,0.04653423958490793,45.0,0.800536370116142,0.05684643047464447,37.5,0.8121071059289572,0.03594317305122612,17.5,0.7815658923894163,0.016093864129940738,0.04653423958490795,0.0013912734823687306,0.03781979277825009,0.0009107602682757265,0.0353451051254423,0.0007916568737022052,0.033093034820223514,0.000690864429301541,0.02991807152553707,0.0005603586213685047,0.018872172983786406,0.00021857854984627111,0.8738767442055044,0.0,70.0,0.0,1.6311858892440796,1.0,0.0,0.962643027305603,0.0806065813413177,0.0013912734823687306,,
1,исходный,0.7824594538407523,0.710812582235715,0.7826235118425046,0.7873841552451564,0.7963437815166972,0.8092291243228942,0.862978854181998,0.9133853098659938,0.9624901815481944,1.2298252825068285,1.1893914252697446,1.0339954167972196,0.05895351550206779,0.8315353319162284,0.0,0.0,,,0.0,,,100.0,0.8315353319162284,0.05895351550206779,47.5,0.8322642971355753,0.0590197313020253,40.0,0.8248744449826104,0.04993825835298647,12.5,0.8500801022702891,0.07567969366358432,0.05895351550206778,0.002403149726875062,0.054185324064552086,0.0020137716424982674,0.05106092060444257,0.0017764706226330142,0.047251021963781684,0.0015106854862651437,0.040348310483393456,0.0010875363520683804,0.022070776873409293,0.0003163853826459765,0.9309845476181235,0.0,70.0,0.0,1.2528976202011108,1.0,0.0,0.969387412071228,0.025378335373269494,0.002403149726875062,,
1,чужие хапаксы,0.7633477805873299,0.6822010020638843,0.7649065302698067,0.7716500239453467,0.7833428211119339,0.8039952659227809,0.830354323197575,0.8522110938248877,0.8986448452178861,1.1748426894733213,1.1177240505097648,1.0511026303294684,0.041581918951552624,0.8101902040728852,33.33333333333333,22.5,0.8122902458352814,0.04868715706658214,27.500000000000004,0.8102261314934094,0.033284362320644106,50.0,0.8092254251985187,0.04214607757626152,55.00000000000001,0.8141650021623715,0.03788610206835257,35.0,0.7991270848020503,0.035761770092138476,10.0,0.8270497320286327,0.059954354807306834,0.04158191895155262,0.0011349664685087356,0.03831615305037819,0.0009583029252268194,0.03549433249574726,0.0008181642313327563,0.03388032371409947,0.0007424834165131872,0.031070419669291364,0.0006198239725001308,0.02506628552536055,0.00039665782651857897,0.8725259560038573,50.0,70.0,0.0,1.0281593799591064,1.0,0.0,1.1347339153289795,0.07044370404446063,0.0011349664685087364,0.001284657836948769,0.0011349664685087356
1,перемешивание,0.775816182772785,0.6943501418654937,0.7784626155612393,0.7838763107673598,0.7887837561567703,0.8057642608330311,0.8338658404649796,0.8943857811704585,0.9556058158374601,1.2275551795746902,1.1859620267217075,1.0350712349264306,0.05227502135098507,0.8204725548396775,0.0,0.0,,,0.0,,,100.0,0.8204725548396775,0.05227502135098507,55.00000000000001,0.8163716790603991,0.04528557267176964,32.5,0.8189205947142805,0.05209961986143127,12.5,0.8425515045945344,0.0692277990486482,0.05227502135098508,0.0018395709992818324,0.04590333206619957,0.001406502846656058,0.04131064831705325,0.0011312608677135866,0.037688977353006164,0.0009359715118766159,0.02907624710144613,0.0005504091466109315,0.019767592492319176,0.0002497793883704894,0.9156787110585656,0.0,60.0,0.0,1.583275556564331,1.0,0.0,1.0310956239700317,0.0385781476082194,0.0018395709992818313,,
2,исходный,0.7611469357557189,0.6547287325658385,0.7631395276686173,0.7827753507288691,0.7954493997412866,0.819875154343451,0.871261153212144,0.9209048882420214,0.9531303207159616,1.248959444713556,1.1625310459361586,1.0743450242292658,0.0619699598280085,0.8350552029229086,0.0,0.0,,,0.0,,,100.0,0.8350552029229086,0.0619699598280085,50.0,0.8355508016741036,0.06197915830161703,30.0,0.8343967313959473,0.06304084657590399,20.0,0.8348039133353635,0.06029009368400905,0.0619699598280085,0.0026778904215220786,0.05863302648698457,0.002379907771137876,0.05637396134425376,0.0021865215897139564,0.05403596402994629,0.0019965369200749855,0.04826184726163876,0.0015719283192814181,0.03545431728190376,0.000823991145186334,0.9298772661741539,0.0,70.0,0.0,1.114728569984436,2.0,0.0,0.9391372799873352,9.915035203323786e-05,0.002677890421522078,,
2,чужие хапаксы,0.7560255076240013,0.6450272254159306,0.7564200384940262,0.76400250123083,0.7810328540075342,0.8075513743966009,0.8527779149276843,0.9205904561282776,1.060599847286795,1.402130817949201,1.3133527858574583,1.0675964851544297,0.08496954825697703,0.8308734912454163,21.393034825870647,2.5,,,17.5,0.7998465728882047,0.03129167777724546,80.0,0.8394141143738079,0.0900309474923544,25.0,0.8545195549204339,0.10474093507868525,40.0,0.8360740678700505,0.0871685155515765,35.0,0.8080399296208215,0.04787874810682135,0.08496954825697706,0.004984211064739221,0.07397200038235008,0.003724129726884398,0.06535779170165808,0.002872593143753001,0.05737682914472055,0.002189783878652736,0.049462752611469284,0.001602716138572658,0.034756222269739616,0.0007673159586893936,0.9813598249347011,0.0,70.0,0.0,1.6510803699493408,1.0,0.0,0.9895592927932739,0.06682753080845077,0.004984211064739222,,
2,перемешивание,0.7434810846758363,0.6634264986092724,0.7436223432390318,0.7467103734169653,0.7640763476382619,0.7874980213890774,0.8311813172909336,0.8930733673131562,1.1113787185624229,1.494547237138595,1.4112781091208944,1.0590026356106168,0.08993691919179139,0.8109399360023867,0.0,0.0,,,0.0,,,100.0,0.8109399360023867,0.08993691919179139,35.0,0.807565246169428,0.10793638005962185,30.0,0.8101974426763516,0.058423954397665304,35.0,0.8149510486862327,0.09224779030275451,0.08993691919179139,0.005319286596372904,0.06911382296549531,0.0030818860011147023,0.06161424328361875,0.002422843314469531,0.05287077170891873,0.001764559633652387,0.042790458989986284,0.0011377901820065314,0.030562718143149804,0.0005651775021274783,0.969513263746185,0.0,30.0,0.0,0.8638564944267273,3.0,0.0,0.8459511995315552,0.0018390687313872365,0.005319286596372904,,
3,исходный,0.771941119434135,0.6972897387565458,0.7744113027035708,0.7847519284088117,0.7871401153912985,0.802761303447584,0.8499614772362192,0.9049904025390592,0.9933549201880285,1.2827226523167947,1.2374225263747896,1.0366084542478133,0.06564671657621021,0.827220780710532,0.0,0.0,,,0.0,,,100.0,0.827220780710532,0.06564671657621021,72.5,0.822251766646509,0.055490199531850214,15.0,0.8015044057662551,0.03532008660337424,12.5,0.8869007122149976,0.08775103556972412,0.06564671657621021,0.0029489600544387344,0.05825912701803542,0.0022987216258562094,0.051866925957704355,0.0018053139666665925,0.04609412815685388,0.0014139920872492334,0.03635895714397779,0.0008673955370615804,0.02479669816273906,0.0003942825518673958,0.947607557598315,0.0,60.0,0.0,0.9158180356025696,2.0,0.0,0.8618081212043762,0.19068166633832637,0.0029489600544387335,,
