perturbation,ttr,hapax,top1_share,top10_share,word_entropy,zipf_slope,content_ratio,content_ttr,bigram_repeat,trigram_repeat,mean_word_len,long_word_rate,mean_sent_len,sd_sent_len,sent_len_burst,n_sents_per_100w,subordinator_rate,function_rate,connective_rate,hedge_rate,pron12_rate,comma_rate,punct_rate,quote_rate,paren_rate,dash_rate,digit_rate,upper_rate,linebreak_per_100w,bullet_rate,md_heading_rate,question_rate,exclaim_rate
burst_alternate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.123570994819048,2.995039431398508,0.9350311456474005,-1.7355647524804525,0.0,0.0,0.0,0.0,0.0,1.2970505436859916,-0.06186446885132916,0.0,0.002057132497479805,0.008607971606538182,0.0,-0.3643117675516832,-0.2126378457304331,-0.066042853182506,0.0,-0.2360201638010582,-0.1926467656398708
burst_flatten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.826157211654234,0.8166102224934026,-1.5437482818137462,-2.0673638963370093,0.0,0.0,0.0,0.0,0.0,1.534505534591365,-0.06186446885132916,0.0,0.002057132497479805,0.011611530490655497,0.0006356474967699606,-0.427930253319007,-0.2126378457304331,-0.09906427977375898,0.0,-0.18828593680024228,-0.13968429938960494
drop_sentence_boundaries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48436572220865,,,-2.8794597029789326,0.0,0.0,0.0,0.0,0.0,0.015261404032795477,-1.3954877136482673,0.01314068134732072,0.017222691089861512,0.0228255367882597,0.004618036251182012,0.029794232391888446,-0.5122031126714206,-0.15189856231976376,0.0,0.6788858537145801,0.544199973550721
loop_phrase,-6.119429472750116,-3.6502220414621047,2.518399360963814,10.582310581300083,-9.701696548171864,-9.003334929432265,-0.06762726836434334,-6.178946012849509,14.425362846557782,25.38425096127148,0.059354015296635476,0.06464192187509088,4.584122261437891,1.3447528373835547,-0.6957849531994529,0.034804105998939495,-0.4006908406794385,0.06762726836434342,-0.1853644019261619,-0.08638955141634085,0.06279932346338725,0.035351893621956,-0.08423476286895361,-0.03573076698468055,-0.12751732540884017,0.0775243389443571,-0.045500311735209575,0.13688273207216026,-0.5122031126714206,0.07264713850075663,-0.09128709291752768,-0.08030302623045597,-0.15456899864236234
add_punctuation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777394295223447,3.947818264096721,-0.021892752818054577,-0.021762254333660695,-0.021948380380153464,-0.010963459657894602,-0.0395554938646066,-0.5122031126714206,-0.03302142659125299,0.0,-0.0036162293182436297,-0.030110289345044717
strip_punctuation,-0.08161750604878579,-0.08981746245234373,-0.02553759102381404,0.02951058288467118,-0.058195215568073735,-0.08042295564726609,-0.05377590014514064,-0.07229097402553863,0.0668912848244163,0.020034925778430582,-0.14838503824158866,-0.04366164898580696,24.48436572220865,,,-2.8794597029789326,-0.006117417414953249,0.053775900145140526,0.0,-0.021597387854085198,0.0778711610946002,-2.157277019397619,-3.0584382699374717,-0.9448108730914174,-0.8223015698836414,-0.8382241055083925,0.011259553995917815,0.06035231645412123,-0.5122031126714206,-0.21133713018401915,-0.09128709291752768,-0.4493776935774324,-0.31965384490021703
add_digits,-0.014440020300939058,-0.060551098282478934,-0.06286176252015763,-0.121731154399269,0.04216733974170968,0.005657976630863021,0.20858530965387848,-0.1301269744210458,-0.007718225172048047,-0.07870863698669123,-0.005116725456606461,-0.05783750904613391,0.06231163249255842,0.050632261542506656,0.014948286853432476,-0.07656903319766702,-0.04588063061214944,-0.2085853096538784,0.0,-0.026996734817606494,-0.0251197293853549,-0.18076898342164308,-0.2672744373450733,-0.06861508976980062,3.7937412420074716,-0.05770928742276235,4.498759376678832,-0.14899967924640803,-0.5122031126714206,-0.03962571190950359,0.0,-0.008872322906235013,-0.043096148555015916
strip_digits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05109092019111936,0.0009210256117144477,0.07076128240578546,0.0626473907980912,0.0,0.0,0.0,0.0,0.0,0.0152539311564497,0.02276817557135033,0.003817837662735437,0.0058926798236963365,0.011295981502829943,-0.6571386423903648,0.01505107079087302,-0.5122031126714206,-0.052834282546004786,0.0,-0.0006574962396806604,-0.0016360867773692024
capitalize_terms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030785658827824024,0.0028142749009972827,0.0,0.0,0.0026183899305634206,0.0,5.95885735889191,-0.5122031126714206,-0.05943856786425538,0.0,0.0,0.0
lowercase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.878291013212294,0.0,0.039625711909503585,0.0,0.0,0.0
to_numbered_list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023154105853381686,0.7006942729611846,-0.011164014184474963,-0.007469838422924325,-0.00786594883944883,0.5329882730813591,-0.026256820820514372,0.6686724708504186,9.17335230705008,0.0,-0.0036162293182436297,-0.013497715913295908
drop_function_words,1.4327315477351024,1.1105248623643127,-1.1408894098668296,-1.7613912808599357,1.5910420775796053,1.505508858296999,3.6721804352126735,-0.30389528539392574,-0.627187620469847,-0.4064611799162883,1.3764618592887807,0.6338756919806207,-0.5420498295862661,-0.3610770918170019,-0.05544178933388072,0.7110037550681829,-0.3521315238459486,-3.6721804352126735,0.156895754721077,0.2019927626610499,0.2601983481589944,0.2368115826388667,0.3848136733548152,0.09867032586923115,0.08263172851256773,0.14049274630499017,0.06949184634010891,0.2589431139819276,-0.5122031126714206,-0.06552487002029025,0.0,-0.050042079143166905,0.045033635189874584
shuffle_words,0.2856612711707502,0.3264713382396988,-0.0628617625201576,-0.13925306298704251,0.23270833814158204,0.25264910598350576,-0.0008147863658354679,0.2841268158043925,-1.4810416524585515,-0.8801056681239121,-0.03445261807448374,-0.024382479303762347,0.02401747130290387,0.8235775099821049,1.6055409022556735,0.12761505532944503,-0.04282192190467281,0.0008147863658354581,-0.10298022329231216,-0.0323960817811278,0.010047891754141978,0.0026612822274929447,0.13276284654859333,0.10879698345564072,0.02239525435941337,-0.010247168059153999,0.001634692512824363,0.0009874009248190838,-0.5122031126714206,-0.17831570359276616,0.0,0.07996513373771622,0.1076882896283275
shuffle_within_sentences,0.008789577574484736,0.015137774570619744,0.007857720315019707,0.0018444114302919598,0.0024909361895265186,0.00662119224744502,0.020369659145886558,0.00419245671721187,-1.4030018201633985,-0.8629328745995432,-0.0009380663337110897,-0.0017011032072392345,-0.14178779239125586,0.05705612736634238,0.3390338766886426,0.15081779266207138,-0.03058708707476627,-0.02036965914588653,-0.010298022329231217,0.01619804089056389,-0.007535918815606466,-0.01217416657970908,0.04793798560593029,-0.000787146047441628,0.019174668335477558,0.010253134744691018,-0.005401828311344642,-0.024389137342714248,-0.5122031126714206,-0.14529427700151315,0.0,-0.018873462146040222,0.006011630063175161
