вариант,разнообразие словаря,доля однократных слов,энтропия словоупотребления,редкость лексики,повтор триграмм,доля повторов вплотную,разнообразие пунктуации,разброс длин предложений,однотипность зачинов,доля имён собственных
человек (опорный),0.561,0.735,4.647,4.838,0.027,0.362,5.0,0.481,0.1,0.031
человек 1,0.405,0.739,4.258,4.922,0.285,0.502,7.0,0.966,0.111,0.532
человек 2,0.493,0.607,4.58,5.498,0.092,0.209,10.0,0.665,0.167,0.068
loop_local_3,0.209,0.065,3.983,5.296,0.912,0.957,4.0,1.397,0.444,0.038
loop_phrase,0.153,0.652,3.027,5.749,0.796,0.788,4.0,0.187,0.5,0.003
loop_tail_early,0.161,0.83,2.05,6.189,0.81,0.98,3.0,1.197,0.975,0.274
echo_p25,0.476,0.507,4.568,5.028,0.332,0.63,4.0,0.64,0.182,0.034
collapse_vocab_10,0.159,0.362,3.025,4.41,0.197,0.635,5.0,0.481,0.1,0.027
expand_vocab_100,0.677,0.9,4.834,4.894,0.0,0.438,5.0,0.481,0.1,0.031
shuffle_words,0.561,0.735,4.647,4.838,0.007,0.331,5.0,1.407,0.091,0.034
ngram_2,0.737,0.879,5.05,5.054,0.0,0.311,10.0,0.584,0.071,0.151
ngram_4,0.693,0.839,5.006,5.137,0.007,0.432,7.0,0.683,0.091,0.123
marker_p3,0.476,0.779,4.009,5.79,0.027,0.597,4.0,0.393,0.111,0.027
hapax_swap_wide,0.561,0.735,4.647,4.861,0.027,0.362,5.0,0.481,0.1,0.031
inject_topic,0.597,0.791,4.926,5.05,0.022,0.31,5.0,0.477,0.071,0.039
syn_none,0.505,0.677,4.563,4.869,0.076,0.43,5.0,0.476,0.1,0.029
syn_max,0.741,0.82,5.092,6.367,0.0,0.106,5.0,0.459,0.1,0.036
style_literary,0.638,0.801,4.928,5.431,0.013,0.243,5.0,0.377,0.1,0.03
essay_one_topic,0.732,0.795,5.24,6.431,0.0,0.062,5.0,0.412,0.091,0.034
script_events,0.582,0.754,4.862,5.21,0.0,0.19,3.0,0.302,0.154,0.088
style_record_fields,0.598,0.743,4.935,6.433,0.02,0.195,4.0,0.166,0.05,0.132
style_catechism,0.445,0.546,4.523,5.475,0.424,0.426,4.0,0.271,0.5,0.066
style_code,0.489,0.66,4.64,5.345,0.09,0.404,8.0,0.494,0.091,0.038
style_equations,0.524,0.659,4.819,5.895,0.06,0.338,15.0,0.695,0.125,0.084
style_anaphora,0.527,0.758,4.567,4.992,0.115,0.213,3.0,0.269,1.0,0.044
syntax_monotone,0.652,0.773,4.251,5.743,0.015,0.362,1.0,0.247,0.067,0.104
syntax_varied,0.555,0.719,4.744,4.933,0.025,0.322,5.0,0.363,0.048,0.063
syntax_simple,0.508,0.701,4.608,4.894,0.061,0.457,3.0,0.423,0.059,0.102
syntax_complex,0.584,0.757,4.747,4.969,0.026,0.318,4.0,0.261,0.143,0.02
context_locked,0.527,0.685,4.616,4.843,0.116,0.385,5.0,0.502,0.1,0.029
terms_long,0.564,0.737,4.683,4.883,0.033,0.364,5.0,0.511,0.1,0.03
add_punctuation,0.561,0.735,4.647,4.838,0.027,0.362,5.0,0.481,0.1,0.031
strip_punctuation,0.561,0.735,4.647,4.838,0.027,0.362,0.0,,1.0,0.03
add_typos,0.578,0.76,4.675,4.793,0.027,0.376,5.0,0.481,0.1,0.031
lowercase,0.561,0.735,4.647,4.838,0.027,0.362,5.0,0.481,0.1,0.0
ideas_down_v2,0.421,0.442,4.423,5.909,0.071,0.115,2.0,0.184,0.111,0.06
lexdiv_down_more,0.419,0.63,4.295,4.542,0.076,0.347,4.0,0.483,0.167,0.036
literary_echo25,0.594,0.663,4.918,5.399,0.234,0.571,5.0,0.484,0.2,0.032
