модель,n,PC1,PC2,PC2 медиана,PC2 σ,повторных,rep медиана,PC1 без них,PC2 без них
text-davinci-003,28,-53.63,-58.36,-63.46,29.73,5,0.08,-36.51,-61.68
gpt-3.5-turbo,98,-83.78,-49.9,-50.11,39.31,20,0.12,-63.77,-54.36
gemma-7b-it,20,7.68,-46.35,-55.18,62.88,0,0.05,7.68,-46.35
davinci,41,-57.38,-41.86,-40.3,40.18,2,0.09,-54.36,-39.84
cohere,40,-105.92,-40.89,-47.91,44.46,17,0.15,-37.94,-58.98
llama3-8b,23,-99.19,-40.82,-42.69,50.43,2,0.11,-93.78,-39.58
gpt-35,90,-151.65,-39.36,-37.98,40.84,51,0.21,-101.17,-49.28
llama3-70b,30,-61.92,-36.44,-39.07,50.85,6,0.11,-53.79,-33.81
mixtral-8x7b,36,-69.56,-31.29,-23.93,43.55,8,0.13,-56.6,-25.2
gpt4o,32,-36.15,-26.39,-25.94,38.75,1,0.06,-31.38,-27.05
gemma2-9b-it,20,-54.47,-19.25,-20.12,34.68,1,0.03,-47.73,-21.19
gpt4,38,-112.41,-17.37,-14.22,27.78,3,0.1,-104.54,-18.39
text-davinci-002,25,-90.0,-15.48,-13.35,37.67,4,0.11,-63.33,-12.91
dolly,38,-147.04,-12.28,-10.77,36.9,15,0.14,-83.01,-1.37
GLM130B,39,-267.99,-5.59,-11.77,51.6,32,0.47,-87.09,-16.09
65B,43,-153.39,-4.73,-1.69,34.79,17,0.16,-94.38,6.4
30B,22,-173.47,0.29,2.14,28.91,9,0.17,-115.01,3.55
13B,40,-192.31,4.23,5.14,53.65,24,0.23,-115.18,0.52
opt_iml_max_1.3b,20,192.18,5.76,0.18,37.43,1,0.01,213.36,6.28
opt_125m,25,167.84,9.72,15.48,35.94,0,0.0,167.84,9.72
7B,41,-229.84,11.97,11.24,36.87,25,0.3,-148.4,16.58
opt_1.3b,20,266.63,26.37,18.55,34.45,0,0.0,266.63,26.37
opt_350m,20,212.75,29.98,26.9,53.39,0,0.01,212.75,29.98
opt_6.7b,20,294.85,31.46,28.56,51.02,0,0.0,294.85,31.46
opt_2.7b,26,457.33,56.85,37.77,66.33,0,0.0,457.33,56.85
bloom_7b,31,327.02,63.2,73.94,56.3,0,0.0,327.02,63.2
