model,n,ближайшая пертурбация,"cos(модель, ближайшая)","max cos(модель, петля)","max cos(модель, не-петля)",перевес петли,тройка
gpt4o,32,loop_local_1,0.9481507085667196,0.9481507085667196,0.7345354505600715,0.21361525800664805,"loop_local_1 +0.95, loop_local_3 +0.89, loop_tail_word +0.86"
llama3-70b,30,loop_local_1,0.9675859627706661,0.9675859627706661,0.8437980670955031,0.12378789567516302,"loop_local_1 +0.97, loop_local_3 +0.93, loop_tail_word +0.89"
text-davinci-002,25,loop_tail_drift,0.983503791507999,0.983503791507999,0.8905896266231847,0.0929141648848143,"loop_tail_drift +0.98, loop_tail_short +0.98, loop_tail_word +0.97"
gpt-3.5-turbo,98,loop_local_1,0.9421631471330729,0.9421631471330729,0.8520659822755523,0.09009716485752062,"loop_local_1 +0.94, loop_local_3 +0.90, lexical_diversity_down_s +0.85"
cohere,40,loop_local_1,0.9865141330310595,0.9865141330310595,0.8989452274745412,0.0875689055565183,"loop_local_1 +0.99, loop_local_3 +0.97, loop_tail_word +0.93"
text-davinci-003,28,loop_local_1,0.776796078742349,0.776796078742349,0.691727658087499,0.08506842065484999,"loop_local_1 +0.78, loop_local_3 +0.72, lexical_diversity_down_s +0.69"
mixtral-8x7b,36,loop_local_1,0.9699882402757413,0.9699882402757413,0.8915279836439827,0.0784602566317586,"loop_local_1 +0.97, loop_local_3 +0.95, loop_tail_word +0.89"
dolly,38,loop_local_3,0.9913102285799078,0.9913102285799078,0.9359719428831706,0.055338285696737155,"loop_local_3 +0.99, loop_tail_short +0.99, loop_tail_drift +0.98"
gpt-35,90,loop_local_3,0.9805988567547537,0.9805988567547537,0.9301522823315678,0.0504465744231859,"loop_local_3 +0.98, loop_local_1 +0.98, loop_tail_word +0.93"
gpt4,38,loop_local_3,0.9897518296854021,0.9897518296854021,0.9458851066456343,0.043866723039767797,"loop_local_3 +0.99, loop_local_1 +0.98, loop_tail_word +0.97"
GLM130B,39,loop_tail_drift,0.9927367215989555,0.9927367215989555,0.9496505131173762,0.04308620848157929,"loop_tail_drift +0.99, loop_tail_short +0.99, loop_tail_mid +0.99"
65B,43,loop_tail_drift,0.9862479382255344,0.9862479382255344,0.9466417607034826,0.039606177522051755,"loop_tail_drift +0.99, loop_tail_short +0.99, loop_tail_mid +0.98"
13B,40,loop_tail_mid,0.9881504926102758,0.9881504926102758,0.9592598699633123,0.028890622646963515,"loop_tail_mid +0.99, loop_tail_drift +0.99, loop_tail_short +0.98"
7B,41,loop_tail_mid,0.9915754744664788,0.9915754744664788,0.9676842986005023,0.023891175865976444,"loop_tail_mid +0.99, loop_tail_drift +0.99, loop_tail_short +0.99"
davinci,41,loop_local_1,0.8320444823362968,0.8320444823362968,0.8171862786461817,0.014858203690115146,"loop_local_1 +0.83, lexical_diversity_down_s +0.82, topics_down_v2 +0.79"
bloom_7b,31,ngram_2,0.9824832961362452,-0.7819938286464964,0.9824832961362452,-1.7644771247827415,"ngram_2 +0.98, ngram_3 +0.98, ngram_4 +0.98"
opt_2.7b,26,ngram_4,0.9904427676044976,-0.8259226689452844,0.9904427676044976,-1.8163654365497819,"ngram_4 +0.99, topics_up_v2 +0.99, topics_up_hard +0.99"
opt_125m,25,lexical_diversity_up_s,0.9972038608822378,-0.8510404711060013,0.9972038608822378,-1.8482443319882391,"lexical_diversity_up_s +1.00, lexical_diversity_up_hard +1.00, ideas_up_hard +1.00"
