токен,класс,в тексте,в выборке,до ближайшего,текст
for,подслово,1,1,0.7195740499535556,0
strong,подслово,1,1,0.7979204342811936,0
/,пункт,1,1,0.6537675561109074,0
stable,подслово,1,1,0.7507144204748659,0
Ġat,служ,3,2,0.5017112167881345,0
Ġagainst,служ,2,1,0.8054280200659668,0
ary,подслово,2,2,0.2835232044980674,0
Ġlinks,смысл-редк,2,1,0.7076820108920019,0
ĠV,смысл-част,6,4,0.22137838164396095,0
Ġshow,смысл-част,2,1,0.5675943782499008,0
Ġadversary,смысл-редк,5,3,0.32396113336440846,0
d,подслово,3,3,0.3385467033127479,0
Ġwhich,служ,3,1,0.7724322565247445,0
Ġcommunication,смысл-редк,1,1,0.7805714535773622,0
Ċ,пункт,24,13,0.3073627291080561,0
1,пункт,2,1,0.8081640926242777,0
J,подслово,2,2,0.21872424401975246,0
k,подслово,11,6,0.40232526791892254,0
k,подслово,11,6,0.4408982723806801,0
ability,подслово,1,1,0.6770045583852989,0
",",пункт,20,10,0.36182805691602865,0
Ġdetermined,смысл-редк,1,1,0.7605046843767252,0
Ġgrace,смысл-редк,1,1,0.8414706297959165,0
ĠWe,служ,3,3,0.21222027999463483,0
Ġthe,служ,10,6,0.3432861377862366,0
Ġnumber,смысл-част,1,1,0.7555528252744087,0
Ġcausal,смысл-редк,1,1,0.6794944801026416,0
cons,подслово,1,1,0.8899320533489249,0
Ċ,пункт,24,13,0.26074885480336807,0
:,пункт,3,1,0.6894726133516251,0
have,подслово,1,1,0.8191368729210223,0
Ġdistributed,смысл-редк,1,1,0.5686461985825499,0
Ċ,пункт,24,13,0.18481981770870232,0
.,пункт,5,2,0.38050268904597195,0
We,подслово,1,1,0.4616318182606595,0
Ġmost,служ,3,1,0.8153045098795028,0
Ġ(,пункт,4,2,0.5515372938045343,0
$-,пункт,5,2,0.3856244552533584,0
),пункт,10,8,0.286414353686189,0
Ġwe,служ,2,1,0.39168973990380906,0
Ġunder,служ,3,1,0.7798666838225049,0
Ġthe,служ,10,6,0.3995197768595985,0
uniform,подслово,1,1,0.7188307325602993,0
Ġthe,сток,10,6,0.05989242567316732,0
Ġis,служ,7,4,0.548485778537223,0
Ġcorrectly,смысл-редк,1,1,0.7148343071822286,0
Ġwith,служ,2,2,0.5360736726907845,0
",",пункт,20,10,0.35875857822319424,0
Ċ,пункт,24,13,0.2619834885382461,0
(,пункт,8,5,0.1699585993165645,0
),пункт,10,8,0.5389603251440321,0
Ċ,пункт,24,13,0.22194847200137732,0
Ġdynamic,смысл-редк,3,3,0.2546388319855102,0
Ġdegrad,смысл-редк,1,1,0.7819584687184972,0
Ġnot,служ,2,1,0.7861055685527691,0
ens,подслово,1,1,0.81575943532975,0
Ġrun,смысл-част,1,1,0.7399171336930853,0
Ġcombines,смысл-редк,1,1,0.6772633598176562,0
Ġa,служ,10,5,0.387849519674306,0
k,подслово,11,6,0.3449215570372764,0
Ġadvers,смысл-редк,1,1,0.6651180198048202,0
Ġa,служ,10,5,0.387849519674306,0
Ċ,пункт,24,13,0.18481981770870232,0
Ġprove,смысл-редк,1,1,0.5675943782499008,0
ary,подслово,2,2,0.2835232044980674,0
Ġstudy,смысл-част,1,1,0.6664969009176596,0
k,подслово,11,6,0.28248607463001374,0
Ġmessage,смысл-редк,8,4,0.33633960319628464,0
),пункт,10,8,0.286414353686189,0
Ġdirected,смысл-редк,2,1,0.6085157968872458,0
$),пункт,1,1,0.8050262356429635,0
Ġor,служ,1,1,0.8267483042363949,0
",",пункт,20,10,0.2595012334383835,0
Ġ2,пункт,1,1,0.5545813320549261,0
Ġof,служ,5,2,0.4719824654632982,0
Ġof,служ,5,2,0.4719824654632982,0
Ġadversary,смысл-редк,5,3,0.3219071484000584,0
infty,подслово,1,1,0.8822550838759046,0
Ġflow,смысл-редк,1,1,0.6723551644737397,0
ĠWe,служ,3,3,0.21222027999463483,0
Ġconditions,смысл-част,1,1,0.686871375402629,0
).,пункт,1,1,0.6885042588118869,0
.,пункт,5,2,0.38050268904597195,0
Ġsynchronous,смысл-редк,1,1,0.5686461985825499,0
Ġin,служ,5,3,0.5902232119014605,0
