токен,вершин,в_выборке,до_ближайшего
Ġwhich,121,1.2975,0.7144
Ġother,121,1.3967,0.6966
Ġso,152,1.8553,0.6751
Ġone,163,1.7975,0.67
Ġall,141,1.8936,0.6544
Ġif,153,1.719,0.6527
Ġfrom,214,1.8598,0.6382
Ġabout,154,1.6234,0.6278
Ġwhat,124,1.6129,0.6272
Ġmore,179,1.9162,0.6222
Ġat,214,1.9019,0.6095
Ġbut,249,1.8594,0.606
Ġnot,268,1.9552,0.5974
Ġdo,139,1.9784,0.5931
Ġout,154,1.6234,0.5845
Ġhave,300,2.1733,0.5844
Ġby,229,1.9782,0.5804
Ġwill,153,2.0719,0.5709
Ġas,319,2.3417,0.5703
Ġwould,132,2.2727,0.5663
Ġfor,533,2.8124,0.5643
Ġor,328,3.1707,0.5609
Ġhas,147,1.8707,0.5599
Ġwith,384,2.2188,0.5556
Ġcan,251,2.0598,0.5546
Ġon,415,2.4506,0.5499
Ġare,329,2.155,0.5463
Ġthis,247,2.247,0.5364
Ġan,194,1.7938,0.532
Ġwere,138,2.087,0.5289
Ġthem,123,1.813,0.5278
Ġbe,347,2.4063,0.5253
Ġin,788,3.4239,0.5221
Ġit,582,3.9725,0.5035
Ġwas,349,3.2006,0.4966
Ġthat,644,3.0342,0.4956
ĠThe,266,2.0226,0.4922
Ġto,1383,5.6696,0.4859
Ġmy,153,2.281,0.4801
Ġme,148,2.8108,0.4731
Ġand,1203,4.7772,0.4717
Ġis,810,3.8099,0.4529
Ġtheir,157,2.1338,0.4525
Ġhe,184,2.3587,0.4501
Ġwe,154,2.3896,0.4483
Ġof,1335,5.6449,0.442
Ġthey,276,3.7246,0.4407
Ġa,1288,5.0792,0.4348
ĠI,645,6.5473,0.4118
Ġhis,137,2.4745,0.4076
Ġyou,599,5.7646,0.4041
Ġthe,1983,9.7595,0.3854
Ġyour,236,4.3475,0.3756
