,PC1,PC2,PC3,mode,q
q_small@0,0.1314,-0.0163,-0.0116,q_small,0.0
q_small@0.05,0.1397,-0.0144,0.0077,q_small,0.05
q_small@0.1,0.1493,-0.0164,0.0505,q_small,0.1
q_small@0.15,0.1614,-0.0209,0.0994,q_small,0.15
q_small@0.2,0.1699,-0.0347,0.1157,q_small,0.2
q_small@0.25,0.1686,-0.0622,0.0725,q_small,0.25
q_small@0.3,0.1579,-0.0972,-0.0118,q_small,0.3
q_small@0.35,0.1436,-0.1289,-0.0922,q_small,0.35
q_small@0.4,0.1298,-0.1521,-0.1442,q_small,0.4
q_small@0.45,0.117,-0.1672,-0.1676,q_small,0.45
q_small@0.5,0.1048,-0.1764,-0.1717,q_small,0.5
q_small@0.55,0.0931,-0.1805,-0.1678,q_small,0.55
q_small@0.6,0.0819,-0.18,-0.1638,q_small,0.6
q_small@0.65,0.0709,-0.1755,-0.1616,q_small,0.65
q_small@0.7,0.0598,-0.1676,-0.1608,q_small,0.7
q_small@0.75,0.0482,-0.1579,-0.1591,q_small,0.75
q_small@0.8,0.0366,-0.1507,-0.1576,q_small,0.8
q_small@0.85,0.0254,-0.1496,-0.1611,q_small,0.85
q_small@0.9,0.0126,-0.155,-0.1657,q_small,0.9
q_large@0,0.1314,-0.0163,-0.0116,q_large,0.0
q_large@0.05,0.1384,-0.0112,-0.0015,q_large,0.05
q_large@0.1,0.1438,-0.0089,0.0026,q_large,0.1
q_large@0.15,0.1493,-0.0068,0.0041,q_large,0.15
q_large@0.2,0.1546,-0.0041,0.0041,q_large,0.2
q_large@0.25,0.1597,0.0005,0.0041,q_large,0.25
q_large@0.3,0.1641,0.009,0.0045,q_large,0.3
q_large@0.35,0.1677,0.0228,0.0051,q_large,0.35
q_large@0.4,0.1702,0.0432,0.0054,q_large,0.4
q_large@0.45,0.1713,0.0713,0.0059,q_large,0.45
q_large@0.5,0.1703,0.1077,0.0067,q_large,0.5
q_large@0.55,0.1662,0.1524,0.0055,q_large,0.55
q_large@0.6,0.1578,0.2033,-0.0058,q_large,0.6
q_large@0.65,0.1431,0.2533,-0.0421,q_large,0.65
q_large@0.7,0.1204,0.29,-0.1171,q_large,0.7
q_large@0.75,0.092,0.3034,-0.2261,q_large,0.75
q_large@0.8,0.0657,0.2948,-0.3286,q_large,0.8
q_large@0.85,0.0478,0.2747,-0.3656,q_large,0.85
q_large@0.9,0.0344,0.2516,-0.2778,q_large,0.9
q0.5_range@0,0.1703,0.1077,0.0067,q0.5_range,0.0
q0.5_range@0.05,0.1847,0.0795,0.0546,q0.5_range,0.05
q0.5_range@0.1,0.1995,0.0539,0.1414,q0.5_range,0.1
q0.5_range@0.15,0.2169,0.037,0.241,q0.5_range,0.15
q0.5_range@0.2,0.2267,0.015,0.2861,q0.5_range,0.2
q0.5_range@0.25,0.2191,-0.0237,0.2273,q0.5_range,0.25
q0.5_range@0.3,0.197,-0.0716,0.0988,q0.5_range,0.3
q0.5_range@0.35,0.1716,-0.1128,-0.0226,q0.5_range,0.35
q0.5_range@0.4,0.1487,-0.1414,-0.1018,q0.5_range,0.4
q0.5_range@0.45,0.1283,-0.1593,-0.1433,q0.5_range,0.45
q0.5_range@0.5,0.1048,-0.1764,-0.1717,q0.5_range,0.5
