,PC1,PC2,PC3,kind
add_digits,-6.4,49.8,28.1,pert
add_punctuation,-1.3,64.7,-55.4,pert
add_typos,37.8,13.8,2.2,pert
burst_alternate,10.3,4.2,-18.5,pert
burst_flatten,9.2,8.0,-18.4,pert
capitalize_terms,72.5,6.1,3.2,pert
collapse_vocab_10,-135.1,283.3,-50.8,pert
collapse_vocab_25,-159.7,219.6,-49.6,pert
collapse_vocab_60,-137.6,123.3,-35.4,pert
drop_function_words,76.9,48.4,33.8,pert
drop_sentence_boundaries,47.3,19.0,-8.6,pert
expand_vocab_100,178.5,105.6,48.2,pert
expand_vocab_50,108.9,79.3,35.4,pert
ideas_down_v2,-230.2,60.4,15.1,pert
ideas_up_hard,139.9,10.3,31.4,pert
ideas_up_v2,116.6,-2.3,19.8,pert
lexical_diversity_down_s,-45.9,-0.7,-13.8,pert
lexical_diversity_up_hard,115.2,2.0,19.1,pert
lexical_diversity_up_s,126.6,4.8,17.9,pert
loop_local_1,-188.8,-63.0,14.3,pert
loop_local_3,-372.9,-66.2,30.5,pert
loop_phrase,-423.4,205.2,8.8,pert
loop_tail_drift,-341.9,-2.0,87.2,pert
loop_tail_early,-436.9,123.1,45.2,pert
loop_tail_mid,-404.5,31.7,51.0,pert
loop_tail_short,-320.8,-17.9,64.7,pert
loop_tail_word,-266.8,-46.5,49.4,pert
lowercase,-2.5,3.2,-12.4,pert
ngram_2,265.9,67.8,44.2,pert
ngram_3,253.7,42.7,35.0,pert
ngram_4,191.4,19.6,22.3,pert
ngram_wide_2,279.3,75.1,39.7,pert
ngram_wide_3,265.9,52.9,36.3,pert
shuffle_within_sentences,71.4,113.6,-24.6,pert
shuffle_words,68.1,116.1,-24.2,pert
splice_pairs,135.1,11.7,15.3,pert
splice_sentences,251.9,33.2,22.7,pert
strip_digits,0.7,4.8,-3.2,pert
strip_punctuation,90.0,30.3,-12.4,pert
style_bulletin_abbreviations,55.7,53.6,40.4,pert
style_dialogue_interjections,-97.1,36.4,29.3,pert
style_literary,164.0,-1.0,-2.4,pert
style_literary_T1.3,185.7,-11.8,3.9,pert
style_literary_T1.7,173.3,-13.5,10.0,pert
style_news_dates_suffixes,77.6,10.8,-1.6,pert
style_news_telegraphic,14.9,36.1,37.7,pert
style_scientific_terms,48.5,-10.4,10.4,pert
style_simplified,-101.5,25.0,-1.3,pert
to_numbered_list,-17.2,-1.4,13.4,pert
topics_down_v2,-41.1,0.9,-13.7,pert
topics_up_hard,219.8,1.8,26.3,pert
topics_up_v2,195.1,1.9,26.0,pert
words_common_s,-10.9,10.5,0.0,pert
words_rare_s,30.5,-2.9,-0.6,pert
13B,-192.3,4.2,26.6,gen
65B,-153.4,-4.7,19.4,gen
7B,-229.8,12.0,36.8,gen
GLM130B,-268.0,-5.6,44.9,gen
bloom_7b,327.0,63.2,50.3,gen
cohere,-105.9,-40.9,-3.6,gen
davinci,-57.4,-41.9,-28.6,gen
dolly,-147.0,-12.3,13.9,gen
gpt-3.5-turbo,-83.8,-49.9,-14.2,gen
gpt-35,-151.6,-39.4,-7.0,gen
gpt4,-112.4,-17.4,-1.7,gen
gpt4o,-36.1,-26.4,4.8,gen
llama3-70b,-61.9,-36.4,-4.1,gen
mixtral-8x7b,-69.6,-31.3,-7.3,gen
opt_125m,167.8,9.7,30.0,gen
opt_2.7b,457.3,56.8,48.2,gen
text-davinci-002,-90.0,-15.5,26.9,gen
text-davinci-003,-53.6,-58.4,-24.0,gen
