perturbation,text_id,крупный,мелкий,средний
add_digits,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,-15.43,-0.16,-2.03
add_digits,coling::0303abd4-4ede-45e6-94d9-7e4d99699a27,-25.01,14.93,-14.48
add_digits,coling::040c1d28-4583-4101-87e6-0631f517d0b5,-9.88,-3.16,-9.59
add_digits,coling::049da962-b4ab-4271-80d7-6c08dd7157b9,-33.12,1.44,-16.68
add_digits,coling::07106895-c293-4117-be28-f75985334b33,-24.05,9.94,-17.35
add_digits,coling::0a6f4d1d-1792-4bfc-a4cf-9fcf063648e1,-11.09,16.71,4.95
add_digits,coling::0b4651e6-8f56-467b-81ae-810fa7819810,-13.98,13.67,1.66
add_digits,coling::0c653e8b-8157-47f3-bdaa-142023fb5739,-9.61,21.19,1.3
add_digits,coling::108b67b9-1113-4b28-81da-e218ced4ceb9,-10.17,17.37,-5.01
add_digits,coling::1770be09-c92d-43e3-ab15-7b7318ca2f96,-21.93,0.66,-12.68
add_digits,coling::17ad7e76-2fa1-4c9b-a42b-44a53287fb2e,-25.93,-10.65,-8.68
add_digits,coling::1a16d27a-89fc-4df9-8b4f-cf2532a8cec8,-10.91,17.79,-9.93
add_digits,coling::1c1fb589-36fc-45ac-bccc-1e9cced6c731,-20.82,-8.98,-6.69
add_digits,coling::1d5a005f-1162-4f21-a546-b8229951a6c2,-30.48,11.86,-6.34
add_digits,coling::1eb3e11f-345c-4e21-9971-65b1c025ebf0,-20.03,2.71,-4.95
add_digits,coling::1eb5e451-a672-4645-8dea-c413ad11c953,-21.77,3.87,-3.5
add_digits,coling::203e204e-a867-4d1d-97e8-bdd789e6fc2b,-5.05,15.08,1.0
add_digits,coling::22aa3208-6e8c-4005-9386-819f202c1c74,-34.43,5.56,-15.23
add_digits,coling::23d0bd02-f2a0-4752-971c-cac75280ef8f,-10.65,6.42,3.78
add_digits,coling::28a6b262-a893-4fcb-a538-fc9aa5adc135,-11.61,-8.83,-4.43
add_digits,coling::2b392f9b-db4c-468a-bf65-fc00202e096d,-11.08,4.42,6.0
add_digits,coling::2e921a31-8ffa-4c78-8c4d-ef7e72432bc8,-21.96,2.82,-9.37
add_digits,coling::31049c2c-a6a8-44a9-acaa-b8e3b1237658,5.88,12.83,5.52
add_digits,coling::32e519e5-5c7c-4bcb-a0ea-bfeb2b47c9d8,-0.79,-7.58,-10.03
add_digits,coling::33c5609d-3402-4e52-abb9-f74944f2418e,-14.67,24.0,1.05
add_digits,coling::365ba259-c2eb-480e-84d9-eab251a43b47,-33.55,-5.32,-20.7
add_digits,coling::37e384a6-d2b8-444e-ac7f-d4288c173442,-22.69,4.07,-8.4
add_digits,coling::3acbf3b4-cdc2-42b4-9b2c-839dd8bb95f5,-19.89,2.68,-10.57
add_digits,coling::3bec38ad-9c98-4004-95a3-5b24858e7401,-30.45,17.9,-12.97
add_digits,coling::3dd39352-d471-4ab9-bd50-b7345fc1d97c,-22.77,-0.82,-8.49
add_digits,coling::4622a5f2-c96d-4ea1-9629-b734e9768fd2,-3.95,12.93,1.89
add_digits,coling::46555368-c6ff-46dc-88fc-bf38c422299b,-14.8,1.42,-7.92
add_digits,coling::4979d6d3-5de1-40a4-9a75-cfd7fc6085a9,-17.12,31.44,-0.54
add_digits,coling::49a2d576-81e8-4b16-889d-beb4a986f322,-5.21,9.77,9.22
add_digits,coling::4b504a77-e4f6-447f-996a-b39d54b5c54c,-18.6,3.6,0.02
add_digits,coling::4e7728dc-010d-47cb-95f2-16525a713ce3,-8.56,11.81,0.42
add_digits,coling::5293d27b-2991-4ca1-93ab-e336d0ebeefc,-27.81,-3.14,-7.74
add_digits,coling::54bd7a63-4df1-4ef1-979a-2ae688d3c276,-15.03,-2.69,-3.7
add_digits,coling::564547e8-c996-4ee6-8beb-abfe80624a51,-15.27,-12.23,-7.25
add_digits,coling::56d83b20-4592-4ff6-b3ab-c3299c657735,-6.82,7.91,-3.25
add_digits,coling::5895f991-9d37-49fe-9f39-eeff324a797c,-27.05,0.3,-12.74
add_digits,coling::59aec439-babf-4d21-b03b-4f331a96f0bf,15.21,5.97,18.68
add_digits,coling::5e64f27a-ba00-4d66-8985-34fc48e8302f,-26.04,1.83,-14.93
add_digits,coling::5fe97409-ffd6-4931-b20b-8449a9edaab3,-7.81,25.46,0.52
add_digits,coling::60c879b9-6ebb-4551-8f22-52c6a144770b,-22.95,0.36,-5.63
add_digits,coling::60e5cc06-240c-4ed3-80bd-353d0ba88cb2,-16.53,1.81,-3.53
add_digits,coling::65648d18-be4d-475d-bcab-2fbcdb8ade2d,-12.14,0.03,-9.51
add_digits,coling::6670f84e-b3ea-4cdf-98af-e79e2579d9b7,-14.01,18.1,-1.52
add_digits,coling::669f87a1-c0ae-4677-a33d-a44341fab6e4,-15.4,-7.45,-2.58
add_digits,coling::6b54ef51-f42e-4ac2-840e-6b536faab7cf,-22.17,6.55,-2.56
add_digits,coling::6c998ea5-d795-44ca-8a25-22424b17cd7f,-11.37,-5.06,4.67
add_digits,coling::6d5e183d-832b-4aa4-a6e2-563f242380e3,-19.58,3.89,-1.74
add_digits,coling::6ea6d618-d59e-455d-a265-490e14187344,-13.46,3.97,2.05
add_digits,coling::6ec72689-8b99-420d-9182-0a2fa5a40cbc,-22.59,-14.89,-6.28
add_digits,coling::724b2f69-4d19-4d08-9bbd-53e0153760b2,-19.76,12.12,-5.93
add_digits,coling::7426cf8e-20e5-4e81-bfbb-380b1547f405,-28.77,-1.1,0.21
add_digits,coling::745b25d5-34c6-4c43-a690-6414f20591ce,-23.85,1.8,-13.55
add_digits,coling::76136b55-6fc5-43fa-b998-384c79a14fe7,-31.34,-4.84,-7.77
add_digits,coling::772c8684-83a7-4b50-8a32-d059bec2d49f,-7.32,21.49,-0.69
add_digits,coling::7876816d-0ac2-4404-b2bf-deeaa0b7ea1d,-16.48,-2.12,-10.58
add_digits,coling::78c59284-8d42-44bc-9994-350a50f2de49,-27.86,14.49,-14.52
add_digits,coling::794e6ae3-4244-4f1a-902e-9f1eb5845396,-6.02,7.55,6.27
add_digits,coling::79eb7194-07a0-4dd2-a0b2-7911976fc4b5,-17.58,0.94,-2.05
add_digits,coling::7a09dbe7-814b-4d82-b5b3-a15b926a87fa,-12.12,-0.41,-3.68
add_digits,coling::7a28bc6c-3b1e-4ac2-a169-10374ef5da58,-15.56,13.2,-11.95
add_digits,coling::7b1cbc13-ed47-4ccb-81a7-d64aa32c73e5,-19.65,8.63,-2.79
add_digits,coling::7c3f2a9c-bdfc-4800-8191-0036c8cec709,-9.94,3.63,-9.17
add_digits,coling::817b2dbf-699e-4bec-825a-2bbdf59831d4,-21.71,-2.12,-5.15
add_digits,coling::8986a229-067f-4f9d-8d01-514889d3d128,-15.9,-0.21,-1.28
add_digits,coling::8c3cf713-de3f-4e3d-9e94-ba8bcf48962d,-16.62,21.78,-4.12
add_digits,coling::8d68dd4d-1de2-4490-8a68-ccd52f7f2c5f,-25.75,-7.53,-3.8
add_digits,coling::8df379b4-a387-496d-947d-b224f86ba11c,-31.99,8.77,-14.38
add_digits,coling::8e0f7cff-07ca-48c6-b381-34b577d189e0,-3.88,7.86,2.2
