perturbation,text_id,крупный,мелкий,средний
add_digits,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,15.971,3.316,14.848
add_digits,coling::0303abd4-4ede-45e6-94d9-7e4d99699a27,14.179,3.785,13.955
add_digits,coling::040c1d28-4583-4101-87e6-0631f517d0b5,13.736,3.789,11.889
add_digits,coling::049da962-b4ab-4271-80d7-6c08dd7157b9,12.912,3.718,14.215
add_digits,coling::07106895-c293-4117-be28-f75985334b33,14.924,3.47,12.948
add_digits,coling::0a6f4d1d-1792-4bfc-a4cf-9fcf063648e1,13.942,3.291,12.974
add_digits,coling::0b4651e6-8f56-467b-81ae-810fa7819810,16.615,3.506,14.996
add_digits,coling::0c653e8b-8157-47f3-bdaa-142023fb5739,19.564,3.276,14.805
add_digits,coling::108b67b9-1113-4b28-81da-e218ced4ceb9,13.981,3.535,13.353
add_digits,coling::1770be09-c92d-43e3-ab15-7b7318ca2f96,13.793,3.701,12.541
add_digits,coling::17ad7e76-2fa1-4c9b-a42b-44a53287fb2e,14.147,3.605,15.265
add_digits,coling::1a16d27a-89fc-4df9-8b4f-cf2532a8cec8,16.553,3.57,13.811
add_digits,coling::1c1fb589-36fc-45ac-bccc-1e9cced6c731,12.503,3.972,13.928
add_digits,coling::1d5a005f-1162-4f21-a546-b8229951a6c2,14.862,3.544,13.77
add_digits,coling::1eb3e11f-345c-4e21-9971-65b1c025ebf0,14.478,3.735,13.157
add_digits,coling::1eb5e451-a672-4645-8dea-c413ad11c953,12.737,3.909,14.213
add_digits,coling::203e204e-a867-4d1d-97e8-bdd789e6fc2b,16.296,3.636,14.821
add_digits,coling::22aa3208-6e8c-4005-9386-819f202c1c74,12.969,3.726,13.669
add_digits,coling::23d0bd02-f2a0-4752-971c-cac75280ef8f,11.968,2.865,11.418
add_digits,coling::28a6b262-a893-4fcb-a538-fc9aa5adc135,15.918,2.892,14.472
add_digits,coling::2b392f9b-db4c-468a-bf65-fc00202e096d,17.844,3.312,15.48
add_digits,coling::2e921a31-8ffa-4c78-8c4d-ef7e72432bc8,14.014,3.408,12.244
add_digits,coling::31049c2c-a6a8-44a9-acaa-b8e3b1237658,17.007,4.162,13.997
add_digits,coling::32e519e5-5c7c-4bcb-a0ea-bfeb2b47c9d8,16.578,4.075,13.966
add_digits,coling::33c5609d-3402-4e52-abb9-f74944f2418e,16.534,3.98,15.468
add_digits,coling::365ba259-c2eb-480e-84d9-eab251a43b47,13.398,3.483,13.561
add_digits,coling::37e384a6-d2b8-444e-ac7f-d4288c173442,13.418,3.615,13.099
add_digits,coling::3acbf3b4-cdc2-42b4-9b2c-839dd8bb95f5,13.103,3.665,13.471
add_digits,coling::3bec38ad-9c98-4004-95a3-5b24858e7401,13.56,3.909,14.699
add_digits,coling::3dd39352-d471-4ab9-bd50-b7345fc1d97c,14.24,3.648,13.85
add_digits,coling::4622a5f2-c96d-4ea1-9629-b734e9768fd2,14.193,2.798,10.729
add_digits,coling::46555368-c6ff-46dc-88fc-bf38c422299b,14.89,3.599,14.911
add_digits,coling::4979d6d3-5de1-40a4-9a75-cfd7fc6085a9,16.915,4.101,16.281
add_digits,coling::49a2d576-81e8-4b16-889d-beb4a986f322,16.851,3.097,14.384
add_digits,coling::4b504a77-e4f6-447f-996a-b39d54b5c54c,14.25,3.904,15.633
add_digits,coling::4e7728dc-010d-47cb-95f2-16525a713ce3,14.933,3.164,15.068
add_digits,coling::5293d27b-2991-4ca1-93ab-e336d0ebeefc,15.162,3.506,14.175
add_digits,coling::54bd7a63-4df1-4ef1-979a-2ae688d3c276,12.548,3.948,13.788
add_digits,coling::564547e8-c996-4ee6-8beb-abfe80624a51,14.465,2.82,11.496
add_digits,coling::56d83b20-4592-4ff6-b3ab-c3299c657735,16.742,3.416,15.786
add_digits,coling::5895f991-9d37-49fe-9f39-eeff324a797c,12.728,3.48,13.981
add_digits,coling::59aec439-babf-4d21-b03b-4f331a96f0bf,17.52,3.408,15.564
add_digits,coling::5e64f27a-ba00-4d66-8985-34fc48e8302f,12.751,3.381,13.577
add_digits,coling::5fe97409-ffd6-4931-b20b-8449a9edaab3,15.38,4.541,14.923
add_digits,coling::60c879b9-6ebb-4551-8f22-52c6a144770b,16.623,3.165,15.957
add_digits,coling::60e5cc06-240c-4ed3-80bd-353d0ba88cb2,16.86,3.606,14.139
add_digits,coling::65648d18-be4d-475d-bcab-2fbcdb8ade2d,15.727,3.821,14.758
add_digits,coling::6670f84e-b3ea-4cdf-98af-e79e2579d9b7,16.224,4.324,17.091
add_digits,coling::669f87a1-c0ae-4677-a33d-a44341fab6e4,14.309,3.879,14.917
add_digits,coling::6b54ef51-f42e-4ac2-840e-6b536faab7cf,16.029,4.158,16.755
add_digits,coling::6c998ea5-d795-44ca-8a25-22424b17cd7f,13.132,4.216,13.177
add_digits,coling::6d5e183d-832b-4aa4-a6e2-563f242380e3,13.861,3.76,14.961
add_digits,coling::6ea6d618-d59e-455d-a265-490e14187344,16.045,3.26,13.236
add_digits,coling::6ec72689-8b99-420d-9182-0a2fa5a40cbc,14.23,3.894,13.329
