model,id,PC1,PC2,PC3,rep
13B,0184fcca-2065-4616-b393-0ae2a3d22735,-220.382,0.62,37.37,0.296
13B,0798e34c-797a-4f00-86d9-9285160ea7ca,-159.404,5.143,-7.851,0.085
13B,0c091da4-85f5-4071-895d-a36d5c5a7d67,-20.834,-36.279,0.734,0.056
13B,20cbee54-dba7-4b6c-9bd7-8fbd6f7f7dc1,-172.841,-14.682,61.246,0.297
13B,238770ab-e4f9-4a5f-b613-93f350f8c0b3,-182.328,-7.954,3.244,0.152
13B,26873901-5967-4b69-9ee3-3f5c86776049,-438.062,156.764,26.086,0.791
13B,26bd40c1-e1b6-480e-a385-d43b35b42b9a,-186.172,14.61,2.206,0.212
13B,3126274f-0512-4097-aaf8-e2ead144b310,-268.122,78.172,55.35,0.338
13B,3c3545c3-612f-4770-8e1d-75168bf7a267,-188.012,19.0,60.949,0.281
13B,3efe382d-8d18-45ff-ad0b-cd83c74bfbc4,-211.116,13.486,85.776,0.088
13B,3fd88681-c10c-471e-ac0a-d11824c0bd75,-107.857,83.267,-43.055,0.088
13B,5680cc4f-f7ee-4769-9450-77fe15540776,-142.997,-52.058,30.57,0.049
13B,65682d73-7be2-4f5b-bc6d-8fce8b07b1f5,-424.51,159.033,59.606,0.779
13B,65e5d45d-c401-4000-9611-4a73b64b0f6f,-153.116,10.212,39.316,0.192
13B,736e3588-c459-4e1a-b9ef-2b042a801a2b,-364.313,11.517,61.353,0.74
13B,74b88d3f-295e-48d2-bad3-c261f6e58077,-58.864,-69.844,-67.104,0.119
13B,766a9622-caa3-4797-b124-ba41fe33330d,-153.637,1.097,3.907,0.159
13B,7d48ff3a-440e-4eb8-ab5b-87c29c93761d,-329.83,14.275,33.097,0.582
13B,83aaee13-f0c6-40c6-be13-4524a4762468,-222.241,5.144,-3.426,0.236
13B,8f4c20f9-edf7-448d-a76e-730674a59abf,-399.065,13.742,97.48,0.561
13B,9981152b-2e21-48cb-9da7-e3c609ec3bf3,17.413,16.837,35.974,0.079
13B,a008a6d1-231b-49d0-a199-7cb223a36587,-94.005,-54.834,40.464,0.16
13B,a46bb27f-5aa5-45fc-ba59-8664b6b20af7,-220.489,17.166,129.976,0.129
13B,aba469e5-a26e-4a7d-84f0-21605c68e8b0,-99.684,-12.416,11.158,0.134
13B,b0ee9bc7-4e92-461a-a530-8ef0d53445cb,-153.476,22.574,-1.933,0.151
13B,b41e5cc8-1926-4841-a9b5-c365607e84a4,-105.359,-50.232,-33.038,0.226
13B,b77dc4ec-3676-4a6f-8761-f9a6bdad839a,-242.061,-72.151,36.089,0.938
13B,bd357a24-f303-4f24-bc06-e06ae018c3c7,-203.378,-30.358,30.494,0.328
13B,bf6248b7-e5c8-428f-9c8d-2c2507724d49,19.248,43.481,53.185,0.122
13B,c5b8b4f4-f1c9-4538-ad49-6c98595ba85d,-322.112,46.831,38.685,0.494
13B,c794867b-c3a9-4bdf-a802-a3998f679ddc,-132.525,36.48,55.932,0.197
13B,cd3d2e62-b253-4115-bf9f-f0e1087d83c9,-85.738,-127.128,21.357,0.25
13B,d340ba7b-5ce5-4177-9a11-1a6bf3f224a1,-197.884,-37.06,15.714,0.276
13B,d6dc55c8-029d-4772-9512-b902439f5b3c,-121.711,28.489,26.124,0.062
13B,de0c321a-0fa4-405c-900e-24d07c235852,-302.355,-6.114,13.874,0.492
13B,dec4f1c8-b33c-41db-8cc4-49a6b7e02461,-95.036,-17.456,-10.463,0.248
13B,e82ebb13-f4e1-45fe-b1f3-c6b6c4128fe0,-196.733,-5.623,31.361,0.781
13B,ed6d10dc-ec71-40b4-b362-b728cc6a36c4,-269.416,10.101,-10.567,0.232
