перт,швы,hapax,смысл.,d крупный
burst_alternate,-1.62,1.75,-0.25,4.17
burst_flatten,-2.0,-0.13,1.25,2.78
drop_sentence_boundaries,-0.5,0.12,4.88,0.22
loop_phrase,8.12,-7.38,-5.5,-49.75
add_punctuation,6.5,-4.13,-1.5,-0.45
strip_punctuation,-5.62,-3.5,15.75,2.03
add_digits,14.0,-1.25,-6.5,-21.16
strip_digits,0.5,-3.25,7.0,-0.2
capitalize_terms,-0.88,4.0,-7.62,2.86
lowercase,1.88,-3.38,-5.12,2.44
to_numbered_list,7.62,3.5,-7.38,-4.48
drop_function_words,1.38,1.5,0.25,-12.88
shuffle_words,8.25,-3.88,-4.12,-14.41
shuffle_within_sentences,9.88,-3.75,-4.75,-13.52
add_typos,-0.38,-0.25,3.0,-1.31
style_news_telegraphic,-2.0,0.0,4.5,-15.32
style_simplified,-2.75,-6.62,11.88,-12.77
style_news_dates_suffixes,-0.63,1.62,3.5,3.61
style_dialogue_interjections,4.5,-9.25,2.5,-22.41
style_literary,-3.0,7.75,7.12,9.45
style_bulletin_abbreviations,2.38,5.38,-9.12,-15.63
style_scientific_terms,-3.12,-6.5,7.5,3.89
ideas_up_v2,-3.25,9.75,9.0,2.37
ideas_down_v2,-3.68,-19.21,13.16,-21.44
topics_up_v2,-5.15,15.15,8.97,6.99
topics_down_v2,-1.84,0.92,9.61,1.73
lexical_diversity_up_s,-2.38,4.12,-1.88,3.19
lexical_diversity_down_s,-0.92,-5.53,5.92,2.49
words_rare_s,-2.0,1.75,-1.87,3.6
words_common_s,4.38,-7.75,0.75,-2.86
loop_local_1,0.25,-63.75,5.62,6.16
loop_local_3,0.0,-64.5,5.12,8.89
loop_tail_word,2.12,1.87,-1.13,-9.37
loop_tail_short,4.0,-1.0,-0.13,-23.66
loop_tail_mid,4.88,7.12,-0.0,-20.56
loop_tail_early,7.62,1.87,-3.12,-36.53
loop_tail_drift,1.75,-25.38,1.12,-29.41
collapse_vocab_60,11.25,-27.88,-10.88,-16.92
collapse_vocab_25,20.75,-33.12,-19.75,-26.91
collapse_vocab_10,22.25,-28.5,-24.38,-32.61
ngram_2,11.25,14.5,-8.88,-8.62
ngram_3,8.62,15.0,-6.25,-3.4
ngram_4,7.25,7.88,-3.0,1.61
expand_vocab_100,16.75,6.88,-14.75,-20.4
expand_vocab_50,11.88,2.75,-8.25,-18.87
hapax_swap_wide,12.12,-14.12,-11.0,-20.12
hapax_swap_wide_50,8.12,-11.5,-4.12,-13.9
hapax_swap_local,11.12,-16.25,-8.5,-20.54
rarify_types,11.62,-7.88,-14.75,-18.93
rarify_types_50,10.38,-8.75,-8.62,-15.8
commonize_types,16.62,-9.25,-10.5,-25.74
marker_p3,4.5,0.0,0.87,0.79
marker_p6,4.38,-4.0,1.0,1.31
marker_p12,4.12,-4.25,-0.5,1.04
echo_p25,-0.12,-21.5,1.38,1.26
echo_p50,1.25,-36.75,4.25,4.29
literary_echo25,-4.75,-13.38,10.12,12.63
literary_echo50,-6.0,-34.12,13.0,17.71
ideas_up_hard,-2.0,5.62,6.88,-1.48
topics_up_hard,-4.38,16.88,9.79,7.72
lexical_diversity_up_hard,-0.12,2.5,3.62,2.04
syntax_simple,-2.75,-3.38,10.0,-5.89
syntax_complex,0.37,-0.25,8.75,3.75
syntax_monotone,-5.94,-1.88,16.56,-18.51
syntax_varied,-0.13,-0.79,3.29,3.97
context_locked,-0.13,-9.34,0.26,-1.56
terms_long,-3.29,-7.5,8.55,-0.53
style_record_fields,-3.5,-17.5,-5.38,-19.76
style_anaphora,-1.75,1.37,13.88,-23.55
style_catechism,-4.25,-24.88,12.88,-6.89
style_code,5.5,-20.12,-29.75,-9.69
style_equations,20.0,-15.38,-18.12,-17.68
style_literary_apiyi,-2.25,6.0,4.5,11.85
