условие,n,крупный набл.,крупный модель,крупный остаток,мелкий набл.,мелкий модель,мелкий остаток,средний набл.,средний модель,средний остаток
тема вписана,40,3.748505785877798,2.648904904908069,1.0996008809697293,6.231451974524561,1.4196664492473132,4.811785525277248,7.203266494092345,6.69942853178251,0.5038379623098352
меньше мыслей,48,-30.66172625868109,-11.521652630155877,-19.14007362852521,-13.348796289540758,-21.064194775826888,7.71539848628613,-46.61322207848672,-30.941935248607628,-15.671286829879094
одна тема,48,0.049046289622107046,-1.3524119551145946,1.4014582447367017,-0.17296233862844743,-2.4432625417880995,2.270300203159652,-7.551676973050755,-4.982841708815114,-2.5688352642356413
беднее словарь,46,1.4283308101824175,-1.5476789327215943,2.9760097429040115,-2.7184145897074194,-1.6001521841112059,-1.1182624055962136,-6.049372921142419,-6.109883113355448,0.060510192213028446
без синонимов,41,-2.581967747160367,-2.091321440845887,-0.4906463063144799,-6.14972326251866,-5.829376606730229,-0.32034665578843136,-10.210625417363218,-7.075926643343456,-3.1346987740197623
термин в той же обёртке,47,-2.398106868515195,-1.4533733958557495,-0.9447334726594456,-9.470542554466672,-3.8376233384196734,-5.632919216046998,-5.845299683977166,-5.645962097638003,-0.19933758633916288
каждое предложение о своём,30,3.6047767082744384,9.968826406473823,-6.364049698199385,18.49011176001326,4.1777911481289784,14.312320611884282,23.895736134922487,20.17950106106774,3.7162350738547474
богаче словарь,45,1.0465401905979321,3.582602310982748,-2.536062120384816,9.027999983320896,0.4654096685638612,8.562590314757035,12.315600933996025,9.432757258631495,2.88284367536453
ни одного слова дважды,36,4.666498097302075,3.4303544007150895,1.2361436965869852,6.772344015736439,-0.994488108341288,7.766832124077727,11.457625473895463,8.63578905614235,2.8218364177531132
редкие синонимы,48,2.9576940191569947,0.5061140915616645,2.45157992759533,3.3166430503459465,-1.1848545588471444,4.501497609193091,3.0619937752390176,1.7741941446099176,1.2877996306291
художественный стиль,42,15.126919660223043,5.784924033105446,9.341995627117598,17.52680626698247,2.5414420172583987,14.98536424972407,27.473738700513834,15.504097356071961,11.969641344441873
анафора,49,-24.69194814336921,-1.9661238700972576,-22.725824273271954,-23.87963986689683,-13.440936765983633,-10.438703100913198,-21.92064363087736,-10.210439481011653,-11.710204149865708
поле: значение,49,-21.487993092051372,-0.4042923065700913,-21.08370078548128,-25.857486798857686,-12.52984014351777,-13.327646655339915,-19.550211035255728,-2.1413858296478674,-17.40882520560786
перемешивание,49,-13.232659554859637,-0.049382818916839794,-13.183276735942798,35.97445193029192,9.881951873950959,26.09250005634096,-5.604206246679766,2.3313407101812733,-7.935546956861039
чужие хапаксы,47,-20.523865099138654,-0.3671793203107531,-20.1566857788279,13.029797315977424,-0.43205375376943067,13.461851069746855,-13.936720298868396,0.05339078485090933,-13.990111083719306
