условие,n,крупный,крупный_p,мелкий,мелкий_p,средний,средний_p,"одиночек, %","одиночек, %_p","тип-одиночек, %","тип-одиночек, %_p",смысловые: радиус,смысловые: радиус_p,служебные: радиус,служебные: радиус_p,смысловые: зазор,смысловые: зазор_p,смысловые: ячеек,смысловые: ячеек_p,черешок одиночки,черешок одиночки_p,до бл. при k=1,до бл. при k=1_p,до бл. при k=2,до бл. при k=2_p,"длинных листьев, %","длинных листьев, %_p",оба одиночки / случай,оба одиночки / случай_p,p10/p50,p10/p50_p,p90/p50,p90/p50_p,p99/p50,p99/p50_p,длинные: CV,длинные: CV_p,рёбра: CV,рёбра: CV_p,"стоков, %","стоков, %_p","доля смысловые, %","доля смысловые, %_p","доля служебные, %","доля служебные, %_p","доля пунктуация, %","доля пунктуация, %_p"
тема вписана,42,0.0,0.04195783568411571,5.090671041881559,4.388683601064258e-05,6.401518948091798,1.2039254215778783e-07,8.300550735101284,7.908056431915611e-10,3.50478407731125,9.777659215615131e-08,0.0,0.42797189528209856,0.0,0.3520408716149177,3.6941650140150966,0.12810258085846726,-4.880952380952383,0.013296989904943575,0.0,1.0,0.0,0.6030205487700186,0.0,0.2581271970657326,3.176470588235298,0.01896583791390455,-3.9407742511261596,0.013670246421042975,6.24548087707404,0.0005271895820442296,-0.9622572425874689,5.540735855902312e-06,0.0,0.030480113090561645,4.665139622225839,0.02495414577833799,-5.681922580846231,3.5963001209893264e-05,0.0,0.49293665941566545,9.30735930735931,2.0859315967962608e-07,0.0,0.880720674337906,-8.281358281358282,0.007175170176119737
меньше мыслей,49,-31.381639535622735,8.988365607365267e-13,-14.710346894732105,1.7085923182946772e-06,-47.02643201852519,3.126388037344441e-13,-34.00731708083733,5.988809448354004e-11,-17.247630258489963,2.7071678232459817e-12,-3.404697853422742,0.09375393967392398,-17.481033777478,6.750155989720952e-14,0.0,0.10666340352521075,124.16267942583734,2.870248135373786e-09,-6.004108694537885,7.229772336359019e-12,-6.666349273013537,7.354117315117037e-13,-12.190159227436235,6.627983495377521e-08,-30.434782608695656,3.773111972248021e-09,23.34810951675091,2.1141183026429644e-08,-8.581201028411463,0.000948836474645276,17.34706532556074,1.9042545318370685e-12,18.46682673716493,1.3233858453531866e-11,6.74925036958746,0.010954702296434249,32.251637779755775,1.5276668818842154e-13,18.750000000000018,0.00043349551915479207,42.99065420560746,1.1792932386040795e-09,-8.733624454148446,0.002222025116459029,-57.14285714285715,3.55160522475813e-09
одна тема,49,0.0,0.8618027409303146,0.0,0.3950448207316074,-7.298054237008676,2.309782107117827e-05,-6.426898367477479,0.0004892575241974051,0.0,0.10816234905942261,4.335044780741022,0.0025658646531078336,0.0,0.12927143230593224,-4.843613337029559,0.0029352653269511743,17.367367367367365,3.0872660286326305e-05,0.0,0.11036370194352958,0.0,0.07100330705871184,0.0,0.49561961854323144,0.0,0.28337420769749455,4.2798369085139765,0.004800974704240663,-6.791836888853392,0.001162879642982493,0.0,0.02302708775017744,0.0,0.03538901761077486,0.0,0.24247552581716103,6.684386970035322,4.4378675943666377e-05,0.0,0.7804998353701161,18.807339449541292,2.0330056397873627e-09,-5.12820512820513,0.0204421691668055,-25.581395348837212,9.819155623831442e-09
беднее словарь,47,0.0,0.45883807572526836,0.0,0.018282107725794788,-6.172844833669122,4.473703982306527e-08,-8.60679864629889,2.282187408039342e-07,-3.4083043266877104,0.00022142786834466582,0.0,0.8655246376841994,0.0,0.12754564029189905,0.0,0.13876380207583783,16.666666666666668,9.804707973754958e-06,0.0,0.8323831127031681,0.0,0.29480064010555573,0.0,0.9241235941123401,0.0,0.1921935952858237,3.527934242943472,0.00010287603515374925,0.0,0.168914566471568,0.8309129587122367,0.0010757303169760726,1.6846714335762378,0.006128654342019391,0.0,0.3740494221691917,4.751165917026735,0.0003206929425502083,-8.33333333333334,0.9956389874471677,9.345794392523356,3.839458357241823e-07,0.0,0.6040484401211274,-11.363636363636354,4.590980721211469e-05
без синонимов,42,0.0,0.1045203776411654,-6.456430977104646,0.0004737927915812179,-10.095581929474386,3.448803909122944e-09,-10.260409107430098,1.3642420526593924e-12,-2.9718810177437676,3.932882464141585e-07,-5.763164706477375,0.0007453462476405548,0.0,0.6648270148580195,5.876208225022122,0.05795002135891991,31.250000000000007,3.9042463447228826e-07,-0.6912711020398239,3.143599087707116e-05,-0.3645868098355945,0.004309813024974574,-4.194796346247321,0.00021758630600743345,-7.749999999999993,0.0029771782754129854,10.83894706057316,4.388683601064258e-05,-8.795536166403958,0.00023044511135594803,1.2469623998757253,0.004894973111277068,0.0,0.020300298783695325,3.68849976774043,0.49555560536464327,11.51400180262336,6.84789483784698e-07,0.0,0.8221187321820018,11.186405337781494,2.9462567115742394e-07,-4.557156080064799,0.0003970124104479043,-10.49156272927365,0.0008649191144537094
термин в той же обёртке,48,-2.398106868515195,0.007896110669088605,-9.702101879820747,9.838828345556737e-09,-6.0618880732872835,1.9914194607272886e-07,-7.541303986669885,2.9230817982541753e-07,-4.08906847263653,1.9445854660824824e-06,-6.700324951243787,3.059308450129242e-06,0.0,0.9427636513405144,7.071485937871352,1.6366367641508639e-06,21.428571428571427,2.6431338707658222e-05,-0.8255426124207644,0.0009233146562074576,-0.5100728240949503,0.003352603217308324,-5.502055475596715,4.461932192959551e-05,-8.615221987315008,1.9493165839934716e-05,6.918348216942073,3.267768973848126e-05,-7.696915529814709,3.631716553723888e-07,1.0348024608559805,0.008139603239109255,0.0,0.014232286767163337,0.0,0.9754529337295532,7.9073689715669415,2.3488858228131092e-07,0.0,0.9956402245923238,5.634920634920623,0.00017044287588303652,-4.28866927143185,0.05379966981208264,-7.42647058823529,0.01011904399575693
каждое предложение о своём,33,6.498626448010122,0.0006023156456649303,19.279853804663546,2.3283064365386963e-10,25.517478515219388,4.656612873077393e-10,33.29756112804132,2.3283064365386963e-10,16.13003983076439,2.3283064365386963e-10,0.0,0.25343610532581806,0.0,0.6088165012188256,3.3671241610671103,0.871207794174552,-35.35714285714286,1.63354332204954e-05,0.0,0.5021234466694295,0.0,0.2207864096853882,5.296117445410166,0.016054106643423438,12.162162162162145,0.0001407132274213741,-10.2366340060558,1.5329569578170776e-06,6.70236083731958,0.00014457409270107746,-3.312035222491728,2.3283064365386963e-10,-3.985662141060843,6.3569750636816025e-06,0.0,0.5721765686757863,-12.39773177655982,4.423782229423523e-09,0.0,0.9296980901501636,31.958762886597913,2.3283064365386963e-10,-21.890547263681594,9.351449677230117e-07,-17.24137931034483,6.266250177115246e-05
богаче словарь,50,0.0,0.05534130041197834,9.1939978042637,3.197109682584731e-07,12.886571434146049,1.8759597226675395e-08,16.12930451394586,7.555220876380672e-10,6.388697693670135,1.7565587728239217e-09,0.0,0.3971496581711358,-6.057098352777553,2.865517738927789e-06,-3.83859255334469,0.551551192098292,-16.59090909090909,0.0011927417542291713,-0.5290570938042265,0.0013285792553476726,-0.8932811193960694,0.00010213324210280978,0.0,0.7610669059991668,4.112903225806459,0.003634835361074302,-6.498454950708499,5.575105494227834e-06,4.124099866745191,0.00104802277803204,-1.1386807567170856,3.5107018137782537e-06,-1.306183176899396,0.0028107874052504447,3.227169150965946,0.030965143316200552,-6.280513285429476,5.305899156474392e-07,0.0,0.8898346353084059,16.886777880753787,2.50267393614121e-09,-15.116221193569263,1.4160769549870479e-08,0.0,0.8892225964859146
ни одного слова дважды,41,0.0,0.03254928721435135,6.188747726309645,7.323251338675618e-08,11.167450999499383,3.3878677641041577e-09,14.27240652546024,1.8826540326699615e-10,5.500057387737831,9.055838745553046e-09,-5.4538408941367695,0.016752589581301436,-3.472570759688881,1.7697093426249921e-06,8.062087249040715,0.002783855190500617,-13.899613899613906,0.031183394072237337,0.0,0.0801603567570055,0.0,0.018533456724071584,0.0,0.15553337945220846,5.6338028169014125,0.027580762107705346,-7.223570079851703,0.00025620386986702215,5.647620130861992,0.0012550095752885682,-1.1011995441097575,8.957321279012831e-05,0.0,0.010032928067630564,5.8235272782639145,0.00412884995512286,-4.775153496160488,2.6320902179577388e-05,0.0,0.9793118233554217,13.809523809523796,8.958441067222817e-07,-11.313868613138693,2.1331715352042562e-05,-9.722222222222213,0.0011406966729891536
редкие синонимы,49,3.1733498414005137,0.03682012930302392,3.180878264776755,0.00606133108838236,2.130939231576103,0.00038625312302187353,3.6094782326815253,7.151092416890492e-05,1.7425652801789944,0.007112698788073857,0.0,0.3355623208943683,-2.628920000500461,0.0032082178176757736,0.0,0.0652781933846569,0.0,0.722444327974884,0.0,0.22329210872706895,0.0,0.06106591186876642,0.0,0.04068629083575459,0.0,0.8312225643718925,0.0,0.8053281892871524,0.0,0.12884437305203988,0.0,0.051847060201104966,0.0,0.44118856037852794,0.0,0.9293119985947342,0.0,0.07820286897287332,-5.88235294117649,0.4364880796782914,0.0,0.18065714736673077,-7.758620689655181,3.9311511650024303e-07,-12.396694214876023,3.8808046452939586e-07
