условие,n,крупный набл.,крупный модель,крупный остаток,мелкий набл.,мелкий модель,мелкий остаток,средний набл.,средний модель,средний остаток
перемешивание,50,-10.913534178749607,4.804601313876529,-15.718135492626136,37.040652834356735,9.014330327905308,28.02632250645143,-2.590101682438796,4.167370644689814,-6.75747232712861
эхо x2,50,3.562116582070976,-22.285945049222843,25.848061631293817,-39.45374161678311,-27.26127341960375,-12.192468197179362,-23.85221196982208,-40.38312899845698,16.530917028634903
эхо x4,50,-8.403303427583142,-45.83552559495552,37.43222216737238,-57.09452998722108,-51.271027152243086,-5.823502834977994,-59.44386436751166,-76.9657097403738,17.52184537286214
эхо на четверти,50,0.004668417278505652,-8.137242775497535,8.14191119277604,-19.080500218263357,-11.236635228390169,-7.843864989873188,-9.890978109085454,-13.22745364230622,3.3364755332207654
словарь к 25,50,-31.20598230969861,-20.264779423058382,-10.941202886640227,41.20374093847416,-16.371305266659295,57.57504620513346,-51.09403999962766,-55.72431327112049,4.630273271492825
словарь к 60,50,-16.512637511670977,-12.681112067546751,-3.8315254441242264,19.663673342030492,-10.629579679365358,30.29325302139585,-34.21754275706482,-34.976135717332205,0.7585929602673858
чужие хапаксы,50,-17.523446277069844,0.6824985022915999,-18.205944779361445,13.029212032790905,1.2373459299212801,11.791866102869625,-9.99976066544416,2.403761815420465,-12.403522480864625
хапаксы одного домена,50,-17.272963114137866,1.2644941036071342,-18.537457217745,11.462982244503497,1.0997536069981755,10.36322863750532,-9.997838901355943,1.403628731587589,-11.401467632943532
маркер каждые 3,50,0.049532447275022776,1.6212936669842728,-1.57176121970925,70.20823373395127,5.403127870711661,64.80510586323962,-17.126973113358634,-14.389700802703315,-2.737272310655319
без пунктуации,50,7.0224602339882995,4.61541389891768,2.4070463350706195,19.87428470886019,7.3152389116828145,12.559045797177376,10.279918941506299,7.16592344656809,3.1139954949382087
без служебных,47,-10.763030874450278,5.006001497536328,-15.769032371986606,10.138003203425882,5.950426755182082,4.187576448243799,2.30363095074542,9.745493193838417,-7.441862243092997
все слова разные,4,-20.7051316176693,12.06314610076932,-32.76827771843862,36.42827801935461,12.909396653771799,23.518881365582807,-0.6725495608445325,26.748137734908372,-27.420687295752906
